sent_type,university,sent_id,aligned_to,original_sentence,translation,word_id,first_cs_word_form,first_cs_word_translation,frequency_negative_ln_first_cs_word_trans,surprisal_first_cs_word_trans,pos_tag_first_cs_word_trans,governor_first_cs_word_trans,deprel_first_cs_word_trans,surprisal_values,average_surprisal,bilingual_corpus_frequency_negative_log_first_cs_word,bilingual_corpus_frequency_negative_log_first_cs_word_trans,length_first_cs_word_form,length_first_cs_word_trans,dependency_distance,if_it_is_root,if_previous_word_is_punctuation,surprisal_of_previous_word,25_50_25_percent_location,10_80_10_percent_location,30_40_30_percent_location,first_middle_last_location,translation_sentence_length,entropy_at_cs_point
code-switch,CMU,2,CMU_296,rich neighborhood ， 非常 安全 （ 这里 属于 富人 区 ） ， 旁边 就 是 公园 ， 附近 还有 配套 的 各 种 球场 和 社区 设施 ， 环境 很 好 很 安静 。,富人 区 ， 非常 安全 （ 这里 属于 富人 区 ） ， 旁边 就 是 公园 ， 附近 还有 配套 的 各 种 球场 和 社区 设施 ， 环境 很 好 很 安静 。,1,rich,富人,46.615352726427304,6.100998,NN,2,compound:nn,6.100998 1.320391 0.7630151 4.4722 3.20577 2.76481 3.874677 3.395841 5.984178 1.320391 2.043565 0.7296352 4.6413 3.554084 2.235204 4.472754 1.254587 2.761207 1.42266 4.00532 0.3216881 3.688545 4.236028 5.883419 2.087959 3.743304 4.819367 0.6720446 4.722296 3.517969 3.595524 5.194436 3.258603 0.8566467,3.144718138235294,11.319097967990071,10.402807236115917,4,2,1,0,,,1,1,1,1,34,1.8631269136914448
non-code-switch,CMU,296,CMU_2, ,路上 一般 见到 都 是 学生 ， 很少 见到 游民 ， 公寓 对面 是 公园 和 一 个 艺术馆 ， 环境 很 好 很 安静 。,12,,公寓,39.049879525011114,5.150792,NN,13,compound:nn,5.688997 4.083399 5.282374 4.241812 0.7527016 3.467111 0.9287634 4.409265 2.261637 6.571874 1.025761 5.150792 3.20983 1.338624 4.469776 1.952101 2.53228 5.729619 5.305063 0.5049582 4.523956 3.517969 3.595524 5.194436 3.258603 0.8566467,3.4559181884615384,,7.358284798392494,,2,1,0,1,6.571874,2,2,2,2,26,2.466234141163474
code-switch,CMU,4,CMU_3006,lease 从 八月 开始 ， 具体 日期 可以 商量 。,租约 从 八月 开始 ， 具体 日期 可以 商量 。,1,lease,租约,41.57872850128562,6.527233,NN,9,nmod:topic,6.527233 3.646975 4.193077 1.173965 0.5694761 4.162648 1.981575 3.114755 5.065556 1.119376,3.1554636099999995,7.34880605443795,10.066334999494703,5,2,8,0,,,1,1,1,1,10,1.8631269136914448
non-code-switch,CMU,3006,CMU_4, ,房子 的 照片 在 附件 中 ， 还有 好多 照片 放 不 上来 啦 。,3,,照片,37.17394700517105,3.542832,NN,11,nmod:topic,5.512905 1.253929 3.542832 1.976808 5.474577 0.622718 0.6896648 3.240213 3.662964 4.633079 4.05854 2.832778 4.447598 5.829873 1.480813,3.2839527866666662,,8.754148610528535,,2,8,0,0,1.253929,1,2,1,2,15,2.6688641404949713
code-switch,CMU,5,CMU_70,house 一共 有 两 层 + 地下室 。,房子 一共 有 两 层 + 地下室 。,1,house,房子,37.40390285781066,5.512905,NN,3,nsubj,5.512905 5.228868 0.5955775 1.38895 2.136289 4.214566 6.114262 0.9592402,3.2688322124999996,6.694125154705801,7.084991463392813,5,2,2,0,,,1,2,1,1,8,1.8631269136914448
non-code-switch,CMU,70,CMU_5, ,房子 共 有 三 个 厕所 。,1,,房子,37.40390285781066,5.512905,NN,3,nsubj,5.512905 4.35849 3.044444 2.11923 0.4863122 4.61709 1.203928,3.0489141714285717,,7.084991463392813,,2,2,0,,,1,2,1,1,7,1.8631269136914448
code-switch,CMU,6,CMU_6777,一共 有 两 个 可以 洗澡 的 bathroom 。,一共 有 两 个 可以 洗澡 的 浴室 。,8,bathroom,浴室,40.402814183789445,5.210801,NN,2,dobj,4.509301 0.2903937 1.38895 0.4321387 3.465795 6.824737 0.8959952 5.210801 0.762357,2.6422742888888893,8.61104776688786,9.709660055555972,8,2,6,0,0,0.8959952,3,2,3,2,9,2.255812026865272
non-code-switch,CMU,6777,CMU_6, ,没有 找到 寄存 的 地方 。,5,,地方,34.49845991556636,2.670942,NN,2,dobj,3.923701 2.707315 6.636431 1.30103 2.670942 0.6633921,2.9838018500000003,,8.716408282545688,,2,3,0,0,1.30103,3,2,3,2,6,2.857715373492342
code-switch,CMU,9,CMU_4373,整个 house 家具 齐全 。,整个 房子 家具 齐全 。,2,house,房子,37.40390285781066,4.488641,NN,3,compound:nn,3.732348 4.488641 5.760885 6.166569 0.8237057,4.19442974,6.694125154705801,7.084991463392813,5,2,1,0,0,3.732348,2,2,2,2,5,2.2977514605800473
non-code-switch,CMU,4373,CMU_9, ,全部 木头 地板 ， 干净 。,2,,木头,40.61708552721653,6.139354,NN,3,compound:nn,4.274023 6.139354 2.307971 1.241405 5.898223 1.084428,3.4909006666666667,,11.319097967990071,,2,1,0,0,4.274023,2,2,2,2,6,1.9949721093335462
code-switch,CMU,10,CMU_2172,后院 ： deck 。,后院 ： 阳台 。,3,deck,阳台,39.96702333653981,5.750101,NN,0,root,6.258925 2.914741 5.750101 0.8616973,3.9463660749999994,10.220485679321962,9.93280360687018,4,2,0,1,1,6.258925,3,2,3,2,4,0.8966328590925974
non-code-switch,CMU,2172,CMU_10, ,研究生 ， 女生 。,3,,女生,39.815677012174014,5.315138,NN,0,root,5.001022 1.127941 5.315138 1.312258,3.18908975,,8.06100142996859,,2,0,1,1,5.001022,3,2,3,2,4,1.8349517172250966
code-switch,CMU,13,CMU_358,空调 有 window ac 和 暖气 。,空调 有 窗口 式 冷气机 和 暖气 。,3,window,窗口,37.783796693379294,5.82538,NN,4,compound:nn,5.445959 3.517004 5.82538 2.047275 0.6465095 1.845845 4.911385 1.231957,3.1839143125000002,10.402807236115917,12.012245148550017,6,2,1,0,0,3.517004,2,2,2,2,8,2.351497094025409
non-code-switch,CMU,358,CMU_13, ,照片 里 有 床 衣柜 书桌 和 架子 。,4,,床,38.860933817031736,5.286911,NN,5,compound:nn,5.249664 2.441435 2.181978 5.286911 6.67573 7.038599 2.437033 6.050651 0.7851001,4.238566788888889,,7.311764782757601,,1,1,0,0,2.181978,2,2,2,2,9,2.07027757301207
code-switch,CMU,14,CMU_1961,入住 时间 flexible ， 可 长期 入住 。,入住 时间 灵活 ， 可 长期 入住 。,3,flexible,灵活,36.983536037687394,5.42058,VA,1,conj,5.976814 3.558488 5.42058 0.7122998 1.506279 3.80937 4.813555 0.9292497,3.3408294375,10.625950787430126,10.913632859881908,8,2,2,0,0,3.558488,2,2,2,2,8,1.8029821591810424
non-code-switch,CMU,1961,CMU_14, ,希望 房子 干净 ， 可以 直接 入住 。,3,,干净,39.00347142963831,5.968187,VA,1,ccomp,4.628299 5.514786 5.968187 0.69897 2.754201 2.101679 5.318011 0.9292497,3.4891728375,,8.228055514631755,,2,2,0,0,5.514786,2,2,2,2,8,1.4687975110128013
code-switch,CMU,15,CMU_5216,感兴趣 的 同学 ， 欢迎 email （ 请 注明 “ 租房 ” ） ， 请 简单 介绍 一下 自己 。,感兴趣 的 同学 ， 欢迎 发送 邮件 （ 请 注明 “ 租房 ” ） ， 请 简单 介绍 一下 自己 。,6,email,发送,38.68219437043111,5.679813,VV,5,ccomp,7.042348 0.4746102 4.199065 0.765377 4.921011 5.679813 1.964966 2.43689 4.056521 5.244545 1.039642 6.265025 2.432533 1.712326 0.6021351 4.027341 4.666379 2.487469 1.699935 1.931871 2.022749,3.1272643476190476,7.630218513876136,10.220485679321962,5,2,1,0,0,4.921011,2,2,1,2,21,1.1433856453737987
non-code-switch,CMU,5216,CMU_15, ,补充 ： 请 电话 留言 ， 我们 可以 随时 安排 看 房 。,11,,看,33.812917312355424,4.676288,VV,5,ccomp,5.060607 0.5314789 4.36868 4.945339 2.581165 1.306591 3.24025 0.9359498 3.353149 3.962551 4.676288 4.600833 1.131529,3.1303392846153844,,8.348683502420371,,1,6,0,0,3.962551,3,2,3,2,13,1.9883905147451082
code-switch,CMU,16,CMU_64,二 楼 是 三 间 卧室 和 一 个 full 卫生间 。,二 楼 是 三 间 卧室 和 一 个 设施 完全 的 卫生间 。,10,full,设施,35.96312358280597,4.276497,NN,13,dep,3.222314 1.591621 1.601642 3.04637 2.053292 3.379827 1.532987 2.57814 5.729619 4.276497 3.368013 1.451586 5.637688 0.7613617,2.8736398357142856,7.83785787865438,9.239656426310235,4,2,3,0,0,5.729619,2,2,3,2,14,2.494879583153575
non-code-switch,CMU,64,CMU_16, ,出租 的 两 间 卧室 共用 一 个 卫生间 。,5,,卧室,40.2431744402093,2.529841,NN,9,dep,5.886802 1.31969 2.679885 2.333816 2.529841 10.51329 2.366728 5.279712 4.93294 0.966715,3.8809419,,7.1602148846304,,2,4,0,0,2.333816,2,2,2,2,10,1.9167238291893454
code-switch,CMU,17,CMU_3964,有 兴趣 者 ， 请 email 短信 介绍 一下 自己 情况 。,有 兴趣 者 ， 请 发送 短信 介绍 一下 自己 情况 。,6,email,发送,38.68219437043111,5.355831,VV,0,root,2.715695 4.139023 3.022636 0.6238034 3.313639 5.355831 1.836648 4.805568 3.053878 1.931871 4.49036 0.7784541,3.0056172083333337,7.630218513876136,10.220485679321962,5,2,0,1,0,3.313639,2,2,2,2,12,2.2807441885689093
non-code-switch,CMU,3964,CMU_17, ,感兴趣 的 同学 ， 可以 发 邮件 到 chan .,6,,发,34.92896808073729,4.206208,VV,0,root,7.042348 0.4746102 4.199065 0.765377 2.771977 4.206208 5.67024 2.668481 6.558091 2.640593,3.6996990199999997,,8.716408282545688,,1,0,1,0,2.771977,2,2,2,2,10,2.3737324538954323
code-switch,CMU,18,CMU_5422,半山 独 栋 别墅 ， 自 带 车库 和 driveway 。,半山 独 栋 别墅 ， 自 带 车库 和 私人 车道 。,10,driveway,私人,36.80771240799571,3.668677,JJ,11,amod,5.637844 5.678452 3.272605 2.500991 0.544068 3.147691 4.49099 5.980581 1.43785 3.668677 4.059361 1.085591,3.4587250833333343,12.012245148550017,10.402807236115917,8,2,1,0,0,1.43785,3,2,3,2,12,2.418939931129936
non-code-switch,CMU,5422,CMU_18, ,房屋 类型 ： 一 室 一 厅 （ 顶楼 ） ， 带 厨房 和 独立 卫生间 。,15,,独立,35.42965405460309,3.603207,JJ,16,amod,8.677697 4.184409 1.523057 1.720477 4.343655 1.20412 0.2688453 1.698437 6.344204 1.817231 0.9243132 4.133144 4.795089 1.306866 3.603207 3.439133 0.8859594,2.9923437588235284,,8.041953234997894,,2,1,0,0,1.306866,3,2,3,2,17,2.1004718743875226
code-switch,CMU,19,CMU_5757,一 楼 有 half bath 。,一 楼 有 半 浴室 。,4,half,半,36.71895655050764,3.454723,CD,5,dep,2.791026 5.695485 2.147275 3.454723 5.558517 1.046625,3.448941833333333,10.066334999494703,8.967722710826594,4,1,1,0,0,2.147275,2,2,2,2,6,2.161094385759369
non-code-switch,CMU,5757,CMU_19, ,附近 有 很多 餐馆 。,3,,很多,35.556189034738814,1.797673,CD,4,dep,4.302052 0.4771213 1.797673 3.800745 0.9460527,2.2647287999999994,,8.515737587083537,,2,1,0,0,0.4771213,2,2,2,2,5,2.321126137897331
code-switch,CMU,22,CMU_289,精装 修 家具 全 free 无线 上网 !,精装 修 家具 全 免费 无线 上网 ！,5,free,免费,38.15362473674615,5.015528,JJ,7,amod,5.804013 4.939471 5.585263 3.700925 5.015528 2.859978 0.5855799 4.771749,4.1578133625,8.9212026951917,7.721785707401626,4,2,2,0,0,3.700925,2,2,2,2,8,2.1286060939390574
non-code-switch,CMU,289,CMU_22, ,精装 修 家具 全 免费 无线 上网 ！,5,,免费,38.15362473674615,5.015528,JJ,7,amod,5.804013 4.939471 5.585263 3.700925 5.015528 2.859978 0.5855799 4.771749,4.1578133625,,7.721785707401626,,2,2,0,0,3.700925,2,2,2,2,8,2.1286060939390574
code-switch,CMU,25,CMU_3463,对比 其他 地方 ， 可能 和 很多 人 share ， 并且 还 很 贵 ！,对比 其他 地方 ， 可能 和 很多 人 共用 ， 并且 还 很 贵 ！,9,share,共用,40.0576172186791,10.16642,JJ,14,dep,4.759578 1.553222 1.825154 0.8829458 2.80618 2.275777 3.728692 1.283624 10.51329 1.197862 2.404721 2.04499 2.718947 6.129158 4.027408,3.210103253333334,7.7081800553458475,11.319097967990071,5,2,5,0,0,1.283624,2,2,2,2,15,1.9786034936077328
non-code-switch,CMU,3463,CMU_25, ,空间 很大 ， 房子 也 很 新 。,2,,很大,38.77016988288672,3.569699,JJ,4,dep,4.558663 3.569699 0.2684461 5.395615 1.353971 2.497293 3.896009 0.930927,2.8088278875,,10.402807236115917,,2,2,0,0,4.558663,1,2,1,2,8,1.6815990692128486
code-switch,CMU,26,CMU_7245,房东 非常 无敌 nice 还 会 帮忙 丢 垃圾 ！,房东 非常 无敌 好 还会 帮忙 丢 垃圾 ！,4,nice,好,33.99205262349187,4.612996,JJ,5,amod,6.258925 4.013741 6.440294 4.612996 10.51329 5.013268 5.531311 2.314101 3.42206,5.346665111111111,7.792737443373911,6.786498474836816,4,1,1,0,0,6.440294,2,2,2,2,9,1.5040767891281852
non-code-switch,CMU,7245,CMU_26, ,全新 白色 陶瓷 水杯 。,2,,白色,38.20552955901573,4.957035,JJ,3,amod,4.867811 4.957035 3.504478 7.298209 1.004318,4.3263702,,12.012245148550017,,2,1,0,0,4.867811,2,2,2,2,5,1.5570618484927246
