word,frequency
house,0.0011956858198945127
size,7.829617805400615E-4
lease,6.433639436995855E-4
ride,5.037661068591093E-4
email,4.612798086902688E-4
share,4.491408663563144E-4
nice,4.1272403935445107E-4
full,3.9451562585351936E-4
apartment,3.8844615468654214E-4
bus,3.763072123525877E-4
room,3.398903853507244E-4
queen,3.338209141837472E-4
utility,3.2168197184979274E-4
closet,3.095430295158383E-4
bedroom,3.034735583488611E-4
party,2.7919567368095216E-4
available,2.4277884667908884E-4
parking,2.3670937551211163E-4
plan,2.3670937551211163E-4
pass,2.1243149084420275E-4
office,2.002925485102483E-4
bathroom,1.8208413500931663E-4
living,1.7601466384233942E-4
title,1.5780625034140776E-4
floor,1.4566730800745332E-4
utilities,1.3959783684047608E-4
downtown,1.3959783684047608E-4
apt,1.3352836567349886E-4
clean,1.3352836567349886E-4
free,1.3352836567349886E-4
phd,1.2745889450652164E-4
in,1.153199521725672E-4
permit,1.0925048100558999E-4
studio,1.0925048100558999E-4
sale,1.0318100983861277E-4
hello,1.0318100983861277E-4
bed,9.711153867163554E-5
family,9.104206750465832E-5
dining,9.104206750465832E-5
dealer,9.104206750465832E-5
box,8.49725963376811E-5
dryer,8.49725963376811E-5
to,8.49725963376811E-5
update,8.49725963376811E-5
king,7.890312517070388E-5
and,7.283365400372666E-5
furnished,7.283365400372666E-5
for,7.283365400372666E-5
summer,7.283365400372666E-5
twin,7.283365400372666E-5
prefer,7.283365400372666E-5
the,6.676418283674943E-5
couple,6.676418283674943E-5
cable,6.676418283674943E-5
street,6.676418283674943E-5
washer,6.676418283674943E-5
fee,6.676418283674943E-5
text,6.676418283674943E-5
no,6.676418283674943E-5
one,6.676418283674943E-5
garage,6.676418283674943E-5
gas,6.676418283674943E-5
mattress,6.069471166977221E-5
month,6.069471166977221E-5
moving,5.462524050279499E-5
block,5.462524050279499E-5
all,5.462524050279499E-5
state,5.462524050279499E-5
deposit,5.462524050279499E-5
basement,5.462524050279499E-5
cover,5.462524050279499E-5
agent,5.462524050279499E-5
five,5.462524050279499E-5
building,4.855576933581777E-5
condition,4.855576933581777E-5
walk,4.855576933581777E-5
management,4.855576933581777E-5
id,4.855576933581777E-5
inspection,4.855576933581777E-5
preferred,4.855576933581777E-5
manager,4.855576933581777E-5
doorman,4.855576933581777E-5
half,4.248629816884055E-5
a,4.248629816884055E-5
check,4.248629816884055E-5
gym,4.248629816884055E-5
kitchen,4.248629816884055E-5
shuttle,4.248629816884055E-5
is,4.248629816884055E-5
student,4.248629816884055E-5
master,4.248629816884055E-5
security,4.248629816884055E-5
1,3.641682700186333E-5
fully,3.641682700186333E-5
card,3.641682700186333E-5
park,3.641682700186333E-5
offer,3.641682700186333E-5
you,3.641682700186333E-5
deck,3.641682700186333E-5
laundry,3.641682700186333E-5
high,3.641682700186333E-5
or,3.641682700186333E-5
single,3.641682700186333E-5
bath,3.641682700186333E-5
clubhouse,3.641682700186333E-5
graduate,3.0347355834886106E-5
stop,3.0347355834886106E-5
good,3.0347355834886106E-5
spring,3.0347355834886106E-5
college,3.0347355834886106E-5
shopping,3.0347355834886106E-5
pizza,3.0347355834886106E-5
pets,3.0347355834886106E-5
rent,3.0347355834886106E-5
front,3.0347355834886106E-5
bar,3.0347355834886106E-5
baby,3.0347355834886106E-5
off,3.0347355834886106E-5
of,3.0347355834886106E-5
playground,3.0347355834886106E-5
on,3.0347355834886106E-5
lobby,3.0347355834886106E-5
august,3.0347355834886106E-5
seat,3.0347355834886106E-5
please,3.0347355834886106E-5
yearly,3.0347355834886106E-5
fall,3.0347355834886106E-5
only,3.0347355834886106E-5
visitor,3.0347355834886106E-5
car,3.0347355834886106E-5
8,2.4277884667908884E-5
list,2.4277884667908884E-5
gone,2.4277884667908884E-5
young,2.4277884667908884E-5
sorry,2.4277884667908884E-5
gift,2.4277884667908884E-5
pet,2.4277884667908884E-5
top,2.4277884667908884E-5
new,2.4277884667908884E-5
professional,2.4277884667908884E-5
holder,2.4277884667908884E-5
call,2.4277884667908884E-5
town,2.4277884667908884E-5
neighborhood,2.4277884667908884E-5
window,2.4277884667908884E-5
tennis,2.4277884667908884E-5
visit,2.4277884667908884E-5
account,2.4277884667908884E-5
