word,frequency
，,0.016848749696528283
。,0.010924981791697014
的,0.00743505705268269
一,0.004236465161446953
有,0.004060451565914057
是,0.003611313425588735
个,0.00290725904345715
可以,0.002209274095654285
和,0.0018572469045884923
.,0.0017844136926438456
我,0.0017540665210002428
：,0.001735858218014081
在,0.0017297887836853604
不,0.0015052197135226996
很,0.0015052197135226996
都,0.001377761592619568
两,0.001335275552318524
house,0.0012381646030589948
了,0.0012381646030589948
好,0.0011289147851420247
！,0.0010682204418548192
非常,0.001043942704539937
人,0.001013595532896334
大,0.001001456664238893
也,9.893177955814518E-4
联系,9.043457149793639E-4
（,8.982762806506434E-4
你,8.922068463219228E-4
房间,8.922068463219228E-4
房子,8.375819373634377E-4
请,8.072347657198349E-4
）,7.890264627336732E-4
size,7.768875940762321E-4
卧室,7.768875940762321E-4
就,7.404709881039087E-4
？,7.404709881039087E-4
可,7.101238164603059E-4
去,6.979849478028647E-4
小区,6.979849478028647E-4
楼,6.858460791454237E-4
三,6.67637776159262E-4
床,6.67637776159262E-4
需要,6.554989075018208E-4
lease,6.433600388443797E-4
公寓,6.372906045156591E-4
到,6.190823015294974E-4
家具,6.130128672007769E-4
还,6.069434328720563E-4
住,5.523185239135713E-4
层,5.523185239135713E-4
出租,5.341102209274096E-4
吗,5.219713522699685E-4
间,5.219713522699685E-4
安静,5.219713522699685E-4
ride,5.098324836125273E-4
上,4.976936149550862E-4
、,4.976936149550862E-4
学校,4.916241806263656E-4
email,4.8555474629764507E-4
apartment,4.8555474629764507E-4
客厅,4.8555474629764507E-4
所以,4.734158776402039E-4
会,4.612770089827628E-4
park,4.612770089827628E-4
要,4.5520757465404224E-4
卫生间,4.5520757465404224E-4
share,4.491381403253217E-4
方便,4.491381403253217E-4
租,4.491381403253217E-4
附近,4.430687059966011E-4
没有,4.430687059966011E-4
免费,4.430687059966011E-4
能,4.3699927166788056E-4
年,4.3699927166788056E-4
state,4.248604030104394E-4
nice,4.127215343529983E-4
:,4.0665210002427773E-4
厨房,4.0665210002427773E-4
本人,4.005826656955572E-4
室,3.945132313668366E-4
full,3.945132313668366E-4
这个,3.945132313668366E-4
提供,3.823743627093955E-4
bus,3.823743627093955E-4
同学,3.763049283806749E-4
月,3.763049283806749E-4
入住,3.763049283806749E-4
超市,3.7023549405195436E-4
包,3.7023549405195436E-4
全,3.641660597232338E-4
如果,3.641660597232338E-4
厅,3.580966253945132E-4
车,3.5202719106579267E-4
各,3.5202719106579267E-4
想,3.5202719106579267E-4
或者,3.4595775673707213E-4
room,3.3988832240835153E-4
分钟,3.3988832240835153E-4
环境,3.3988832240835153E-4
queen,3.33818888079631E-4
/,3.277494537509104E-4
现在,3.277494537509104E-4
二,3.2168001942218985E-4
这,3.2168001942218985E-4
独立,3.2168001942218985E-4
utility,3.2168001942218985E-4
女生,3.156105850934693E-4
新,3.156105850934693E-4
用,3.156105850934693E-4
closet,3.095411507647487E-4
等,3.095411507647487E-4
(,3.0347171643602816E-4
过,3.0347171643602816E-4
里,3.0347171643602816E-4
因为,3.0347171643602816E-4
college,3.0347171643602816E-4
bedroom,3.0347171643602816E-4
种,3.0347171643602816E-4
求,2.974022821073076E-4
phd,2.974022821073076E-4
给,2.974022821073076E-4
只,2.91332847778587E-4
我们,2.91332847778587E-4
；,2.91332847778587E-4
匹,2.852634134498665E-4
已,2.852634134498665E-4
没,2.852634134498665E-4
小,2.7919397912114593E-4
party,2.7919397912114593E-4
giant,2.7919397912114593E-4
签,2.7919397912114593E-4
所有,2.7312454479242533E-4
从,2.7312454479242533E-4
带,2.7312454479242533E-4
安全,2.7312454479242533E-4
最,2.7312454479242533E-4
一下,2.670551104637048E-4
干净,2.670551104637048E-4
直接,2.670551104637048E-4
齐全,2.670551104637048E-4
开,2.670551104637048E-4
时间,2.670551104637048E-4
),2.6098567613498425E-4
为,2.6098567613498425E-4
什么,2.6098567613498425E-4
多,2.6098567613498425E-4
google,2.6098567613498425E-4
公司,2.5491624180626365E-4
问题,2.488468074775431E-4
~,2.488468074775431E-4
房东,2.488468074775431E-4
plan,2.4277737314882253E-4
问,2.4277737314882253E-4
available,2.4277737314882253E-4
价格,2.4277737314882253E-4
房租,2.3670793882010196E-4
或,2.3670793882010196E-4
parking,2.3670793882010196E-4
大家,2.3670793882010196E-4
每,2.3670793882010196E-4
看,2.3670793882010196E-4
离,2.3670793882010196E-4
近,2.306385044913814E-4
自己,2.306385044913814E-4
找,2.306385044913814E-4
书桌,2.306385044913814E-4
张,2.2456907016266085E-4
房,2.2456907016266085E-4
适合,2.1849963583394028E-4
欢迎,2.1849963583394028E-4
物业,2.1849963583394028E-4
里面,2.1849963583394028E-4
步行,2.124302015052197E-4
拎包,2.124302015052197E-4
几,2.124302015052197E-4
比较,2.124302015052197E-4
pass,2.124302015052197E-4
来,2.124302015052197E-4
公交,2.124302015052197E-4
说,2.0636076717649916E-4
位,2.0636076717649916E-4
hill,2.0636076717649916E-4
eagle,2.0636076717649916E-4
性价比,2.0636076717649916E-4
office,2.0636076717649916E-4
