Word,Probability,Frequency
cca,1.7930626406433508E-6,1
cancel,1.7930626406433508E-6,1
老,1.1834213428246115E-4,66
筛选,1.7930626406433508E-6,1
nicely,1.7930626406433508E-6,1
蓬松,1.7930626406433508E-6,1
ccc,7.172250562573403E-6,4
考,1.5420338709532818E-4,86
者,5.46884105396222E-4,305
性子,1.7930626406433508E-6,1
unavailable,1.7930626406433508E-6,1
桩子,1.7930626406433508E-6,1
而,2.2233976743977552E-4,124
签证,4.661962865672712E-5,26
salary,1.0758375843860106E-5,6
要好,8.965313203216754E-6,5
分配,1.972368904707686E-5,11
投递,7.172250562573403E-6,4
pick,8.42739441102375E-5,47
快报,1.2551438484503456E-5,7
耗,5.379187921930053E-6,3
energy,8.965313203216754E-6,5
简讯,5.379187921930053E-6,3
调试,5.379187921930053E-6,3
制订,1.7930626406433508E-6,1
cdp,3.5861252812867016E-6,2
耳,5.379187921930053E-6,3
修剪,1.4344501125146806E-5,8
信号,5.181951031459284E-4,289
门外,2.330981432836356E-5,13
回答,2.8689002250293613E-5,16
家政,5.379187921930053E-6,3
roll,5.379187921930053E-6,3
烫发,2.6895939609650264E-5,15
聊,6.813638034444733E-5,38
turn,1.7930626406433508E-6,1
忽悠,1.2551438484503456E-5,7
酒杯,7.172250562573403E-6,4
gold,1.4344501125146806E-5,8
golf,2.6895939609650264E-5,15
pier,1.7930626406433508E-6,1
联,2.8689002250293613E-5,16
幸运,5.379187921930053E-6,3
postings,1.7930626406433508E-6,1
聚,8.965313203216754E-6,5
after,4.3033503375440424E-5,24
抑郁,1.7930626406433508E-6,1
flip,3.5861252812867016E-6,2
cfa,3.5861252812867016E-6,2
跟前,1.7930626406433508E-6,1
resume,2.6895939609650264E-5,15
a,0.0010310110183699268,575
b,1.1296294636053111E-4,63
c,6.634331770380398E-5,37
赞成,1.7930626406433508E-6,1
d,6.813638034444733E-5,38
e,1.057906957979577E-4,59
f,1.972368904707686E-5,11
tabletop,3.5861252812867016E-6,2
水星,1.7930626406433508E-6,1
g,1.0399763315731435E-4,58
h,3.227512753158031E-5,18
