source,sentence id,word id,word form,punct switch,freq,surp,pos tag,head,dep rel
CMU,3,CMU_1257,TRUE
,,1,二,0,3.429608678788833E-15,3.222314,OD,2,amod:ordmod
,,2,楼,0,1.0392695826094025E-16,1.591621,NN,16,nsubj
,,3,是,0,1.9796253661710535E-14,1.601642,VC,16,cop
,,4,两,0,2.2846574348347108E-15,2.798994,CD,7,nummod
,,5,个,0,4.571657372707505E-15,0.4208078,M,4,mark:clf
,,6,中等,0,5.1917085650612904E-17,5.109083,JJ,7,amod
,,7,卧室,0,3.3312820626077486E-18,6.387198,NN,16,dep
,,8,，,1,,0.6956164,PU,16,punct
,,9,一,0,1.3474564558635294E-14,2.14178,CD,12,nummod
,,10,个,0,4.571657372707505E-15,5.656124,M,9,mark:clf
,,11,大,0,4.037706755720687E-15,2.705751,JJ,12,amod
,,12,卧室,0,3.3312820626077486E-18,4.996892,NN,16,conj
,,13,和,0,1.591811265979484E-14,1.420998,CC,16,cc
,,14,一,0,1.3474564558635294E-14,2.57814,CD,16,nummod
,,15,个,0,4.571657372707505E-15,5.729619,M,14,mark:clf
,,16,卫生间,0,4.0469758276828704E-18,4.93294,NN,0,root
,,17,。,1,,0.966715,PU,16,punct

CMU,17,CMU_893,TRUE
,,1,一,0,1.3474564558635294E-14,2.791026,CD,4,nummod
,,2,楼,0,1.0392695826094025E-16,5.695485,M,1,mark:clf
,,3,客厅,0,6.200291946183327E-18,4.807052,NN,4,compound:nn
,,4,餐厅,0,6.782848254245725E-18,5.114741,NN,5,compound:nn
,,5,家具,0,1.1562112068951269E-17,5.802201,NN,6,nsubj
,,6,齐全,0,2.5371766021488605E-17,6.166569,VA,0,root
,,7,。,1,,0.8237057,PU,6,punct

CMU,33,CMU_1154,TRUE
,,1,附近,0,9.393263247132661E-17,4.302052,NN,3,nsubj
,,2,还,0,2.8420918174349612E-15,2.974333,AD,3,advmod
,,3,有,0,1.0111497814599467E-14,2.500334,VE,0,root
,,4,一,0,1.3474564558635294E-14,1.687232,CD,10,nummod
,,5,个,0,4.571657372707505E-15,5.503237,M,4,mark:clf
,,6,特别,0,8.880792107903776E-16,3.332873,AD,7,advmod
,,7,大,0,4.037706755720687E-15,2.830521,VA,10,amod
,,8,的,0,1.122713139757776E-13,0.5185139,DEC,7,mark
,,9,森林,0,9.710682896085474E-17,3.569764,NN,10,compound:nn
,,10,公园,0,3.688706895569765E-17,4.821809,NN,3,dobj
,,11,。,1,,1.092914,PU,3,punct

CMU,37,CMU_680,TRUE
,,1,这个,0,1.6934180962245351E-15,2.896868,DT,2,det
,,2,房子,0,5.697592533566408E-17,4.094051,NN,6,nsubj
,,3,是,0,1.9796253661710535E-14,1.902466,VC,6,cop
,,4,匹,0,5.481528729649699E-18,5.35546,M,6,dep
,,5,大,0,4.037706755720687E-15,1.027837,AD,6,advmod
,,6,拥有,0,2.2118940417098394E-16,5.050814,VV,0,root
,,7,的,0,1.122713139757776E-13,1.272043,DEC,6,mark
,,8,，,1,,1.937016,PU,6,punct
,,9,所以,0,8.573118606800775E-16,1.788091,AD,13,advmod
,,10,房子,0,5.697592533566408E-17,5.206382,NN,11,compound:nn
,,11,管理,0,2.5457442724793226E-15,4.273657,NN,13,nsubj
,,12,得很,0,1.8672496372581802E-20,Infinity,AD,13,advmod
,,13,棒,0,4.2462024114115645E-18,4.71947,VA,6,conj
,,14,！,1,,2.632255,PU,6,punct

CMU,39,CMU_1569,TRUE
,,1,客厅,0,6.200291946183327E-18,6.258925,NN,3,dep
,,2,：,1,,3.265959,PU,3,punct
,,3,有,0,1.0111497814599467E-14,3.078321,VE,0,root
,,4,壁橱,0,1.7668529958028602E-19,6.394945,NN,3,dobj
,,5,.,1,,3.626795,PU,3,punct

CMU,40,CMU_1674,TRUE
,,1,要求,0,1.357784066529322E-15,4.813935,VV,0,root
,,2,：,1,,2.389885,PU,1,punct
,,3,男士,0,1.4561669559871455E-18,6.416388,NN,4,compound:nn
,,4,女士,0,1.6568771079207842E-17,5.238295,NN,5,nsubj
,,5,均可,0,7.737575551652048E-21,3.896798,VV,1,ccomp
,,6,，,1,,1.609239,PU,1,punct
,,7,但是,0,1.148367031852197E-15,2.543796,AD,9,advmod
,,8,必须,0,1.3706356039984676E-15,2.861583,VV,9,aux:modal
,,9,要求,0,1.357784066529322E-15,3.40672,VV,1,dep
,,10,身份,0,1.307964887003693E-16,4.393926,NN,9,dep
,,11,是,0,1.9796253661710535E-14,1.871929,VC,12,cop
,,12,学生,0,6.664291331129961E-16,3.814842,NN,9,conj
,,13,~,1,,5.160771,PU,9,punct
,,14,~,1,,3.452109,PU,9,punct
,,15,.,1,,3.154961,PU,1,punct

CMU,42,CMU_6,TRUE
,,1,不,0,8.491289141164867E-15,3.59865,AD,7,neg
,,2,是,0,1.9796253661710535E-14,2.539451,VC,7,cop
,,3,那,0,1.0540036530261934E-15,4.281279,DT,7,det
,,4,种,0,6.554006643641779E-15,4.366132,M,3,mark:clf
,,5,密封,0,2.724585797762304E-18,6.035374,VV,7,acl
,,6,的,0,1.122713139757776E-13,0.7819946,DEC,5,mark
,,7,地下室,0,2.702524115404288E-18,4.72555,NN,0,root
,,8,。,1,,0.8750613,PU,7,punct

CMU,44,CMU_79,TRUE
,,1,先,0,1.7639472484221407E-16,4.076213,AD,2,advmod
,,2,说,0,4.2713502673438456E-15,3.058937,VV,0,root
,,3,缺点,0,5.956922813666984E-17,4.764591,NN,2,dobj
,,4,吧,0,7.058849492580315E-17,5.807478,SP,2,dep
,,5,：,1,,2.675778,PU,2,punct
