SentenceID,CodeSwitchedSentence,NumberOfCodeSwitching,CodeSwitch1,Translation1,CodeSwitch2,Translation2,CodeSwitch3,Translation3,CodeSwitch4,Translation4,CodeSwitch5,Translation5,TranslatedSentence
0,比邻 各 大 超市 （ giant eagle ；,1,giant eagle,,,,,,,,,,
1,房间 ： 房间 为 三 层 一 整 层 ， 由 阁楼 装修 而 成 ， 空间 很大 ， 家具 齐全 ， 有 一 张 queen size 的 床 和 一 个 气垫 床 ；,1,queen size,,,,,,,,,,
2,rich neighborhood ， 非常 安全 （ 这里 属于 富人 区 ） ， 旁边 就 是 公园 ， 附近 还有 配套 的 各 种 球场 和 社区 设施 ， 环境 很 好 很 安静 。,1,rich neighborhood,,,,,,,,,,
3,今天 安排 看 房 ， 欢迎 联系 ～ up up ， 可以 约 看 房 。,1,up up,,,,,,,,,,
4,lease 从 八月 开始 ， 具体 日期 可以 商量 。,1,lease,,,,,,,,,,
5,house 一共 有 两 层 + 地下室 。,1,house,,,,,,,,,,
6,一共 有 两 个 可以 洗澡 的 bathroom 。,1,bathroom,,,,,,,,,,
7,） 还有 green pepper ！,1,green pepper,,,,,,,,,,
8,直达 waterfront （ 匹兹堡 逛街 好 去处 ， macy ’ s 和 amc 电影院 都 在 那里 ） 。,4,waterfront,,macy,,s,,amc,,,,
9,整个 house 家具 齐全 。,1,house,,,,,,,,,,
10,后院 ： deck 。,1,deck,,,,,,,,,,
11,可以 从 地下室 直接 走 出去 的 ， 所以 叫 walk out basement .,1,walk out basement,,,,,,,,,,
12,html 可以 email : cmuhousing@gmail.,2,html,,email,,,,,,,,
13,空调 有 window ac 和 暖气 。,1,window ac,,,,,,,,,,
14,入住 时间 flexible ， 可 长期 入住 。,1,flexible,,,,,,,,,,
15,感兴趣 的 同学 ， 欢迎 email （ 请 注明 “ 租房 ” ） ， 请 简单 介绍 一下 自己 。,1,email,,,,,,,,,,
16,二 楼 是 三 间 卧室 和 一 个 full 卫生间 。,1,full,,,,,,,,,,
17,有 兴趣 者 ， 请 email 短信 介绍 一下 自己 情况 。,1,email,,,,,,,,,,
18,半山 独 栋 别墅 ， 自 带 车库 和 driveway 。,1,driveway,,,,,,,,,,
19,一楼 有 half bath 。,1,half bath,,,,,,,,,,
20,folk library 旁边 。,1,folk library,,,,,,,,,,
21,有 兴趣 联系 email : chunminz@andrew.,1,email,,,,,,,,,,
22,精装 修 家具 全 free 无线 上网 !,1,free,,,,,,,,,,
23,oakland 的 干净 精致 好 房 您 不 能 错过 ！,1,oakland,,,,,,,,,,
24,停车 ： we offer free outdoor/off-street parking ， $ 20/month reserved outdoor parking ， or$55/month reserved garage parking .,4,we offer free,,parking,,reserved outdoor parking,,reserved garage parking,,,,
25,xin 招租 plan.,1,xin,,,,,,,,,,
26,（ 对比 其他 地方 ， 可能 和 很多 人 share ， 并且 还 很 贵 ！,1,share,,,,,,,,,,
27,） 房东 非常 无敌 nice 还 会 帮忙 丢 垃圾 ！,1,nice,,,,,,,,,,
28,二 楼 是 三 间 卧室 和 一 个 full 卫生间 。,1,full,,,,,,,,,,
29,有 兴趣 者 ， 请 email 短信 介绍 一下 自己 情况 。,1,email,,,,,,,,,,
30,这 附近 的 apartment 的 租金 至少 都 是 这个 房子 的 1.,1,apartment,,,,,,,,,,
31,门口 有 bus 到 中国 超市 ， 餐馆 和 downtown .,2,bus,,downtown,,,,,,,,
32,户型 ： 一 楼 是 超大 living room ， dining room 及 厨房 ；,2,living room,,dining room,,,,,,,,
33,二 楼 是 三 间 卧室 和 一 个 full 卫生间 ；,1,full,,,,,,,,,,
34,长 租 all gone ！,1,all gone,,,,,,,,,,
35,room a$600 ( 双 人大 床 ） 已 租 ！,1,room,,,,,,,,,,
36,暑期 短 租 还 available 哦 。,1,available,,,,,,,,,,
37,有 车库 ， drive way parking 和 street parking 。,2,drive way parking,,street parking,,,,,,,,
38,sp = sharing 联系 方式 ： 595047393@qq.,2,sp,,sharing,,,,,,,,
39,有 pet 可以 商量 正规 物业 管理 ， pa 法律 规定 租房 合同 ， 保护 双方 权益 ， 安心 入住 。,2,pet,,pa,,,,,,,,
40,欢迎 email 联系 咨询 。,1,email,,,,,,,,,,
41,二 楼 是 三 间 卧室 和 一 个 full 卫生间 。,1,full,,,,,,,,,,
42,有 兴趣 者 ， 请 email 短信 介绍 一下 自己 情况 。,1,email,,,,,,,,,,
