SentenceID,CodeSwitchedSentence,NumberOfCodeSwitching,CodeSwitch1,Translation1,CodeSwitch2,Translation2,CodeSwitch3,Translation3,CodeSwitch4,Translation4,CodeSwitch5,Translation5,TranslatedSentence
0,全新 的 baby safety mirror ， 可以 看到 坐在 rear face seat 上 小孩 的 情况 ， $5 。,2,baby safety mirror,,rear face seat,,,,,,,,
1,床头 桌 night stand$10,1,night,,,,,,,,,,
2,小 蜡烛 一 盒 a box of little candles$2,1,a box of little,,,,,,,,,,
3,三 个 帽子 three hats$5 in total,2,three,,in total,,,,,,,,
4,全程 dealer 保养 ， 没 出 过 任何 毛病 ， 非常 省 油 省心 。,1,dealer,,,,,,,,,,
5,垃圾 桶 上 有 penn state 校徽,1,penn state,,,,,,,,,,
6,咖啡 机 hamilton beach one cup coffee,1,hamilton beach one cup coffee,,,,,,,,,,
7,补充 ： jeep 带有 按键 启动 、 遥控 启动 功能 。,1,jeep,,,,,,,,,,
8,补充 ： jeep 带有 按键 启动 、 遥控 启动 功能 。,1,jeep,,,,,,,,,,
9,求 一 张 成色 比较 新 的 queen size 的 木头 床 。,1,queen size,,,,,,,,,,
10,地址 在 squirrel hill ， 请 联系 电话 412-916-1316 .,1,squirrel hill,,,,,,,,,,
11,坐 几 站 bus 就 能 到 giant eagle ；,2,bus,,giant eagle,,,,,,,,
12,本人 因 做 毕业 论文 离开 匹兹堡 现 出售 自己 的 buick century 。,1,buick century,,,,,,,,,,
13,google drive 地址 ：,1,google drive,,,,,,,,,,
14,hello ~ 下面 先 列 个 列表 ， 包括 物品 、 价格 、 赠品 。,1,hello,,,,,,,,,,
15,up up up up 自己 up 一下 ~,2,up up up up,,up,,,,,,,,
16,up up up up up up 一下 自己 ~,1,up up up up up up,,,,,,,,,,
17,这个 amazon 上 的 链接 ，,1,amazon,,,,,,,,,,
18,价格 、 照片 、 联系 方式 ， 请 看 google docs 文件 ：,1,google docs,,,,,,,,,,
19,nine west tote bag 全 新 $25,1,nine west tote bag,,,,,,,,,,
20,hello ~ 下面 先 列 个 列表 ， 包括 物品 、 价格 、 赠品 。,1,hello,,,,,,,,,,
21,blender ： 原价 $ 39.,1,blender,,,,,,,,,,
22,tx-instrument financial instrument : actuarial exam fm/mle : 原价 84.,2,financial instrument,,actuarial exam,,,,,,,,
23,usp = sharing 有意 请 微 信 miranda_bud 注明 要 买 的 东西 谢谢,2,usp,,sharing,,,,,,,,
24,照片 请 看 下边 google drive 的 链接 ：,1,google drive,,,,,,,,,,
25,出 闲置 ， 有 兴趣 请 email 联系,1,email,,,,,,,,,,
26,车子 状况 非常 好 ， clean title ， 无 事故 ， 省心 省 油 。,1,clean title,,,,,,,,,,
27,红色 ， 第一 任 车主 ， clean title ， 基本 配置 。,1,clean title,,,,,,,,,,
28,tx-instrument financial instrument : actuarial exam fm/mle : 原价 84.,2,financial instrument,,actuarial exam,,,,,,,,
29,usp = sharing 有意 请 微 信 miranda_bud 注明 要 买 的 东西 谢谢,2,usp,,sharing,,,,,,,,
30,电梯 直达 [ url = ] [/url ],1,url,,,,,,,,,,
31,king size king size king size 床,1,king size king size king size,,,,,,,,,,
32,queen size size size 床,1,queen size size size,,,,,,,,,,
33,一 张 work bench ;,1,work bench,,,,,,,,,,
34,邮箱 wood 2570@gmail.,1,wood,,,,,,,,,,
35,楼 主 你 是 不 是 在 sq hill ？,1,sq hill,,,,,,,,,,
36,车子 状况 非常 好 ， clean title ， 无 事故 ， 省心 省 油 。,1,clean title,,,,,,,,,,
37,没有 任何 故障 ， 车辆 非常 省心 ， 非常 reliable 。,1,reliable,,,,,,,,,,
38,大家 好 ， 我 是 匹 大学生 ， 希望 加入 一 个 手机 的 family plan 。,1,family plan,,,,,,,,,,
39,cell : 254-366-4263 ( 电话 或 短信 均 可 ),1,cell,,,,,,,,,,
40,cell : 254-366-4263 ( 电话 或 短信 均 可 ),1,cell,,,,,,,,,,
41,clean title ， 随时 可 交 车,1,clean title,,,,,,,,,,
42,微波炉 搬家 sale,1,sale,,,,,,,,,,
43,无线 激光 打印机 brother 牌子 可以 复印 ， 扫描 ！,1,brother,,,,,,,,,,
