SentenceID,CodeSwitchedSentence,NumberOfCodeSwitching,CodeSwitch1,Translation1,CodeSwitch2,Translation2,CodeSwitch3,Translation3,CodeSwitch4,Translation4,CodeSwitch5,Translation5,TranslatedSentence
0,请 问 现在 能 confirm 我 了 吗 ？,1,confirm,,,,,,,,,,
1,若 收到 此 类 邮件 ， 各位 同学 可 先 通过 google 来 搜索 专门 报告 垃圾 邮件 和 诈骗 邮件 的 网站 ， 并 输入 你 收到 的 邮箱 地址 来 查看 是否 为 诈骗 邮件 。,1,google,,,,,,,,,,
2,本人 现在 在 lancaster 附近,1,lancaster,,,,,,,,,,
3,最大 的 房间 $450/m ， 里面 有 一 张 king size 的 床 ， 最 小 的 $350 / m ， 里面 床 是 twin size 。,3,king size,,m,,twin size,,,,,,
4,旁边 是 ymca 可以 健身 游泳 。,1,ymca,,,,,,,,,,
5,车 牌号 或 vin 号 。,1,vin,,,,,,,,,,
6,车 牌号 或 vin 号 。,1,vin,,,,,,,,,,
7,小区 ： lion's gate apartment 入住 时间 ： 2018.,1,gate apartment,,,,,,,,,,
8,房东 是 杨 太太 ， 人 很 nice ， 有 什么 问题 请 随时 联系 她 ： 814-234-0316 可 留言,1,nice,,,,,,,,,,
9,$500 / 月 ， 水电 暖 网 cable 等等 都 包括 在 里面 ， 非常 省心 。,1,cable,,,,,,,,,,
10,$275 / 年 的 activity fee3.,1,activity,,,,,,,,,,
11,坐标 ： 东方 超市 旁 ， giant 对面 的 college court 小区 。,2,giant,,college court,,,,,,,,
12,小区 环境 优美 ， clubhouse 有 健身房 、 泳池 、 并且 提供 免费 的 咖啡 等 饮品 。,1,clubhouse,,,,,,,,,,
13,有 人 5/8 去 jfk 吗 ？,1,jfk,,,,,,,,,,
14,［ 其他 and 附加 条件 ］,1,and,,,,,,,,,,
15,有 4/30 前往 jfk 的 吗 ？,1,jfk,,,,,,,,,,
16,同 求 4/30 jfk 的 ride,2,jfk,,ride,,,,,,,,
17,copper beach oak hill 二 楼 一 间 房间 出租 ， 房间 敞亮 ， 有 床 有 书桌 ， 独立 浴室 ， 家具 都 有 。,1,copper beach oak hill,,,,,,,,,,
18,路线 有 v ve 有 车子 的 朋友 可以 和 office 申请 车位 。,2,v ve,,office,,,,,,,,
19,坐标 ： 东方 超市 旁 ， giant 对面 的 college court 小区 。,2,giant,,college court,,,,,,,,
20,hello ， 各位 ！,1,hello,,,,,,,,,,
21,去年 刚 建成 ， 在 downtown ， 有 免费 健身房 露天 游泳池 桌 游 室 等等 。,1,downtown,,,,,,,,,,
22,本人 男 ， park 校区 。,1,park,,,,,,,,,,
23,你 需要 的 所有 超市 都 在 bus 线上 。,1,bus,,,,,,,,,,
24,fall semester 已 出租,1,fall semester,,,,,,,,,,
25,up up 持续 有效 ， 可 小刀,1,up up,,,,,,,,,,
26,mattress 很 新 ， 就 用 了 半 年 。,1,mattress,,,,,,,,,,
27,小区 提供 visitor parking 。,1,visitor parking,,,,,,,,,,
28,本人 住 在 heights ~,1,heights,,,,,,,,,,
29,本人 安静 易 相处 ， 性格 nice 。,1,nice,,,,,,,,,,
30,你 需要 的 所有 超市 都 在 bus 线上 。,1,bus,,,,,,,,,,
31,旁边 是 ymca 可以 健身 游泳 。,1,ymca,,,,,,,,,,
32,本人 住 在 heights,1,heights,,,,,,,,,,
33,本人 住 在 heights ~,1,heights,,,,,,,,,,
34,所以 请问 lease 是 八月 一日 开始 还是 六月 一日 ？,1,lease,,,,,,,,,,
35,所以 请问 lease 是 八月 一日 开始 还是 六月 一日 ？,1,lease,,,,,,,,,,
36,本人 女 phd 一 名 。,1,phd,,,,,,,,,,
37,坐标 ： 东方 超市 旁 ， giant 对面 的 college court 小区 。,2,giant,,college court,,,,,,,,
38,master 要 毕业 的 同学 看 过来 ~,1,master,,,,,,,,,,
39,ms 的 已 出 ， 还 剩 meng 的 。,2,ms,,meng,,,,,,,,
40,meng 的 还在 ！,1,meng,,,,,,,,,,
41,meng 的 还在 ！,1,meng,,,,,,,,,,
42,与 cruise 人员 协商 后 ， 对方 表示 可以 在 六 个 月 内 转手 给 他人 。,1,cruise,,,,,,,,,,
43,而且 还 有 一些 签证 等 paperwork 需要 提前 处理 。,1,paperwork,,,,,,,,,,
44,房型 ： 两 层 的 town house ， 四 卧室 ， 一 个 办公室 ， 两 个 全 浴室 ( 都 有 浴缸 ) ， 两 个 living room 。,2,town house,,living room,,,,,,,,
45,联系 方式 ： jeff ， canyon_sun@hotmail.,1,jeff,,,,,,,,,,
46,能 不 能 续签 lease ?,1,lease,,,,,,,,,,
47,原价 $700 / m ， 现 只 需 $500 / m 。,2,m,,m,,,,,,,,
48,小区 免费 clubhouse 健身房 ， 环境 好 。,1,clubhouse,,,,,,,,,,
49,爸 妈 两 人 ， 5/3 号 晚上 大概 10:30 的 飞机 到 newark 机场 。,1,newark,,,,,,,,,,
50,去 专业 机构 quote 以后 重新 定价,1,quote,,,,,,,,,,
51,小区 的 设施 还 包括 健身房 ， 游泳池 ， 还 有 一 个 reading room 。,1,reading room,,,,,,,,,,
52,usp = sharing 引用,2,usp,,sharing,,,,,,,,
53,爱 干净 ， 不 开 party ， 好 相处 。,1,party,,,,,,,,,,
54,房东 的 rental,1,rental,,,,,,,,,,
55,而且 位于 downtown ， 周边 不 远 处 商店 林立 。,1,downtown,,,,,,,,,,
56,bryn 出租 ?,1,bryn,,,,,,,,,,
57,提前 renew 房租 比 现在 找 office 租 便宜 。,2,renew,,office,,,,,,,,
58,房间 全部 为 fully furnished 。,1,fully furnished,,,,,,,,,,
59,距离 车站 2-3 分钟 走路 时间 ， w ， nv 和 we 经过 车站 。,3,w,,nv,,we,,,,,,
60,房间 全部 为 fully furnished 。,1,fully furnished,,,,,,,,,,
61,距离 车站 2-3 分钟 走路 时间 ， w ， nv 和 we 经过 车站 。,3,w,,nv,,we,,,,,,
62,copper beech aaron dr 有 兴趣 吗 ?,1,copper beech aaron dr,,,,,,,,,,
63,没有 基础 ， 希望 利用 summer 时间 能够 集中 学习 一下 。,1,summer,,,,,,,,,,
64,随时 可以 签 lease ， 今年 七月 底 或者 8.,1,lease,,,,,,,,,,
65,我 希望 找 妹子 火速 去 office 商量 这 件 事 。,1,office,,,,,,,,,,
66,garden 一 室 一 厅 出租 。,1,garden,,,,,,,,,,
67,楼主 已 不再 往返 boston 。,1,boston,,,,,,,,,,
68,电气 和 暖气 等 utility 的 费用 ， 均 摊 到 每人 大约 20-60 刀 / 月 。,1,utility,,,,,,,,,,
69,会 优先 考虑 graduate student 和 女生 。,1,graduate student,,,,,,,,,,
70,房型 是 两 人 间 ， 需要 和 一 位 男生 phd share bathroom 。,1,phd share bathroom,,,,,,,,,,
71,二 层 corner unit ， 采光 好 。,1,corner unit,,,,,,,,,,
72,房东 的 rental,1,rental,,,,,,,,,,
73,而且 位于 downtown ， 周边 不 远 处 商店 林立 。,1,downtown,,,,,,,,,,
74,leasing office 有 健身房 和 游泳池 。,1,leasing office,,,,,,,,,,
75,本人 在 penn state 做 博 后 。,1,penn state,,,,,,,,,,
76,本人 第二 年 的 phd ， 有 一 只 超级 可爱 的 小 母 猫 ， 我 自己 话 不 多 ， 但是 遇到 投缘 的 人 或者 事情 ， 话 可以 很多 。,1,phd,,,,,,,,,,
77,希望 可以 在 giant food store 附近 ， 因为 认识 的 师兄 都 在 那 附近 住 。,1,giant food store,,,,,,,,,,
78,二 层 corner unit ， 采光 好 。,1,corner unit,,,,,,,,,,
79,有 free parking 。,1,free parking,,,,,,,,,,
80,而且 位于 downtown ， 周边 不 远 处 商店 林立 。,1,downtown,,,,,,,,,,
81,两 个 独立 浴室 ， 厅 非常 大 ， lion's gate apartment,1,gate apartment,,,,,,,,,,
82,房间 很 大 ， 自 带 walk-in closet 和 卫生间 。,1,closet,,,,,,,,,,
83,别的 没有 任何 catch 啦 。,1,catch,,,,,,,,,,
84,甩 干 机 洗衣机 in unit 。,1,in unit,,,,,,,,,,
85,我 今年 在 美国 读 高 四 ， 申请 了 uw madison and penn state .,1,uw madison and penn state,,,,,,,,,,
86,同 summer 新生 。,1,summer,,,,,,,,,,
87,： ） 感觉 fitness 最 容易 。,1,fitness,,,,,,,,,,
88,请 联系 sunflower 821ran@gmail.,1,sunflower,,,,,,,,,,
89,我 自己 有 tv mount （ 电视 挂 墙 上 的 架子 ） 。,1,tv mount,,,,,,,,,,
90,出 greyhound bus 票 ， 3.,1,greyhound bus,,,,,,,,,,
91,tel ： 857-753-7192 ( 请 注明 是 租房 ) email : lihui@bu.,2,tel,,email,,,,,,,,
92,本人 有 车 ， 去 学校 、 购物 、 玩耍 可 提供 ride 。,1,ride,,,,,,,,,,
93,可以 提前 来看 房间 ， 如 需要 ， 可 ride 你 过来 。,1,ride,,,,,,,,,,
94,1，3，4，5，6，10，15，20，21，36，83，84，95 gone 了,1,gone,,,,,,,,,,
95,discover 信用卡 discover 可 作为 入门 信用卡 ， 要求 门槛 低 ， 适合 学生 等 没有 信用 记录 的 群体 。,2,discover,,discover,,,,,,,,
96,还有 其他 几 张 信用卡 后面 再加 ， 各 个 信用卡 都 有 不同 的 福利 ， 比如 租车 保险 ， purchase cash back 等等 ， 感兴趣 的 请 自行 google 。,2,purchase cash back,,google,,,,,,,,
97,discover 信用卡 discover 可 作为 入门 信用卡 ， 要求 门槛 低 ， 适合 学生 等 没有 信用 记录 的 群体 。,2,discover,,discover,,,,,,,,
98,还有 其他 几 张 信用卡 后面 再加 ， 各 个 信用卡 都 有 不同 的 福利 ， 比如 租车 保险 ， purchase cash back 等等 ， 感兴趣 的 请 自行 google 。,2,purchase cash back,,google,,,,,,,,
99,best 评为 a 级 。,2,best,,a,,,,,,,,
100,将 这个 电子 保单 和 email 里 的 保险 确认 信 visa letter 发给 学校 ， 证明 你 已经 购买 符合 学校 标准 的 保险 。,2,email,,visa letter,,,,,,,,
101,优点 ： state college 性价比 最高 的 一 室 一 厅 。,1,state college,,,,,,,,,,
102,汽车 现在 是 学期 中 可以 坐 n v w ne nv vn ， 不 是 学期 中 坐 n v w a 。,2,n v w ne nv vn,,n v w a,,,,,,,,
103,公寓 在 二 楼 ， college court 比较 靠 里 的 building ， 很 安静 。,2,college court,,building,,,,,,,,
104,联系 方式 贺 女士 tel : 215-359-8530 ( messages only ) ;,2,tel,,messages only,,,,,,,,
105,vv 有 clubhouse ， 可以 健身 ， 夏季 可以 游泳 。,2,vv,,clubhouse,,,,,,,,
106,本人 有 车 ， 去 学校 、 购物 、 玩耍 可 提供 ride 。,1,ride,,,,,,,,,,
107,家 附近 有 公交 v ， ve 和 vn 。,3,v,,ve,,vn,,,,,,
108,家 附近 有 公交 v ， ve 和 vn 。,3,v,,ve,,vn,,,,,,
109,newark 也 接,1,newark,,,,,,,,,,
110,提供 费城 单程 或 往返 ride .,1,ride,,,,,,,,,,
111,get your own room and share a bathroom 可以 签 半 年 或者 一 年 lease 。,2,get your own room and share a bathroom,,lease,,,,,,,,
112,可以 给 1-2 个 人 提供 ride 。,1,ride,,,,,,,,,,
113,费用 依 目的地 而 定 ， 但 希望 离 charlottesville 越 近 越 好 。,1,charlottesville,,,,,,,,,,
114,欢迎 男生 （ master or phd ） 咨询,1,master or phd,,,,,,,,,,
115,至少 需要 两 间 卧室 （ 一 男 一 女 都 是 phd ） ， 或者 整 套 房子 。,1,phd,,,,,,,,,,
116,位于 bolton ave 。,1,bolton ave,,,,,,,,,,
117,房间 有 书桌 ， 衣柜 ， queen size 床 。,1,queen size,,,,,,,,,,
118,现在 已经 有 两 个 phd ， 一 男 一 女 ( 不 是 couple ) 。,2,phd,,couple,,,,,,,,
119,【 提供 ride 】 3-7 本 周三 下午 费城 ！,1,ride,,,,,,,,,,
120,转 lease 的 $300 我 出 ！,1,lease,,,,,,,,,,
121,park crest 属于 村里 性价比 很 高 的 小区 ， 很 难 申请 到 ， 当时 花 了 不少 时间 和 精力 申请 。,1,park crest,,,,,,,,,,
122,park crest 属于 村里 性价比 很 高 的 小区 ， 很 难 申请 到 ， 当时 花 了 不少 时间 和 精力 申请 。,1,park crest,,,,,,,,,,
123,jfk 不 去 了 ， 离 自己 的 目的地 太 远 。,1,jfk,,,,,,,,,,
124,在 state college 买 菜 上学 等 代步 ， 性价比 高 。,1,state college,,,,,,,,,,
125,无 事故 记录 （ clean title ， 可 提 供 vin 报告 ） ！,2,clean title,,vin,,,,,,,,
126,hello ， 房东 微 信 一直 加 不 上 ， 有 什么 别的 联系 方式 吗 ？,1,hello,,,,,,,,,,
127,直接 与 office 签约 。,1,office,,,,,,,,,,
128,tel ： 857-753-7192 ( 请 注明 是 租房 ) email : lihui@bu.,2,tel,,email,,,,,,,,
129,小区 楼 间距 大 ， 采光 好 ， 有 很多 parking space ， 并且 没有 party ， 邻居 都 很 安静 。,2,parking space,,party,,,,,,,,
130,价格 便宜 ， 暂定 $400 全 包 （ 可 协商 ） ， 不 需要 支付 任何 额外 费用 ， 包括 所有 utilities ， 定价 透明 清楚 。,1,utilities,,,,,,,,,,
131,tel ： 857-753-7192 ( 请 注明 是 租房 ) email : lihui@bu.,2,tel,,email,,,,,,,,
132,请 短信 联系 814-777 - one five five zero,1,one five five zero,,,,,,,,,,
133,大家 都 知道 park crest 是 村里 高 性价比 小区 之一 。,1,park crest,,,,,,,,,,
134,走路 即 可 到 giant ， 东方 超市 购物 。,1,giant,,,,,,,,,,
135,坐标 ： college court ， 东方 超市 旁边 ， giant 超市 对面 。,2,college court,,giant,,,,,,,,
136,好 房 短 租 park forest apartment 两 室 一 厅 ， 入住 时间 可 商议 。,1,park forest apartment,,,,,,,,,,
137,小区 的 设施 还 包括 健身房 ， 游泳池 ， 还 有 一 个 reading room 。,1,reading room,,,,,,,,,,
138,最好 可以 签 lease 。,1,lease,,,,,,,,,,
139,cherry red 是 不 是 比较 吵 ?,1,cherry red,,,,,,,,,,
140,cherry red 是 不 是 比较 吵 ?,1,cherry red,,,,,,,,,,
141,cherry red 是 不 是 比较 吵 ?,1,cherry red,,,,,,,,,,
142,park crest 属于 村里 性价比 很 高 的 小区 ， 当时 申请 也 花 了 不少 时间 功夫 。,1,park crest,,,,,,,,,,
143,车 在 state college pa 。,1,state college pa,,,,,,,,,,
144,jsp ） 注册 报名 。,1,jsp,,,,,,,,,,
145,park crest 优先 ！,1,park crest,,,,,,,,,,
146,小区 楼 间距 大 ， 采光 好 ， 有 很多 parking space ， 并且 没有 party ， 邻居 都 很 安静 。,2,parking space,,party,,,,,,,,
147,小区 楼 间距 大 ， 采光 好 ， 有 很多 parking space ， 并且 没有 party ， 邻居 都 很 安静 。,2,parking space,,party,,,,,,,,
148,html 一 年 前 收到 的 吧 。,1,html,,,,,,,,,,
149,tel ： 814-8269093 ( 请 注明 是 租房 ) email : 1025192297@qq.,2,tel,,email,,,,,,,,
150,地下室 改造 成 了 独立 的 studio ， 有 独立 的 出口 ， 厨房 和 卫浴 。,1,studio,,,,,,,,,,
151,hi 各位 ， 组团 去 boston ， 租车 或 开 我 的 车 。,2,hi,,boston,,,,,,,,
152,4-17 ， labor day 假期 。,1,labor day,,,,,,,,,,
153,本人 有 车 ， 去 学校 、 购物 、 玩耍 可 提供 ride 。,1,ride,,,,,,,,,,
154,超 好 的 house,1,house,,,,,,,,,,
155,【 update 】 房间 还在,1,update,,,,,,,,,,
156,phd 最后 半 年 ， 女生 。,1,phd,,,,,,,,,,
157,现 住 在 park crest terrace 。,1,park crest terrace,,,,,,,,,,
158,我 有 个 apartment 在 downtown ， 感兴趣 联系 我 哦 814-880-6678,2,apartment,,downtown,,,,,,,,
159,mid march 起 ， 一 年 。,1,mid march,,,,,,,,,,
160,申请 费$35/人 ， 需要 和 office 签约 。,1,office,,,,,,,,,,
161,药房 ： rite aid,1,rite aid,,,,,,,,,,
162,健身 ： ymca （ 可以 游泳 、 攀岩 、 健身 、 打球 ） 。,1,ymca,,,,,,,,,,
163,也 可以 直接 咨询 park forest apartment office 。,1,park forest apartment office,,,,,,,,,,
164,房间 还 available 吗 想 租 谢谢,1,available,,,,,,,,,,
165,这里 有 一 份 有偿 的 推荐 任务 ~ 国内 的 英语 培训 机构 要 招 english speaker （ 母语 ） 的 外教 ， 工作 地点 西安 ， 提供 工作 签证 。,1,english speaker,,,,,,,,,,
166,交通 便利 ， 出门 就 是 r ， rp ， rc 等 公交 路线 ， 平均 大概 十 分钟 一 趟 。,3,r,,rp,,rc,,,,,,
167,已 email 联系 ， 盼 回复,1,email,,,,,,,,,,
168,如有 意向 请 直接 联系 email ： qingdao776@gmail.,1,email,,,,,,,,,,
169,sorry 桌子 先 不 出 了,1,sorry,,,,,,,,,,
170,sorry 桌子 先 不 出 了,1,sorry,,,,,,,,,,
171,之前 无法 登陆 bbs 自行车 已 出,1,bbs,,,,,,,,,,
172,房型 （ 具体 可以 参见 the pointe 官方 网站 ） ：,1,the pointe,,,,,,,,,,
173,请 问 studio 只是 一 间 房 还 是 单独 一 套 的 那 种 ？,1,studio,,,,,,,,,,
174,若 直接 步行 去 学校 ， 也 只 需 二十 分钟 ， 比 parkway plaza 小区 离 学校 还 要 近 。,1,parkway plaza,,,,,,,,,,
175,field ， 闲暇 时 可以 在 草坪 上 玩耍 。,1,field,,,,,,,,,,
176,fully furnished 拎包 入住,1,fully furnished,,,,,,,,,,
177,直接 和 office 签 lease,2,office,,lease,,,,,,,,
178,你 好 ， 想 问 一下 是 需要 share 卫生间 的 吗 ？,1,share,,,,,,,,,,
179,房租 ： $ 475/mo+1/3 electric ( $27 to$47 last year ) 。,2,electric,,last year,,,,,,,,
180,html 联系 方式 ： email ： taniaslawecki@gmail.,2,html,,email,,,,,,,,
181,html 小区 离 东方 超市 和 giant 非常 近 ， 可以 步行 买 菜 ， 购物 。,2,html,,giant,,,,,,,,
182,deposit 是 一 个 月 房租 。,1,deposit,,,,,,,,,,
183,dr 上 ， 有 rc ， rp,3,dr,,rc,,rp,,,,,,
184,房间 内 家具 齐全 ， 有 床 和 mattress 和 书桌 ， dishwasher,2,mattress,,dishwasher,,,,,,,,
185,和 microwave ， 拎包 入住 。,1,microwave,,,,,,,,,,
186,打算 近期 去 lancaster 一 趟 ， 当天 往返 ， 提供 ride 。,2,lancaster,,ride,,,,,,,,
187,低价 出手 几 台 dell 和 acer 的 显示器 ， 20-50 $ .,2,dell,,acer,,,,,,,,
188,id=0b2rd_lnxqvr6m0riuu5zvfhvxza&usp = sharing 引用,1,sharing,,,,,,,,,,
189,有意 向 者 ， 请 发 英文 简历 （ resume ） 及 职位 申请书 （ cover letter ） 到,2,resume,,cover letter,,,,,,,,
190,部分 家具 可 赠送 （ 床 为 full size ， 1.,1,full size,,,,,,,,,,
191,淡定 ， 面试 老师 很 nice 的 ， 后面 会 出 一 个 测评 报告 ， pass ， pass 但 建议 参加 课程 ， 不 pass 。,4,nice,,pass,,pass,,pass,,,,
192,淡定 ， 面试 老师 很 nice 的 ， 后面 会 出 一 个 测评 报告 ， pass ， pass 但 建议 参加 课程 ， 不 pass 。,4,nice,,pass,,pass,,pass,,,,
193,jfk 航班 是 下午 3：50 回国 的 ， 所以 希望 能 在 1：30 之前 到 机场 ， 充分 考虑 的 堵车 的 情况 下 。,1,jfk,,,,,,,,,,
194,usp = sharing 电话 ： 814- ⑥ 久久-零9零8,2,usp,,sharing,,,,,,,,
195,full size 超 舒服 床 ！,1,full size,,,,,,,,,,
196,她 叫 jennifer ， 是 访 学 老师 的 家属 ， 为人 可靠 ， 有 意向 的 老师 和 同学 可 放心 联系 。,1,jennifer,,,,,,,,,,
197,你 好 ， 请 问 床 queen 还 有 吗 ？,1,queen,,,,,,,,,,
198,full size 超 舒服 床 ！,1,full size,,,,,,,,,,
199,亲 ， 可以 看 一下 full size 的 床 吗 ？,1,full size,,,,,,,,,,
200,她 叫 jennifer ， 是 一 位 访 学 老师 的 家属 ， 为人 可靠 ， 有 意向 的 老师 可 放心 联系 。,1,jennifer,,,,,,,,,,
201,full size 超 舒服 床 ！,1,full size,,,,,,,,,,
202,小区 内 经常 有 活动 ， 免费 零食 饮料 party 等等 。,1,party,,,,,,,,,,
203,usp = sharing 详细 信息 ： 1.,2,usp,,sharing,,,,,,,,
204,车身 北极 白 / polaris white,1,polaris white,,,,,,,,,,
205,led 照明 防 滑板,1,led,,,,,,,,,,
206,black pack （ 前后 bumper 及 车身 黑色 装饰 条 ）,2,black pack,,bumper,,,,,,,,
207,公交 是 r 线 或者 rc 到 学校 。,2,r,,rc,,,,,,,,
208,海尔 洗衣机 portable 1.,1,portable,,,,,,,,,,
209,full size 超 舒服 床 ！,1,full size,,,,,,,,,,
210,full size 超 舒服 床 ！,1,full size,,,,,,,,,,
