SentenceID,CodeSwitchedSentence,NumberOfCodeSwitching,CodeSwitch1,Translation1,CodeSwitch2,Translation2,CodeSwitch3,Translation3,CodeSwitch4,Translation4,CodeSwitch5,Translation5,CodeSwitch6,Translation6,ChineseWordCount,EnglishWordCount,PunctuationCount,IndicesOfChineseWord,IndicesOfCodeSwitchedWord,IndicesOfPunctuation
0,比邻 各 大 超市 （ giant eagle ；,1,giant eagle,,,,,,,,,,,,4,2,2,[0_1_2_3],[5_6],[4_7]
1,房间 ： 房间 为 三 层 一 整 层 ， 由 阁楼 装修 而 成 ， 空间 很大 ， 家具 齐全 ， 有 一 张 queen size 的 床 和 一 个 气垫 床 ；,1,queen size,,,,,,,,,,,,27,2,6,[0_2_3_4_5_6_7_8_10_11_12_13_14_16_17_19_20_22_23_24_27_28_29_30_31_32_33],[25_26],[1_9_15_18_21_34]
2,rich neighborhood ， 非常 安全 （ 这里 属于 富人 区 ） ， 旁边 就 是 公园 ， 附近 还有 配套 的 各 种 球场 和 社区 设施 ， 环境 很 好 很 安静 。,1,rich neighborhood,,,,,,,,,,,,25,2,7,[3_4_6_7_8_9_12_13_14_15_17_18_19_20_21_22_23_24_25_26_28_29_30_31_32],[0_1],[2_5_10_11_16_27_33]
3,今天 安排 看 房 ， 欢迎 联系 ～ up up ， 可以 约 看 房 。,1,up up,,,,,,,,,,,,10,2,4,[0_1_2_3_5_6_11_12_13_14],[8_9],[4_7_10_15]
4,lease 从 八月 开始 ， 具体 日期 可以 商量 。,1,lease,,,,,,,,,,,,7,1,2,[1_2_3_5_6_7_8],[0],[4_9]
5,house 一共 有 两 层 + 地下室 。,1,house,,,,,,,,,,,,5,1,2,[1_2_3_4_6],[0],[5_7]
6,一共 有 两 个 可以 洗澡 的 bathroom 。,1,bathroom,,,,,,,,,,,,7,1,1,[0_1_2_3_4_5_6],[7],[8]
7,） 还有 green pepper ！,1,green pepper,,,,,,,,,,,,1,2,2,[1],[2_3],[0_4]
8,直达 waterfront （ 匹兹堡 逛街 好 去处 ， macy ’ s 和 amc 电影院 都 在 那里 ） 。,3,waterfront,,macy ’ s,,amc,,,,,,,,10,4,5,[0_3_4_5_6_11_13_14_15_16],[1_8_10_12],[2_7_9_17_18]
9,整个 house 家具 齐全 。,1,house,,,,,,,,,,,,3,1,1,[0_2_3],[1],[4]
10,后院 ： deck 。,1,deck,,,,,,,,,,,,1,1,2,[0],[2],[1_3]
11,可以 从 地下室 直接 走 出去 的 ， 所以 叫 walk out basement .,1,walk out basement,,,,,,,,,,,,9,3,2,[0_1_2_3_4_5_6_8_9],[10_11_12],[7_13]
12,html 可以 email : em4,2,html,,email : em4,,,,,,,,,,1,2,1,[1],[0_2_4],[3]
13,空调 有 window ac 和 暖气 。,1,window ac,,,,,,,,,,,,4,2,1,[0_1_4_5],[2_3],[6]
14,入住 时间 flexible ， 可 长期 入住 。,1,flexible,,,,,,,,,,,,5,1,2,[0_1_4_5_6],[2],[3_7]
