SentenceID,CodeSwitchedSentence,NumberOfCodeSwitching,CodeSwitch1,Translation1,CodeSwitch2,Translation2,CodeSwitch3,Translation3,CodeSwitch4,Translation4,CodeSwitch5,Translation5,CodeSwitch6,Translation6,ChineseWordCount,EnglishWordCount,PunctuationCount,IndicesOfChineseWord,IndicesOfCodeSwitchedWord,IndicesOfPunctuation
0,全新 的 baby safety mirror ， 可以 看到 坐在 rear face seat 上 小孩 的 情况 ， $5 。,2,baby safety mirror,,rear face seat,,,,,,,,,,9,6,4,[0_1_6_7_8_12_13_14_15],[2_3_4_9_10_11],[5_16_17_18]
1,床头 桌 night stand$10,1,night,,,,,,,,,,,,2,1,1,[0_1],[2],[3]
2,小 蜡烛 一 盒 a box of little candles$2,1,a box of little,,,,,,,,,,,,4,4,1,[0_1_2_3],[4_5_6_7],[8]
3,三 个 帽子 three hats$5 in total,1,three hats$5 in total,,,,,,,,,,,,3,3,1,[0_1_2],[3_5_6],[4]
4,全程 dealer 保养 ， 没 出 过 任何 毛病 ， 非常 省 油 省心 。,1,dealer,,,,,,,,,,,,11,1,3,[0_2_4_5_6_7_8_10_11_12_13],[1],[3_9_14]
5,垃圾 桶 上 有 penn state 校徽,1,penn state,,,,,,,,,,,,5,2,0,[0_1_2_3_6],[4_5],
6,咖啡 机 hamilton beach one cup coffee,1,hamilton beach one cup coffee,,,,,,,,,,,,2,5,0,[0_1],[2_3_4_5_6],
7,补充 ： jeep 带有 按键 启动 、 遥控 启动 功能 。,1,jeep,,,,,,,,,,,,7,1,3,[0_3_4_5_7_8_9],[2],[1_6_10]
8,补充 ： jeep 带有 按键 启动 、 遥控 启动 功能 。,1,jeep,,,,,,,,,,,,7,1,3,[0_3_4_5_7_8_9],[2],[1_6_10]
9,求 一 张 成色 比较 新 的 queen size 的 木头 床 。,1,queen size,,,,,,,,,,,,10,2,1,[0_1_2_3_4_5_6_9_10_11],[7_8],[12]
10,地址 在 squirrel hill ， 请 联系 电话 pn7 .,2,squirrel hill,,pn7,,,,,,,,,,5,2,2,[0_1_5_6_7],[2_3_8],[4_9]
11,坐 几 站 bus 就 能 到 giant eagle ；,2,bus,,giant eagle,,,,,,,,,,6,3,1,[0_1_2_4_5_6],[3_7_8],[9]
12,本人 因 做 毕业 论文 离开 匹兹堡 现 出售 自己 的 buick century 。,1,buick century,,,,,,,,,,,,11,2,1,[0_1_2_3_4_5_6_7_8_9_10],[11_12],[13]
13,google drive 地址 ：,1,google drive,,,,,,,,,,,,1,2,1,[2],[0_1],[3]
14,hello ~ 下面 先 列 个 列表 ， 包括 物品 、 价格 、 赠品 。,1,hello,,,,,,,,,,,,9,1,5,[2_3_4_5_6_8_9_11_13],[0],[1_7_10_12_14]
15,up up up up 自己 up 一下 ~,2,up up up up,,up,,,,,,,,,,2,5,1,[4_6],[0_1_2_3_5],[7]
16,up up up up up up 一下 自己 ~,1,up up up up up up,,,,,,,,,,,,2,6,1,[6_7],[0_1_2_3_4_5],[8]
17,这个 amazon 上 的 链接 ，,1,amazon,,,,,,,,,,,,4,1,1,[0_2_3_4],[1],[5]
18,价格 、 照片 、 联系 方式 ， 请 看 google docs 文件 ：,1,google docs,,,,,,,,,,,,7,2,4,[0_2_4_5_7_8_11],[9_10],[1_3_6_12]
19,nine west tote bag 全 新 $25,1,nine west tote bag,,,,,,,,,,,,2,4,1,[4_5],[0_1_2_3],[6]
20,hello ~ 下面 先 列 个 列表 ， 包括 物品 、 价格 、 赠品 。,1,hello,,,,,,,,,,,,9,1,5,[2_3_4_5_6_8_9_11_13],[0],[1_7_10_12_14]
21,blender ： 原价 $ 39.,1,blender,,,,,,,,,,,,1,1,3,[2],[0],[1_3_4]
22,tx-instrument financial instrument : actuarial exam fm/mle : 原价 84.,1,financial instrument : actuarial exam,,,,,,,,,,,,1,4,5,[8],[1_2_4_5],[0_3_6_7_9]
23,usp = sharing 有意 请 微 信 miranda_bud 注明 要 买 的 东西 谢谢,1,usp = sharing,,,,,,,,,,,,10,2,2,[3_4_5_6_8_9_10_11_12_13],[0_2],[1_7]
24,照片 请 看 下边 google drive 的 链接 ：,1,google drive,,,,,,,,,,,,6,2,1,[0_1_2_3_6_7],[4_5],[8]
25,出 闲置 ， 有 兴趣 请 email 联系,1,email,,,,,,,,,,,,6,1,1,[0_1_3_4_5_7],[6],[2]
26,车子 状况 非常 好 ， clean title ， 无 事故 ， 省心 省 油 。,1,clean title,,,,,,,,,,,,9,2,4,[0_1_2_3_8_9_11_12_13],[5_6],[4_7_10_14]
27,红色 ， 第一 任 车主 ， clean title ， 基本 配置 。,1,clean title,,,,,,,,,,,,6,2,4,[0_2_3_4_9_10],[6_7],[1_5_8_11]
28,tx-instrument financial instrument : actuarial exam fm/mle : 原价 84.,1,financial instrument : actuarial exam,,,,,,,,,,,,1,4,5,[8],[1_2_4_5],[0_3_6_7_9]
29,usp = sharing 有意 请 微 信 miranda_bud 注明 要 买 的 东西 谢谢,1,usp = sharing,,,,,,,,,,,,10,2,2,[3_4_5_6_8_9_10_11_12_13],[0_2],[1_7]
30,电梯 直达 [ url = ] [/url ],1,url,,,,,,,,,,,,2,1,5,[0_1],[3],[2_4_5_6_7]
31,king size king size king size 床,1,king size king size king size,,,,,,,,,,,,1,6,0,[6],[0_1_2_3_4_5],
32,queen size size size 床,1,queen size size size,,,,,,,,,,,,1,4,0,[4],[0_1_2_3],
33,一 张 work bench ;,1,work bench,,,,,,,,,,,,2,2,1,[0_1],[2_3],[4]
34,邮箱 wood em19,1,wood em19,,,,,,,,,,,,1,1,0,[0],[1_2],
35,楼 主 你 是 不 是 在 sq hill ？,1,sq hill,,,,,,,,,,,,7,2,1,[0_1_2_3_4_5_6],[7_8],[9]
36,车子 状况 非常 好 ， clean title ， 无 事故 ， 省心 省 油 。,1,clean title,,,,,,,,,,,,9,2,4,[0_1_2_3_8_9_11_12_13],[5_6],[4_7_10_14]
37,没有 任何 故障 ， 车辆 非常 省心 ， 非常 reliable 。,1,reliable,,,,,,,,,,,,7,1,3,[0_1_2_4_5_6_8],[9],[3_7_10]
38,大家 好 ， 我 是 匹 大学生 ， 希望 加入 一 个 手机 的 family plan 。,1,family plan,,,,,,,,,,,,12,2,3,[0_1_3_4_5_6_8_9_10_11_12_13],[14_15],[2_7_16]
39,cell : pn20 ( 电话 或 短信 均 可 ),1,cell : pn20,,,,,,,,,,,,5,1,3,[4_5_6_7_8],[0_2],[1_3_9]
40,cell : pn20 ( 电话 或 短信 均 可 ),1,cell : pn20,,,,,,,,,,,,5,1,3,[4_5_6_7_8],[0_2],[1_3_9]
41,clean title ， 随时 可 交 车,1,clean title,,,,,,,,,,,,4,2,1,[3_4_5_6],[0_1],[2]
