SentenceID,CodeSwitchedSentence,NumberOfCodeSwitching,CodeSwitch1,Translation1,CodeSwitch2,Translation2,CodeSwitch3,Translation3,CodeSwitch4,Translation4,CodeSwitch5,Translation5,CodeSwitch6,Translation6,ChineseWordCount,EnglishWordCount,PunctuationCount,IndicesOfChineseWord,IndicesOfCodeSwitchedWord,IndicesOfPunctuation
0,请 问 现在 能 confirm 我 了 吗 ？,1,confirm,,,,,,,,,,,,7,1,1,[0_1_2_3_5_6_7],[4],[8]
1,若 收到 此 类 邮件 ， 各位 同学 可 先 通过 google 来 搜索 专门 报告 垃圾 邮件 和 诈骗 邮件 的 网站 ， 并 输入 你 收到 的 邮箱 地址 来 查看 是否 为 诈骗 邮件 。,1,google,,,,,,,,,,,,34,1,3,[0_1_2_3_4_6_7_8_9_10_12_13_14_15_16_17_18_19_20_21_22_24_25_26_27_28_29_30_31_32_33_34_35_36],[11],[5_23_37]
2,本人 现在 在 lancaster 附近,1,lancaster,,,,,,,,,,,,4,1,0,[0_1_2_4],[3],
3,最大 的 房间 $450/m ， 里面 有 一 张 king size 的 床 ， 最 小 的 $350 / m ， 里面 床 是 twin size 。,3,king size,,m,,twin size,,,,,,,,15,5,7,[0_1_2_5_6_7_8_11_12_14_15_16_21_22_23],[9_10_19_24_25],[3_4_13_17_18_20_26]
4,旁边 是 ymca 可以 健身 游泳 。,1,ymca,,,,,,,,,,,,5,1,1,[0_1_3_4_5],[2],[6]
5,车 牌号 或 vin 号 。,1,vin,,,,,,,,,,,,4,1,1,[0_1_2_4],[3],[5]
6,车 牌号 或 vin 号 。,1,vin,,,,,,,,,,,,4,1,1,[0_1_2_4],[3],[5]
7,小区 ： lion's gate apartment 入住 时间 ： 2018.,1,gate apartment,,,,,,,,,,,,3,2,4,[0_5_6],[3_4],[1_2_7_8]
8,房东 是 杨 太太 ， 人 很 nice ， 有 什么 问题 请 随时 联系 她 ： pn6 可 留言,2,nice,,pn6,,,,,,,,,,15,1,3,[0_1_2_3_5_6_9_10_11_12_13_14_15_18_19],[7_17],[4_8_16]
9,$500 / 月 ， 水电 暖 网 cable 等等 都 包括 在 里面 ， 非常 省心 。,1,cable,,,,,,,,,,,,11,1,5,[2_4_5_6_8_9_10_11_12_14_15],[7],[0_1_3_13_16]
10,$275 / 年 的 activity fee3.,1,activity,,,,,,,,,,,,2,1,3,[2_3],[4],[0_1_5]
11,坐标 ： 东方 超市 旁 ， giant 对面 的 college court 小区 。,2,giant,,college court,,,,,,,,,,7,3,3,[0_2_3_4_7_8_11],[6_9_10],[1_5_12]
12,小区 环境 优美 ， clubhouse 有 健身房 、 泳池 、 并且 提供 免费 的 咖啡 等 饮品 。,1,clubhouse,,,,,,,,,,,,13,1,4,[0_1_2_5_6_8_10_11_12_13_14_15_16],[4],[3_7_9_17]
13,有 人 5/8 去 jfk 吗 ？,1,jfk,,,,,,,,,,,,4,1,2,[0_1_3_5],[4],[2_6]
14,［ 其他 and 附加 条件 ］,1,and,,,,,,,,,,,,3,1,2,[1_3_4],[2],[0_5]
15,有 4/30 前往 jfk 的 吗 ？,1,jfk,,,,,,,,,,,,4,1,2,[0_2_4_5],[3],[1_6]
16,同 求 4/30 jfk 的 ride,2,jfk,,ride,,,,,,,,,,3,2,1,[0_1_4],[3_5],[2]
17,copper beach oak hill 二 楼 一 间 房间 出租 ， 房间 敞亮 ， 有 床 有 书桌 ， 独立 浴室 ， 家具 都 有 。,1,copper beach oak hill,,,,,,,,,,,,17,4,5,[4_5_6_7_8_9_11_12_14_15_16_17_19_20_22_23_24],[0_1_2_3],[10_13_18_21_25]
18,路线 有 v ve 有 车子 的 朋友 可以 和 office 申请 车位 。,2,v ve,,office,,,,,,,,,,10,3,1,[0_1_4_5_6_7_8_9_11_12],[2_3_10],[13]
19,坐标 ： 东方 超市 旁 ， giant 对面 的 college court 小区 。,2,giant,,college court,,,,,,,,,,7,3,3,[0_2_3_4_7_8_11],[6_9_10],[1_5_12]
20,hello ， 各位 ！,1,hello,,,,,,,,,,,,1,1,2,[2],[0],[1_3]
21,去年 刚 建成 ， 在 downtown ， 有 免费 健身房 露天 游泳池 桌 游 室 等等 。,1,downtown,,,,,,,,,,,,13,1,3,[0_1_2_4_7_8_9_10_11_12_13_14_15],[5],[3_6_16]
22,本人 男 ， park 校区 。,1,park,,,,,,,,,,,,3,1,2,[0_1_4],[3],[2_5]
23,你 需要 的 所有 超市 都 在 bus 线上 。,1,bus,,,,,,,,,,,,8,1,1,[0_1_2_3_4_5_6_8],[7],[9]
24,fall semester 已 出租,1,fall semester,,,,,,,,,,,,2,2,0,[2_3],[0_1],
25,up up 持续 有效 ， 可 小刀,1,up up,,,,,,,,,,,,4,2,1,[2_3_5_6],[0_1],[4]
26,mattress 很 新 ， 就 用 了 半 年 。,1,mattress,,,,,,,,,,,,7,1,2,[1_2_4_5_6_7_8],[0],[3_9]
27,小区 提供 visitor parking 。,1,visitor parking,,,,,,,,,,,,2,2,1,[0_1],[2_3],[4]
28,本人 住 在 heights ~,1,heights,,,,,,,,,,,,3,1,1,[0_1_2],[3],[4]
29,本人 安静 易 相处 ， 性格 nice 。,1,nice,,,,,,,,,,,,5,1,2,[0_1_2_3_5],[6],[4_7]
30,你 需要 的 所有 超市 都 在 bus 线上 。,1,bus,,,,,,,,,,,,8,1,1,[0_1_2_3_4_5_6_8],[7],[9]
31,旁边 是 ymca 可以 健身 游泳 。,1,ymca,,,,,,,,,,,,5,1,1,[0_1_3_4_5],[2],[6]
32,本人 住 在 heights,1,heights,,,,,,,,,,,,3,1,0,[0_1_2],[3],
33,本人 住 在 heights ~,1,heights,,,,,,,,,,,,3,1,1,[0_1_2],[3],[4]
34,所以 请问 lease 是 八月 一日 开始 还是 六月 一日 ？,1,lease,,,,,,,,,,,,9,1,1,[0_1_3_4_5_6_7_8_9],[2],[10]
35,所以 请问 lease 是 八月 一日 开始 还是 六月 一日 ？,1,lease,,,,,,,,,,,,9,1,1,[0_1_3_4_5_6_7_8_9],[2],[10]
36,本人 女 phd 一 名 。,1,phd,,,,,,,,,,,,4,1,1,[0_1_3_4],[2],[5]
37,坐标 ： 东方 超市 旁 ， giant 对面 的 college court 小区 。,2,giant,,college court,,,,,,,,,,7,3,3,[0_2_3_4_7_8_11],[6_9_10],[1_5_12]
38,master 要 毕业 的 同学 看 过来 ~,1,master,,,,,,,,,,,,6,1,1,[1_2_3_4_5_6],[0],[7]
39,ms 的 已 出 ， 还 剩 meng 的 。,2,ms,,meng,,,,,,,,,,6,2,2,[1_2_3_5_6_8],[0_7],[4_9]
40,meng 的 还在 ！,1,meng,,,,,,,,,,,,2,1,1,[1_2],[0],[3]
41,meng 的 还在 ！,1,meng,,,,,,,,,,,,2,1,1,[1_2],[0],[3]
42,与 cruise 人员 协商 后 ， 对方 表示 可以 在 六 个 月 内 转手 给 他人 。,1,cruise,,,,,,,,,,,,15,1,2,[0_2_3_4_6_7_8_9_10_11_12_13_14_15_16],[1],[5_17]
43,而且 还 有 一些 签证 等 paperwork 需要 提前 处理 。,1,paperwork,,,,,,,,,,,,9,1,1,[0_1_2_3_4_5_7_8_9],[6],[10]
44,房型 ： 两 层 的 town house ， 四 卧室 ， 一 个 办公室 ， 两 个 全 浴室 ( 都 有 浴缸 ) ， 两 个 living room 。,2,town house,,living room,,,,,,,,,,18,4,8,[0_2_3_4_8_9_11_12_13_15_16_17_18_20_21_22_25_26],[5_6_27_28],[1_7_10_14_19_23_24_29]
45,联系 方式 ： jeff ， em51,1,jeff ， em51,,,,,,,,,,,,2,1,2,[0_1],[3_5],[2_4]
46,能 不 能 续签 lease ?,1,lease,,,,,,,,,,,,4,1,1,[0_1_2_3],[4],[5]
47,原价 $700 / m ， 现 只 需 $500 / m 。,2,m,,m,,,,,,,,,,4,2,6,[0_5_6_7],[3_10],[1_2_4_8_9_11]
48,小区 免费 clubhouse 健身房 ， 环境 好 。,1,clubhouse,,,,,,,,,,,,5,1,2,[0_1_3_5_6],[2],[4_7]
49,爸 妈 两 人 ， 5/3 号 晚上 大概 10:30 的 飞机 到 newark 机场 。,1,newark,,,,,,,,,,,,11,1,4,[0_1_2_3_6_7_8_10_11_12_14],[13],[4_5_9_15]
