word index,word form,pos-tag,head,dep rel,frequency
CMU,1,,,,
0,房间,NN,4,nmod:topic,3.80E-17
1,：,PU,4,punct,
2,房间,NN,4,nsubj,3.80E-17
3,为,VC,0,root,6.56E-15
4,三,CD,4,dep,3.17E-15
5,层,M,5,mark:clf,1.86E-16
6,一,CD,9,dep,1.35E-14
7,整,JJ,9,amod,8.06E-17
8,层,M,5,dep,1.86E-16
9,，,PU,4,punct,
10,由,P,13,case,1.70E-15
11,阁楼,NN,13,compound:nn,7.00E-19
12,装修,NN,15,nmod:prep,4.62E-18
13,而,MSP,15,aux:prtmod,4.25E-15
14,成,VV,4,conj,1.11E-15
15,，,PU,4,punct,
16,空间,NN,20,compound:nn,2.30E-16
17,很大,JJ,20,dep,1.45E-17
18,，,PU,20,punct,
19,家具,NN,21,nsubj,1.16E-17
20,齐全,VA,4,conj,2.54E-17
21,，,PU,4,punct,
22,有,VE,4,conj,1.01E-14
23,一,CD,26,nummod,1.35E-14
24,张,M,24,mark:clf,1.40E-16
25,大号,NN,28,nmod:assmod,
26,的,DEG,26,case,1.12E-13
27,床,NN,33,conj,1.33E-17
28,和,CC,33,cc,1.59E-14
29,一,CD,33,nummod,1.35E-14
30,个,M,30,mark:clf,4.57E-15
31,气垫,NN,33,compound:nn,1.92E-20
32,床,NN,23,dobj,1.33E-17
33,；,PU,4,punct,
,,,,,
CMU,2,,,,
0,富人,NN,2,compound:nn,5.69E-21
1,区,NN,5,nsubj,7.47E-16
2,，,PU,5,punct,
3,非常,AD,5,advmod,4.30E-16
4,安全,VA,0,root,4.75E-16
5,（,PU,8,punct,
6,这里,PN,8,nsubj,5.77E-16
7,属于,VV,5,dep,2.52E-16
8,富人,NN,10,compound:nn,5.69E-21
9,区,NN,8,dobj,7.47E-16
10,）,PU,8,punct,
11,，,PU,5,punct,
12,旁边,NN,16,nsubj,2.47E-17
13,就,AD,16,advmod,3.73E-15
14,是,VC,16,cop,1.98E-14
15,公园,NN,5,conj,3.69E-17
16,，,PU,5,punct,
17,附近,NN,20,conj,9.39E-17
18,还有,CC,20,cc,2.17E-19
19,配套,NN,24,nmod:assmod,1.00E-16
20,的,DEG,20,case,1.12E-13
21,各,DT,24,det,2.64E-15
22,种,M,22,mark:clf,6.55E-15
23,球场,NN,27,conj,4.35E-18
24,和,CC,27,cc,1.59E-14
25,社区,NN,27,compound:nn,1.38E-16
26,设施,NN,31,nmod:topic,2.41E-16
27,，,PU,31,punct,
28,环境,NN,31,nsubj,9.76E-16
29,很,AD,31,advmod,2.06E-15
30,好,VA,5,conj,1.73E-15
31,很,AD,33,advmod,2.06E-15
32,安静,VA,5,conj,1.56E-17
33,。,PU,5,punct,
,,,,,
CMU,4,,,,
0,租约,NN,9,nmod:topic,8.76E-19
1,从,P,3,case,2.92E-15
2,八月,NT,9,nmod:prep,2.42E-19
3,开始,LC,3,case,1.01E-15
4,，,PU,9,punct,
5,具体,JJ,7,amod,7.52E-16
6,日期,NN,9,nsubj,5.55E-17
7,可以,VV,9,aux:modal,2.86E-15
8,商量,VV,0,root,1.68E-17
9,。,PU,9,punct,
,,,,,
CMU,5,,,,
0,房子,NN,3,nsubj,5.70E-17
1,一共,AD,3,advmod,5.65E-18
2,有,VE,0,root,1.01E-14
3,两,CD,7,nummod,2.28E-15
4,层,M,4,mark:clf,1.86E-16
5,+,PU,7,punct,
6,地下室,NN,3,dobj,2.70E-18
7,。,PU,3,punct,
,,,,,
CMU,6,,,,
0,一共,AD,2,advmod,5.65E-18
1,有,VE,0,root,1.01E-14
2,两,CD,8,nummod,2.28E-15
3,个,M,3,mark:clf,4.57E-15
4,可以,VV,6,aux:modal,2.86E-15
5,洗澡,VV,8,acl,6.26E-18
6,的,DEC,6,mark,1.12E-13
7,浴室,NN,2,dobj,2.84E-18
8,。,PU,2,punct,
,,,,,
CMU,7,,,,
0,还有,AD,2,advmod,2.17E-19
1,青椒,VV,0,root,
2,！,PU,2,punct,
,,,,,
CMU,9,,,,
0,整个,DT,2,det,4.43E-16
1,房子,NN,3,compound:nn,5.70E-17
2,家具,NN,4,nsubj,1.16E-17
3,齐全,VA,0,root,2.54E-17
4,。,PU,4,punct,
,,,,,
CMU,10,,,,
0,后院,NN,3,dep,1.51E-18
1,：,PU,3,punct,
2,阳台,NN,0,root,4.39E-18
3,。,PU,3,punct,
,,,,,
CMU,11,,,,
0,可以,VV,5,aux:modal,2.86E-15
1,从,P,3,case,2.92E-15
2,地下室,NN,5,nmod:prep,2.70E-18
3,直接,AD,5,advmod,7.02E-16
4,走,VV,10,dep,4.30E-16
5,出去,VV,5,advmod:rcomp,7.80E-17
6,的,SP,5,discourse,1.12E-13
7,，,PU,10,punct,
8,所以,AD,10,advmod,8.57E-16
9,叫,VV,0,root,6.65E-17
10,半地下室,NN,10,dobj,
11,。,PU,10,punct,
,,,,,
CMU,13,,,,
0,空调,NN,2,dep,1.23E-17
1,有,VE,0,root,1.01E-14
2,窗口,NN,4,compound:nn,3.90E-17
3,式,NN,7,compound:nn,3.55E-16
4,冷气机,NN,7,conj,
5,和,CC,7,cc,1.59E-14
6,暖气,NN,2,dobj,2.19E-18
7,。,PU,2,punct,
,,,,,
CMU,14,,,,
0,入住,VV,0,root,7.82E-19
1,时间,NN,1,dobj,9.88E-16
2,灵活,VA,1,conj,8.67E-17
3,，,PU,1,punct,
4,可,VV,7,aux:modal,1.43E-15
5,长期,AD,7,advmod,3.90E-16
6,入住,VV,1,conj,7.82E-19
7,。,PU,1,punct,
,,,,,
CMU,15,,,,
0,感兴趣,VV,3,acl,1.63E-20
1,的,DEC,1,mark,1.12E-13
2,同学,NN,5,nsubj,3.67E-17
3,，,PU,5,punct,
4,欢迎,VV,0,root,1.39E-16
5,发送,VV,5,ccomp,1.59E-17
6,邮件,NN,6,dobj,2.05E-17
7,（,PU,10,punct,
8,请,VV,10,xcomp,1.93E-16
9,注明,VV,5,dep,5.49E-20
10,“,PU,12,punct,
11,租房,NN,10,dobj,2.26E-18
12,”,PU,12,punct,
