word index,word form,pos-tag,head,dep rel,frequency
CMU,1
0,房间,NN,4,nmod:topic,3.803945613765072E-17
1,：,PU,4,punct,
2,房间,NN,4,nsubj,3.803945613765072E-17
3,为,VC,0,root,6.560245559518815E-15
4,三,CD,4,dep,3.169924772301475E-15
5,层,M,5,mark:clf,1.858352064842834E-16
6,一,CD,9,dep,1.3474564558635294E-14
7,整,JJ,9,amod,8.057847232585057E-17
8,层,M,5,dep,1.858352064842834E-16
9,，,PU,4,punct,
10,由,P,13,case,1.7039786079144326E-15
11,阁楼,NN,13,compound:nn,6.997709856341187E-19
12,装修,NN,15,nmod:prep,4.619972073390128E-18
13,而,MSP,15,aux:prtmod,4.2506895657624685E-15
14,成,VV,4,conj,1.106450602734831E-15
15,，,PU,4,punct,
16,空间,NN,20,compound:nn,2.3014190697805613E-16
17,很大,JJ,20,dep,1.4532126089583327E-17
18,，,PU,20,punct,
19,家具,NN,21,nsubj,1.1562112068951269E-17
20,齐全,VA,4,conj,2.5371766021488605E-17
21,，,PU,4,punct,
22,有,VE,4,conj,1.0111497814599467E-14
23,一,CD,26,nummod,1.3474564558635294E-14
24,张,M,24,mark:clf,1.4030110908854035E-16
25,大号,NN,28,nmod:assmod,
26,的,DEG,26,case,1.122713139757776E-13
27,床,NN,32,conj,1.3271221009190973E-17
28,和,CC,32,cc,1.591811265979484E-14
29,一,CD,32,nummod,1.3474564558635294E-14
30,个,M,30,mark:clf,4.571657372707505E-15
31,气垫床,NN,23,dobj,
32,；,PU,4,punct,

CMU,2
0,富人,NN,2,compound:nn,5.6912745793143164E-21
1,区,NN,5,nsubj,7.471972719602202E-16
2,，,PU,5,punct,
3,非常,AD,5,advmod,4.303792994401794E-16
4,安全,VA,0,root,4.749614832023531E-16
5,（,PU,8,punct,
6,这里,PN,8,nsubj,5.771989002761016E-16
7,属于,VV,5,dep,2.522578802587446E-16
8,富人,NN,10,compound:nn,5.6912745793143164E-21
9,区,NN,8,dobj,7.471972719602202E-16
10,）,PU,8,punct,
11,，,PU,5,punct,
12,旁边,NN,16,nsubj,2.4651659919941882E-17
13,就,AD,16,advmod,3.725609279809303E-15
14,是,VC,16,cop,1.9796253661710535E-14
15,公园,NN,5,conj,3.688706895569765E-17
16,，,PU,5,punct,
17,附近,NN,20,conj,9.393263247132661E-17
18,还有,CC,20,cc,2.165881685408718E-19
19,配套,NN,24,nmod:assmod,9.999479910187714E-17
20,的,DEG,20,case,1.122713139757776E-13
21,各,DT,24,det,2.6393840281239834E-15
22,种,M,22,mark:clf,6.554006643641779E-15
23,球场,NN,27,conj,4.345639849286101E-18
24,和,CC,27,cc,1.591811265979484E-14
25,社区,NN,27,compound:nn,1.3786063939140608E-16
26,设施,NN,31,nmod:topic,2.40665521303546E-16
27,，,PU,31,punct,
28,环境,NN,31,nsubj,9.761413255065941E-16
29,很,AD,31,advmod,2.0648311228989252E-15
30,好,VA,5,conj,1.7275837767277398E-15
31,很,AD,33,advmod,2.0648311228989252E-15
32,安静,VA,5,conj,1.5639174915618042E-17
33,。,PU,5,punct,

CMU,4
0,租约,NN,9,nmod:topic,8.761685241401696E-19
1,从,P,3,case,2.9188444103584997E-15
2,八月,NT,9,nmod:prep,2.4159140854662344E-19
3,开始,LC,3,case,1.0083580322274579E-15
4,，,PU,9,punct,
5,具体,JJ,7,amod,7.524622764682345E-16
6,日期,NN,9,nsubj,5.550476283036403E-17
7,可以,VV,9,aux:modal,2.856512995643701E-15
8,商量,VV,0,root,1.6786062663707954E-17
9,。,PU,9,punct,

CMU,5
0,房子,NN,3,nsubj,5.697592533566408E-17
1,一共,AD,3,advmod,5.65482484324455E-18
2,有,VE,0,root,1.0111497814599467E-14
3,两,CD,7,nummod,2.2846574348347108E-15
4,层,M,4,mark:clf,1.858352064842834E-16
5,+,PU,7,punct,
6,地下室,NN,3,dobj,2.702524115404288E-18
7,。,PU,3,punct,

CMU,6
0,一共,AD,2,advmod,5.65482484324455E-18
1,有,VE,0,root,1.0111497814599467E-14
2,两,CD,8,nummod,2.2846574348347108E-15
3,个,M,3,mark:clf,4.571657372707505E-15
4,可以,VV,6,aux:modal,2.856512995643701E-15
5,洗澡,VV,8,acl,6.262032683333079E-18
6,的,DEC,6,mark,1.122713139757776E-13
7,浴室,NN,2,dobj,2.839754174361687E-18
8,。,PU,2,punct,

CMU,7
0,还有,AD,2,advmod,2.165881685408718E-19
1,青椒,VV,0,root,
2,！,PU,2,punct,

CMU,9
0,整个,DT,2,det,4.4346641730876536E-16
1,房子,NN,3,compound:nn,5.697592533566408E-17
2,家具,NN,4,nsubj,1.1562112068951269E-17
3,齐全,VA,0,root,2.5371766021488605E-17
4,。,PU,4,punct,

CMU,10
0,后院,NN,3,dep,1.5096585423421615E-18
1,：,PU,3,punct,
2,阳台,NN,0,root,4.390786364488302E-18
3,。,PU,3,punct,

CMU,11
0,可以,VV,5,aux:modal,2.856512995643701E-15
1,从,P,3,case,2.9188444103584997E-15
2,地下室,NN,5,nmod:prep,2.702524115404288E-18
3,直接,AD,5,advmod,7.023124914417621E-16
4,走,VV,10,dep,4.303551275099437E-16
5,出去,VV,5,advmod:rcomp,7.800403386193354E-17
6,的,SP,5,discourse,1.122713139757776E-13
7,，,PU,10,punct,
8,所以,AD,10,advmod,8.573118606800775E-16
9,叫,VV,0,root,6.646280045759066E-17
10,半地下室,NN,10,dobj,
11,。,PU,10,punct,

CMU,13
0,空调,NN,2,dep,1.2345653500640462E-17
1,有,VE,0,root,1.0111497814599467E-14
2,窗口,NN,4,compound:nn,3.896777336313281E-17
3,式,NN,7,compound:nn,3.5506244243635766E-16
4,冷气机,NN,7,conj,
5,和,CC,7,cc,1.591811265979484E-14
6,暖气,NN,2,dobj,2.1934747750825843E-18
7,。,PU,2,punct,

CMU,14
0,入住,VV,0,root,7.816869714330135E-19
1,时间,NN,1,dobj,9.879974654465082E-16
2,灵活,VA,1,conj,8.674698266005727E-17
3,，,PU,1,punct,
4,可,VV,7,aux:modal,1.426493034012033E-15
5,长期,AD,7,advmod,3.8968272148994817E-16
6,入住,VV,1,conj,7.816869714330135E-19
7,。,PU,1,punct,

CMU,15
0,感兴趣,VV,3,acl,1.6306460873316298E-20
1,的,DEC,1,mark,1.122713139757776E-13
2,同学,NN,5,nsubj,3.672956772773303E-17
3,，,PU,5,punct,
4,欢迎,VV,0,root,1.387922818559682E-16
5,发送,VV,5,ccomp,1.586852049178333E-17
6,邮件,NN,6,dobj,2.0515574079604243E-17
7,（,PU,10,punct,
8,请,VV,10,xcomp,1.9298971415262998E-16
9,注明,VV,5,dep,5.48984182734982E-20
10,“,PU,12,punct,
11,租房,NN,10,dobj,2.2563665565292767E-18
12,”,PU,12,punct,
13,）,PU,10,punct,
14,，,PU,5,punct,
15,请,VV,18,xcomp,1.9298971415262998E-16
16,简单,AD,18,advmod,2.566949002358267E-16
17,介绍,VV,5,conj,2.9580111864911923E-16
18,一下,AD,18,advmod,1.814688478376524E-16
19,自己,PN,18,dobj,2.4365235336029444E-15
20,。,PU,5,punct,

CMU,16
0,二,OD,2,amod:ordmod,3.429608678788833E-15
1,楼,NN,13,nsubj,1.0392695826094025E-16
2,是,VC,13,cop,1.9796253661710535E-14
3,三,CD,6,nummod,3.169924772301475E-15
4,间,M,4,mark:clf,1.7419233586852072E-15
