word index,word form,pos-tag,head,dep rel,frequency
CMU,0,,,,
0,生活,NN,2,compound:nn,1.74E-15
1,交通,NN,3,nsubj,3.19E-16
2,便利,VA,0,root,3.70E-17
3,，,PU,3,punct,
,,,,,
CMU,1,,,,
0,房屋,NN,2,nsubj,1.06E-16
1,安静,VA,0,root,1.56E-17
2,并且,CC,2,cc,3.64E-16
3,超级,AD,5,advmod,1.93E-17
4,安全,VA,2,conj,4.75E-16
5,。,PU,2,punct,
,,,,,
CMU,2,,,,
0,租金,NN,9,nmod:topic,2.34E-17
1,一月,NT,9,nmod:tmod,1.04E-19
2,400-500,CD,9,advmod:loc,
3,左右,LC,3,case,2.87E-16
4,，,PU,9,punct,
5,房间,NN,9,nmod:topic,3.80E-17
6,大家,PN,9,nsubj,3.06E-16
7,共同,AD,9,advmod,5.06E-16
8,选择,VV,0,root,5.14E-16
9,分配,NN,9,dobj,3.73E-16
10,.,PU,9,punct,
,,,,,
CMU,3,,,,
0,二,OD,2,amod:ordmod,3.43E-15
1,楼,NN,16,nsubj,1.04E-16
2,是,VC,16,cop,1.98E-14
3,两,CD,7,nummod,2.28E-15
4,个,M,4,mark:clf,4.57E-15
5,中等,JJ,7,amod,5.19E-17
6,卧室,NN,16,dep,3.33E-18
7,，,PU,16,punct,
8,一,CD,12,nummod,1.35E-14
9,个,M,9,mark:clf,4.57E-15
10,大,JJ,12,amod,4.04E-15
11,卧室,NN,16,conj,3.33E-18
12,和,CC,16,cc,1.59E-14
13,一,CD,16,nummod,1.35E-14
14,个,M,14,mark:clf,4.57E-15
15,卫生间,NN,0,root,4.05E-18
16,。,PU,16,punct,
,,,,,
CMU,4,,,,
0,整个,DT,8,dep,4.43E-16
1,三,CD,1,dep,3.17E-15
2,楼,M,2,mark:clf,1.04E-16
3,是,VC,8,cop,1.98E-14
4,一,CD,8,nummod,1.35E-14
5,个,M,5,mark:clf,4.57E-15
6,超大,JJ,8,amod,1.28E-18
7,房间,NN,0,root,3.80E-17
8,（,PU,10,punct,
9,阁楼,NN,8,dep,7.00E-19
10,）,PU,10,punct,
11,。,PU,8,punct,
,,,,,
CMU,5,,,,
0,有,VE,0,root,1.01E-14
1,独立,JJ,3,amod,4.10E-16
2,卫生间,NN,1,dobj,4.05E-18
3,。,PU,1,punct,
,,,,,
CMU,6,,,,
0,生活,NN,3,nsubj,1.74E-15
1,不,AD,3,neg,8.49E-15
2,用,VV,0,root,1.48E-15
3,愁,VV,3,advmod:rcomp,6.53E-19
4,！,PU,3,punct,
,,,,,
CMU,7,,,,
0,（,PU,9,punct,
1,在,P,3,case,1.88E-14
2,匹兹堡,NR,9,nmod:prep,8.29E-19
3,，,PU,9,punct,
4,包,NN,6,compound:nn,7.36E-17
5,暖气,NN,9,nsubj,2.19E-18
6,还是,AD,9,advmod,6.76E-16
7,很,AD,9,advmod,2.06E-15
8,重要,VA,11,dep,1.73E-15
9,的,SP,11,discourse,1.12E-13
10,！,PU,0,root,
,,,,,
CMU,8,,,,
0,还,AD,2,advmod,2.84E-15
1,差,VV,0,root,1.14E-16
2,一,CD,5,nummod,1.35E-14
3,个,M,3,mark:clf,4.57E-15
4,男生,NN,2,dobj,2.24E-18
,,,,,
CMU,9,,,,
0,欢迎,VV,0,root,1.39E-16
1,联系,NN,1,dobj,6.05E-16
2,！,PU,1,punct,
,,,,,
CMU,10,,,,
0,已经,AD,2,advmod,9.02E-16
1,找到,VV,4,dep,1.79E-16
2,啦,SP,4,discourse,1.11E-17
3,。,PU,0,root,
,,,,,
CMU,11,,,,
0,谢谢,VV,0,root,1.57E-17
1,各位,PN,1,dobj,1.57E-17
2,提供,VV,1,conj,8.47E-16
3,信息,NN,3,dobj,8.20E-16
,,,,,
CMU,12,,,,
0,很,AD,10,advmod,2.06E-15
1,可能,AD,1,dep,1.41E-15
2,是,VC,10,cop,1.98E-14
3,大学,NN,6,compound:nn,7.24E-16
4,租房,NN,6,compound:nn,2.26E-18
5,市场,NN,10,dep,2.09E-15
6,上,LC,6,case,6.90E-15
7,最好,JJ,10,amod,7.67E-20
8,的,DEG,8,case,1.12E-13
9,房子,NN,0,root,5.70E-17
10,。,PU,10,punct,
,,,,,
CMU,13,,,,
0,非常,AD,2,advmod,4.30E-16
1,安静,VV,0,root,1.56E-17
2,安全,NN,6,nmod:assmod,4.75E-16
3,的,DEG,3,case,1.12E-13
4,大学,NN,6,compound:nn,7.24E-16
5,小区,NN,2,dobj,2.04E-17
6,。,PU,2,punct,
,,,,,
CMU,14,,,,
0,可以,VV,0,root,2.86E-15
1,单独,JJ,3,amod,4.68E-17
2,卧室,NN,1,dobj,3.33E-18
3,租,VV,1,conj,1.62E-17
4,，,PU,1,punct,
5,优先,AD,8,advmod,7.56E-17
6,整,AD,8,advmod,8.06E-17
7,租,VV,1,conj,1.62E-17
8,。,PU,1,punct,
,,,,,
CMU,15,,,,
0,*,PU,3,punct,
1,*,PU,3,dep,
2,优先,VV,0,root,7.56E-17
3,一,CD,3,nmod:range,1.35E-14
4,年,M,4,mark:clf,1.38E-14
5,长,AD,7,advmod,1.22E-15
6,租,VV,3,dep,1.62E-17
7,！,PU,3,punct,
,,,,,
CMU,16,,,,
0,优先,AD,3,advmod,7.56E-17
1,整,AD,3,advmod,8.06E-17
2,租,VV,0,root,1.62E-17
3,。,PU,3,punct,
,,,,,
CMU,17,,,,
0,一,CD,4,nummod,1.35E-14
1,楼,M,1,mark:clf,1.04E-16
2,客厅,NN,4,compound:nn,6.20E-18
3,餐厅,NN,5,compound:nn,6.78E-18
4,家具,NN,6,nsubj,1.16E-17
5,齐全,VA,0,root,2.54E-17
6,。,PU,6,punct,
,,,,,
CMU,18,,,,
0,欢迎,VV,0,root,1.39E-16
1,同学,NN,1,dobj,3.67E-17
2,联系,VV,1,ccomp,6.05E-16
3,。,PU,1,punct,
,,,,,
CMU,19,,,,
0,可以,VV,6,aux:modal,2.86E-15
1,在,P,5,case,1.88E-14
2,这个,DT,5,det,1.69E-15
3,下午,NT,5,compound:nn,1.03E-16
4,时间,NN,6,nmod:prep,9.88E-16
5,来,VV,0,root,4.31E-15
6,最好,AD,6,advmod,7.67E-20
7,。,PU,6,punct,
,,,,,
CMU,20,,,,
0,目前,NT,2,nmod:tmod,5.97E-16
1,有,VE,0,root,1.01E-14
2,房客,NN,4,nsubj,6.96E-19
3,在,VV,2,ccomp,1.88E-14
4,，,PU,2,punct,
5,所以,AD,10,advmod,8.57E-16
6,我,PN,10,nsubj,5.51E-15
7,尽量,AD,10,advmod,5.32E-17
8,少,AD,10,advmod,8.18E-16
9,打搅,VV,2,conj,2.69E-20
10,住,VV,14,acl,3.88E-16
11,里面,NN,11,dobj,4.91E-17
12,的,DEC,11,mark,1.12E-13
13,房客,NN,10,dobj,6.96E-19
14,。,PU,2,punct,
,,,,,
CMU,21,,,,
0,如果,CS,13,advmod,1.19E-15
1,不,AD,9,neg,8.49E-15
2,在,P,6,case,1.88E-14
3,匹兹堡,NR,6,nmod:assmod,8.29E-19
4,的,DEG,4,case,1.12E-13
5,同学,NN,9,nmod:prep,3.67E-17
6,也,AD,9,advmod,5.45E-15
7,可以,VV,9,aux:modal,2.86E-15
8,委托,VV,13,dep,1.08E-16
9,熟人,NN,12,dep,5.41E-18
10,来看,LC,10,case,1.29E-19
11,房,NN,9,dobj,1.54E-16
12,。,PU,0,root,
,,,,,
CMU,22,,,,
0,出租,NN,3,nmod:assmod,4.50E-17
1,的,DEG,1,case,1.12E-13
2,房子,NN,4,nsubj,5.70E-17
3,在,VV,0,root,1.88E-14
4,一楼,CD,4,nmod:range,7.26E-21
5,，,PU,4,punct,
6,我,PN,12,nsubj,5.51E-15
7,是,VC,12,cop,1.98E-14
8,二,OD,10,amod:ordmod,3.43E-15
9,楼,NN,12,nmod:assmod,1.04E-16
10,的,DEG,10,case,1.12E-13
11,邻居,NN,4,conj,1.27E-17
12,。,PU,4,punct,
,,,,,
CMU,23,,,,
0,一,CD,4,nummod,1.35E-14
1,楼,M,1,mark:clf,1.04E-16
2,二,OD,4,amod:ordmod,3.43E-15
3,楼,NN,5,nsubj,1.04E-16
4,是,VC,0,root,1.98E-14
5,完全,AD,7,advmod,6.08E-16
6,分开,VV,9,dep,2.77E-17
7,的,DEC,7,mark,1.12E-13
8,两,CD,5,dep,2.28E-15
9,户,M,9,mark:clf,1.60E-16
10,，,PU,5,punct,
11,有,VE,5,conj,1.01E-14
12,自己,PN,15,nmod:assmod,2.44E-15
13,的,DEG,13,case,1.12E-13
14,大门,NN,12,dobj,1.92E-17
15,，,PU,5,punct,
16,没有,VE,5,conj,2.81E-15
17,任何,DT,21,det,6.08E-16
18,共用,JJ,21,amod,4.01E-18
19,的,DEG,19,case,1.12E-13
20,设施,NN,17,dobj,2.41E-16
21,。,PU,5,punct,
,,,,,
CMU,24,,,,
0,餐厅,NN,2,dep,6.78E-18
1,有,VE,0,root,1.01E-14
2,一,CD,5,nummod,1.35E-14
3,个,M,3,mark:clf,4.57E-15
4,空调,NN,2,dobj,1.23E-17
5,。,PU,2,punct,
,,,,,
CMU,25,,,,
0,房间,NN,4,advmod:loc,3.80E-17
1,内,LC,1,case,1.17E-15
2,木,NN,4,dep,2.59E-17
3,有,VE,0,root,1.01E-14
4,家具,NN,4,dobj,1.16E-17
5,。,PU,4,punct,
,,,,,
CMU,26,,,,
0,房间,NN,3,advmod:loc,3.80E-17
