SentenceID,CodeSwitchedSentence, TranslatedSentence
0,比邻 各 大 超市 （ giant eagle ；,比邻 各 大 超市 （ 如 巨鹰 超市
1,房间  ：  房间 为 三 层 一 整 层 ， 由 阁楼 装修 而 成 ， 空间 很大 ， 家具 齐全 ， 有 一 张 queen size 的 床 和 一 个 气垫 床 ；,房间  ：  房间 为 三 层 一 整 层 ， 由 阁楼 装修 而 成 ， 空间 很大 ， 家具 齐全 ， 有 一 张 标准 双人床 和 一 个 气垫 床 ；
2,rich neighborhood ， 非常 安全 （ 这里 属于 富人 区 ） ， 旁边 就 是 公园 ， 附近 还有 配套 的 各 种 球场 和 社区 设施 ， 环境 很 好 很 安静  。,富人 区 ， 非常 安全 ， 旁边 就 是 公园 ， 附近 还有 配套 的 各 种 球场 和 社区 设施 ， 环境 很 好 很 安静  。
3,今天 安排 看 房 ， 欢迎 联系 ～ up up ， 可以 约 看 房  。,今天 安排 看 房 ， 欢迎 联系 ～ 抓紧 机会 ， 可以 约 看 房  。
4,lease 从 八月 开始 ， 具体 日期 可以 商量  。,租约 从 八月 开始 ， 具体 日期 可以 商量  。
5,house 一共 有 两 层 + 地下室  。,房子 一共 有 两 层 + 地下室  。
6,一共 有 两 个 可以 洗澡 的 bathroom  。,一共 有 两 个 可以 洗澡 的 浴室 。
7,） 还有 green pepper ！,还有 青椒 ！
8,直达 waterfront （ 匹兹堡 逛街 好 去处 ， macy ’ s 和 amc 电影院 都 在 那里 ）  。,直达 滨 水区 （ 匹兹堡 逛街 好 去处 ， 梅 西 百货 和 amc 电影院 都 在 那里 ）  。
9,整个 house 家具 齐全  。,整个 房子 家具 齐全
10,后院  ：  deck  。,后院 ： 露天 阳台
11,可以 从 地下室 直接 走 出去 的 ， 所以 叫 walk out basement .,可以 从 地下室 直接 走 出去 的 ， 所以 叫 半地下室 。
12,html 可以 email  :  em@0,网页 可以 发送 至 邮箱 :  em@0
13,空调 有 window ac 和 暖气  。,空调 有 窗口 式 冷气机 和 暖气  。
14,入住 时间 flexible ， 可 长期 入住  。,入住 时间 灵活 ， 可 长期 入住
15,感兴趣 的 同学 ， 欢迎 email （ 请 注明 “ 租房 ” ） ， 请 简单 介绍 一下 自己  。,感兴趣 的 同学 ， 欢迎 发送 邮件 （ 请 注明 “ 租房 ” ） ， 请 简单 介绍 一下 自己  。
16,二 楼 是 三 间 卧室 和 一 个 full 卫生间  。,二 楼 是 三 间 卧室 和 一 个 设施 完全 的 卫生间  。
17,有 兴趣 者 ， 请 email 短信 介绍 一下 自己 情况  。,有 兴趣 者 ， 请 发送 短信 介绍 一下 自己 情况  。
18,半山 独 栋 别墅 ， 自 带 车库 和 driveway  。,半山 独 栋 别墅 ， 自 带 车库 和 私人 车道 。
19,一 楼 有 half bath  。,一 楼 有 盥洗室 。
20,folk library 旁边  。,民间 图书馆 旁边 。
21,有 兴趣 联系 email  :  em@1,有 兴趣 请 联系 邮箱  :  em@1
22,精装 修 家具 全 free 无线 上网 !,精装 修 家具 全 免费 无线 上网 !
23,oakland 的 干净 精致 好 房 您 不 能 错过 ！,奥克兰 的 干净 精致 好 房 您 不 能 错过 ！
