SentenceID,CodeSwitchedSentence, TranslatedSentence
0,全新 的 baby safety mirror ， 可以 看到 坐在 rear face seat 上 小孩 的 情况 ， $5  。,全新 的 儿童 安全 镜 ， 可以 看到 坐在 儿童 安全 座椅 上 小孩 的 情况 ， $5  。
1,床头 桌 night stand$10,床头 桌 床头柜 $ 10
2,小 蜡烛 一 盒 a box of little candles$2,小 蜡烛 一 盒 一 小盒 蜡烛 $ 2
3,三 个 帽子 three hats$5 in total,三 个 帽子 三 个 帽子 总共 $ 5
4,全程 dealer 保养 ， 没 出 过 任何 毛病 ， 非常 省 油 省心  。,全程 卖家 保养 ， 没 出 过 任何 毛病 ， 非常 省 油 省心  。
5,垃圾 桶 上 有 penn state 校徽,垃圾 桶 上 有 宾州 州立 校徽
6,咖啡 机 hamilton beach one cup coffee,咖啡 机 汉密尔顿 碧池 一 杯 大小 咖啡机
7,补充  ：  jeep 带有 按键 启动  、  遥控 启动 功能  。,补充  ： 吉普 带有 按键 启动  、  遥控 启动 功能  。
8,补充  ：  jeep 带有 按键 启动  、  遥控 启动 功能  。,补充  ：  吉普 带有 按键 启动  、  遥控 启动 功能  。
9,求 一 张 成色 比较 新 的 queen size 的 木头 床  。,求 一 张 成色 比较 新 的 大号 的 木头 床  。
10,地址 在 squirrel hill ， 请 联系 电话 pn-0 .,地址 在 松鼠山 ， 请 联系 电话 pn-0 .
11,坐 几 站 bus 就 能 到 giant eagle ；,坐 几 站 公交 就 能 到 大老鹰 ；
12,本人 因 做 毕业 论文 离开 匹兹堡 现 出售 自己 的 buick century  。,本人 因 做 毕业 论文 离开 匹兹堡 现 出售 自己 的 别克 世纪  。
13,google drive 地址  ：,谷歌 云 盘 地址  ：
14,hello ~ 下面 先 列 个 列表 ， 包括 物品  、  价格  、  赠品  。,嘿 ~ 下面 先 列 个 列表 ， 包括 物品  、  价格  、  赠品  。
15,up up up up 自己 up 一下 ~,顶顶 顶顶 自己 顶 一下 ~
16,up up up up up up 一下 自己 ~,顶顶顶 顶顶 一下 自己 ~
17,这个 amazon 上 的 链接 ，,这个 亚马逊 上 的 链接 ，
18,价格  、  照片  、  联系 方式 ， 请 看 google docs 文件  ：,价格  、  照片  、  联系 方式 ， 请 看 谷歌 文档 文件  ：
19,nine west tote bag 全 新 $25,玖熙 手包 全 新 $25
20,hello ~ 下面 先 列 个 列表 ， 包括 物品  、  价格  、  赠品  。,嘿 ~ 下面 先 列 个 列表 ， 包括 物品  、  价格  、  赠品  。
21,blender  ：  原价 $ 39 .,搅拌机 ：  原价 $ 39 .
22,tx-instrument financial instrument  :  actuarial exam fm/mle  :  原价 84 .,tx-instrument 金融 用品  :  精算 考试  :  原价 84 .
24,照片 请 看 下边 google drive 的 链接  ：,照片 请 看 下边 谷歌 云 盘 的 链接  ：
25,出 闲置 ， 有 兴趣 请 email 联系,出 闲置 ， 有 兴趣 请 电子 邮件 联系
26,车子 状况 非常 好 ， clean title ， 无 事故 ， 省心 省 油  。,车子 状况 非常 好 ， 干净 标题 ， 无 事故 ， 省心 省 油  。
27,红色 ， 第一 任 车主 ， clean title ， 基本 配置  。,红色 ， 第一 任 车主 ， 干净 标题 ， 基本 配置  。
28,tx-instrument financial instrument  :  actuarial exam fm/mle  :  原价 84 .,tx-instrument 金融 用品  :  精算 考试  :  原价 84 .
30,电梯 直达 [ url = ] [/url ],电梯 直达 [ 统一 资源 定位 符 = ] [ / 统一 资源 定位符 ]
31,king size king size king size 床,超大号 超大号 超大号 的 床
32,queen size size size 床,大号 的 床
33,一 张 work bench ;,一 张 工作台 ;
34,邮箱 wood em@0,邮箱 wood em@0
35,楼 主 你 是 不 是 在 sq hill ？,楼 主 你 是 不 是 在 松鼠山 ？
36,车子 状况 非常 好 ， clean title ， 无 事故 ， 省心 省 油  。,车子 状况 非常 好 ， 干净 标题 ， 无 事故 ， 省心 省 油  。
37,没有 任何 故障 ， 车辆 非常 省心 ， 非常 reliable  。,没有 任何 故障 ， 车辆 非常 省心 ， 非常 可靠 。
38,大家 好 ， 我 是 匹 大学生 ， 希望 加入 一 个 手机 的 family plan  。,大家 好 ， 我 是 匹 大学生 ， 希望 加入 一 个 手机 的 家庭 套餐 。
39,cell  :  pn-1  (  电话 或 短信 均 可  ),电话  :  pn-1  (  电话 或 短信 均 可  )
40,cell  :  pn-1  (  电话 或 短信 均 可  ),电话  :  pn-1  (  电话 或 短信 均 可  )
41,clean title ， 随时 可 交 车,干净 标题 ， 随时 可 交 车
42,微波炉 搬家 sale,搬家 出售 微波炉
43,无线 激光 打印机 brother 牌子 可以 复印 ， 扫描 ！,无线 激光 打印机 兄弟 牌 可以 复印 ， 扫描 ！
44,有 兴趣 请 联系 rent em@1,有 兴趣 请 联系 rent em@1
45,使用 至今 没有 任何 事故 记录 ， clean title  。,使用 至今 没有 任何 事故 记录 ， 干净 标题  。
46,写 paper 写 作业 必备  。,写 文章 写 作业 必备  。
47,有 兴趣 请 先 邮件 联系 rent em@1,有 兴趣 请 先 邮件 联系 rent em@1
48,豪华 suv 包车 往返 pit 机场 及 匹兹堡 市区,豪华 城市 功能 越野 车 包车 往返 匹兹堡 机场 及 匹兹堡 市区
49,豪华 suv 包车 往返 pit 机场 及 匹兹堡 市区,豪华 城市 功能 越野 车 包车 往返 匹兹堡 机场 及 匹兹堡 市区
50,联系 电话  ：  pn-2 email  :  em@2,联系 电话  ：  pn-2 电子 邮箱  :  em@2
51,小 电风扇 已 出 ， 屏风 on hold,小 电风扇 已 出 ， 屏风 待出
52,hello 你 可以 直接 微 信 我 ， 我 发给 你 吗 ？,你 好 你 可以 直接 微 信 我 ， 我 发给 你 吗 ？
53,最好 在 north oakland,最好 在 北 奥克兰
54,本人 是 第三 任 车主 ， 前 两 位 车主 及 本人 均 在 奥迪 dealer 店 定期 保养 ， 车况 好  。,本人 是 第三 任 车主 ， 前 两 位 车主 及 本人 均 在 奥迪 卖家 店 定期 保养 ， 车况 好  。
55,联系 电话  ：  pn-2 email  :  em@2,联系 电话  ：  pn-2 电子 邮箱  :  em@2
56,amazon fire tv stick ， 原价 $ 39 .,亚马逊 火焰 电视棒 ， 原价 $ 39 .
57,宜家 立柜 / 书柜  (  like new  )   :  $25  (  multiple available  ),宜家 立柜 / 书柜  (  半新  )   :  $25  (  多个 可得  )
58,地址  ：  frick park,地址  ： 弗里克 公园
59,我 住 n craig st  。,我 住 北克列戈街  。
60,以上 queen size 已 出 啦,以上 大号 尺寸 的 已 出 啦
61,本人 是 第三 任 车主 ， 前 两 位 车主 及 本人 均 在 奥迪 dealer 店 定期 保养 ， 车况 好  。,本人 是 第三 任 车主 ， 前 两 位 车主 及 本人 均 在 奥迪 的 专卖 店 定期 保养 ， 车况 好  。
62,求购 bread toaster 一 个 ！,求购 烤面 包机 一 个 ！
63,cloth horse 是 啥 啊 楼 主,晾衣 架 是 啥 啊 楼 主
64,可以 暂时 用 国内 的 驾照 开 ， 不过 最好 是 考 learner permit  。,可以 暂时 用 国内 的 驾照 开 ， 不过 最好 是 考 学习者 许可证 。
65,平时 都 很 爱惜 车子 经常 保养 车主 不 吸烟 clean title 可 送 aux 线 手机 支架,平时 都 很 爱惜 车子 经常 保养 车主 不 吸烟 干净 标题 可 送 辅助 接口 线 手机 支架
66,因 relocate 需要 ， 出手 小车 ~,因 搬家 需要 ， 出手 小车 ~
