sentence ID,original,translated,untranslated word,cs indices in original,cs indices in translated,punct indices in original,punct indices in translated
1,房间 ： 房间 为 三 层 一 整 层 ， 由 阁楼 装修 而 成 ， 空间 很大 ， 家具 齐全 ， 有 一 张 queen size 的 床 和 一 个 气垫 床 ；,房间 ： 房间 为 三 层 一 整 层 ， 由 阁楼 装修 而 成 ， 空间 很大 ， 家具 齐全 ， 有 一 张 大号 的 床 和 一 个 气垫 床 ；,[],[25_26],[25],[1_9_15_18_21_34],[1_9_15_18_21_33]
2,rich neighborhood ， 非常 安全 （ 这里 属于 富人 区 ） ， 旁边 就 是 公园 ， 附近 还有 配套 的 各 种 球场 和 社区 设施 ， 环境 很 好 很 安静 。,富人 区 ， 非常 安全 （ 这里 属于 富人 区 ） ， 旁边 就 是 公园 ， 附近 还有 配套 的 各 种 球场 和 社区 设施 ， 环境 很 好 很 安静 。,[],[0_1_2],[0_1_2],[2_5_10_11_16_27_33],[2_5_10_11_16_27_33]
4,lease 从 八月 开始 ， 具体 日期 可以 商量 。,租约 从 八月 开始 ， 具体 日期 可以 商量 。,[],[0],[0],[4_9],[4_9]
5,house 一共 有 两 层 + 地下室 。,房子 一共 有 两 层 + 地下室 。,[],[0],[0],[5_7],[5_7]
6,一共 有 两 个 可以 洗澡 的 bathroom 。,一共 有 两 个 可以 洗澡 的 浴室 。,[],[7_8],[7_8],[8],[8]
7,还有 green pepper ！,还有 青椒 ！,[],[1_2_3],[1_2],[3],[2]
9,整个 house 家具 齐全 。,整个 房子 家具 齐全 。,[],[1],[1],[4],[4]
10,后院 ： deck 。,后院 ： 阳台 。,[],[2_3],[2_3],[1_3],[1_3]
11,可以 从 地下室 直接 走 出去 的 ， 所以 叫 walk out basement .,可以 从 地下室 直接 走 出去 的 ， 所以 叫 半地下室 。,[],[10_11_12_13],[10_11],[7_13],[7_11]
13,空调 有 window ac 和 暖气 。,空调 有 窗口 式 冷气机 和 暖气 。,[],[2_3],[2_3_4],[6],[7]
14,入住 时间 flexible ， 可 长期 入住 。,入住 时间 灵活 ， 可 长期 入住 。,[],[2_3],[2_3],[3_7],[3_7]
15,感兴趣 的 同学 ， 欢迎 email （ 请 注明 “ 租房 ” ） ， 请 简单 介绍 一下 自己 。,感兴趣 的 同学 ， 欢迎 发送 邮件 （ 请 注明 “ 租房 ” ） ， 请 简单 介绍 一下 自己 。,[],[5_6],[5_6_7],[3_6_9_11_12_13_19],[3_7_10_12_13_14_20]
16,二 楼 是 三 间 卧室 和 一 个 full 卫生间 。,二 楼 是 三 间 卧室 和 一 个 设施 完全 的 卫生间 。,[],[9],[9_10_11],[11],[13]
17,有 兴趣 者 ， 请 email 短信 介绍 一下 自己 情况 。,有 兴趣 者 ， 请 发送 短信 介绍 一下 自己 情况 。,[],[5],[5],[3_11],[3_11]
18,半山 独 栋 别墅 ， 自 带 车库 和 driveway 。,半山 独 栋 别墅 ， 自 带 车库 和 私人 车道 。,[],[9_10],[9_10_11],[4_10],[4_11]
19,一 楼 有 half bath 。,一 楼 有 半 浴室 。,[],[3_4_5],[3_4_5],[5],[5]
21,有 兴趣 联系 email : em@1,有 兴趣 请 联系 邮箱 : em@1,[],[3_4_5],[2_4_5_6],[4_5],[5_6]
22,精装 修 家具 全 free 无线 上网 !,精装 修 家具 全 免费 无线 上网 !,[],[4],[4],[7],[7]
25,对比 其他 地方 ， 可能 和 很多 人 share ， 并且 还 很 贵 ！,对比 其他 地方 ， 可能 和 很多 人 共用 ， 并且 还 很 贵 ！,[],[8_9],[8_9],[9_14],[9_14]
26,房东 非常 无敌 nice 还 会 帮忙 丢 垃圾 ！,房东 非常 无敌 好 还 会 帮忙 丢 垃圾 ！,[],[3],[3],[9],[9]
29,门口 有 bus 到 中国 超市 ， 餐馆 和 downtown .,门口 有 公交车 到 中国 超市 ， 餐馆 和 市中心 。,[],[2_9_10],[2_9_10],[6_10],[6_10]
30,户型 ： 一 楼 是 超大 living room ， dining room 及 厨房 ；,户型 ： 一 楼 是 超大 客厅 ， 餐厅 及 厨房 ；,[],[6_7_8_9_10],[6_7_8],[1_8_13],[1_7_11]
31,长 租 all gone ！,长 租 全部 租出 ！,[],[2_3_4],[2_3_4],[4],[4]
