NewSentenceID,CodeSwitchedSentence,TranslatedSentence,UntranslatedWord,IndicesOfCodeSwitchedWord,IndicesOfCodeSwitchedWordInTranslation,IndicesOfPunctuation,IndicesOfPunctuationInTranslation
47,地址 位于 beacon st .,地址 位于 灯塔路 。,[],[2_3_4],[2_3_4],[5],[5]
66,房子 在 bloom field bridge 旁边  。,房子 在 布卢姆菲尔德 桥 旁边 。,[],[2_3_4],[2_3_4],[6],[6]
82,家 对面 就 是 cvs ！,家 对面 就是 cvs ！,[],[4_5],[2_3],[5],[5]
92,budget 灵活  。,资金 灵活 。,[],[0],[0],[2],[2]
98,房东 人 很 nice  。,房东 人 很 好 。,[],[3_4],[3_4],[4],[4]
124,house 出租 2018 .,房屋 出租 2018 。,[],[0],[0_2],[3],[3]
147,在 shady ave .,在 沙地 大道 。,[],[1_2_3],[1_2_3],[3],[3]
148,和 walnut st .,和 沃尔纳特 街 。,[],[1_2_3],[1_2_3],[3],[3]
152,走路 去 giant eagle,走路 去 巨鹰 超市,[],[2_3],[2_3],,
156,utility 不 包  。,公用 事业 不 包 。,[],[0],[0_1],[3],[3]
315,出门 就 是 center ave ，,出门 就 是 中央 大道 ，,[],[3_4_5],[3_4],[5],[5]
317,公司 是 john cr kelly realty inc 。,公司 是  john cr kelly 房地产 有限公司 。,[],[2_3_4_5_6_7],[2_3_4_5_6_7],[7],[7]
335,价格 the lower the better  。,价格 越 低 越 好 。,[],[1_2_3_4_5],[1_2_3_4_5],[5],[5]
363,房子 的 大致 floor plan,房子 的 大致 楼面 平面图,[],[3_4],[3_4],,
387,附近 的 初中 jefferson middle school 和 高中 mt .,附近 的 初中 杰弗森 中学 和 高中,[],[3_4_5_8_9],[3_4],[9],
404,位置 在 fifth ave and shady ave .,位置 在 第五 大道 和 沙地 大道,[],[2_3_4_5_6_7],[2_3_4_5_6],[7],
431,位置 在 chesterfield  。,位置 在 查斯 特菲尔德,[],[2_3],[2_3],[3],
514,地址 在 bayard st .,地址 在 贝亚德街,[],[2_3_4],[2],[4],
584,up 主 up up,顶楼 主,[],[0_2_3],[0],,
616,有 valet parking  。,有 代客 泊车,[],[1_2_3],[1_2],[3],
630,apartment 位于 squirrel hill beacon st .,公寓 位于 松鼠山贝 肯 街,[],[0_2_3_4_5_6],[0_2_3_4],[6],
636,步行 十 分钟 可 到达 giant eagle .,步行 十 分钟 可 到达 巨鹰 超市,[],[5_6_7],[5_6],[7],
656,原 房东 post 的 帖子  ：  viewtopic .,原 房东 发布 的 帖子,[],[2],[2],[5_7],
660,步行 十 分钟 可 到达 giant eagle .,步行 十 分钟 可 到达 巨鹰 超市,[],[5_6_7],[5_6],[7],
670,有 shuttle 和 escort  。,有 班车 和 护送 车,[],[1_3_4],[1_3_4],[4],
674,人 当然 都 很 nice 啦,人 当然 都 很 好啦,[],[4],[4],,
675,apartment 位于 squirrel hill beacon st .,公寓 位于 松鼠山贝 肯 街,[],[0_2_3_4_5_6],[0_2_3_4],[6],
704,开车 五 分钟 到 giant eagle 或 whole foods .,开车 五 分钟 到 巨鹰 超市 和 全食 超市,[],[4_5_7_8_9],[4_5_6_7_8],[9],
705,房间 照片 多 图 见 google doc  :,房间 照片 多 图 见 谷歌 文档,[],[5_6_7],[5_6],[7],
707,仍然 available  。,仍然 可 租,[],[1_2],[1_2],[2],
741,过期 up up up up up up up up up,过期 顶顶顶,[],[1_2_3_4_5_6_7_8_9],[1],,
767,谢谢 up up up up up up up up up,谢谢 顶顶顶,[],[1_2_3_4_5_6_7_8_9],[1],,
783,不 要 错过 up up,不 要 错过 顶顶,[],[3_4],[3],,
819,空 依然 有效 up up,空 依然 有效 帕克 分校,[],[3_4],[3_4],,
879,生活 非常 方便 ~ up up,生活 非常 方便 支持 支持,[],[4_5],[3_4],[3],
932,已 租 up up available up !,已 租 空闲,[],[2_3_4_5_6],[2],[6],
953,html 不 是 病毒,短讯 不 是 病毒,[],[0],[0],,
1007,有 意 向 的 欢迎 联系 las em@58,有 意 向 的 欢迎 联系 人名,[],[6_7],[6],[7],
1012,应该 再 怒 送 租房 的 人 一 个 offer,应该 再 怒 送 租房 的 人 一 个 offer,[offer],[9],[9],,
1014,和 murray ave .,和 默里,[],[1_2_3],[1],[3],
1032,crew 等 ）  。,成员,[],[0],[0],[2_3],
1070,欢迎 联系 欢迎 联系 欢迎 联系 欢迎 联系 欢迎 联系 欢迎 联系 顶 欢迎 联系 bump,欢迎 联系 欢迎 联系 欢迎 联系 欢迎 联系 欢迎 联系 欢迎 联系 顶 欢迎 联系 人名,[],[15],[15],,
1085,北 奥克兰 bayard 与 n .,北 奥克兰 巴亚德,[],[2_4_5],[2],[5],
1099,the room is right next to 川 霸王 in squirrel hill .,房间 毗邻 川 霸王 松鼠山,[],[0_1_2_3_4_5_8_9_10_11],[0_1_4],[11],
1108,escort yellow zone 第三 站,通勤 黄 线 e 第三 站,[e],[0_1_2],[0_1_2_3],,
1160,紧邻 centre ave .,紧邻 中央 街,[],[1_2_3],[1_2],[3],
1207,房子 在 安全 便利 的 squirrel hill,房子 在 安全 便利 的 松鼠山,[],[5_6],[5],,
1217,有 on street parking  (  permit  ),有 街边 停车,[],[1_2_3_4_5_6],[1_2],[4_6],
1240,听说 from time to time 总 有 一些 bad stories .,听说 之前 总 有 一些 鬼 故事,[],[1_2_3_4_8_9_10],[1_5_6],[10],
1336,现有 squirrel hill,现有 松鼠山,[],[1_2],[1],,
1370,if you have any questions ， feel free to send me email in 中文 to em@88,有 问题 邮件 咨询 至,[],[0_1_2_3_4_5_6_7_8_9_10_11_12_14_15],[0_1_2_3_4],[5_15],
1400,我们 都 是 今年 master 新生,我们 都 是 今年 硕士 新生,[],[4],[4],,
1412,位 于 north craig st .,位于 北 克莱格 街,[],[2_3_4_5],[0_1_2_3],[5],
1417,位 于 north craig st .,位于 北 克莱格,[],[2_3_4_5],[0_1_2],[5],
1418,和 bayard st .,和 巴亚德街,[],[1_2_3],[1],[3],
1427,house 在 north craig st .,房子 在 北克莱格,[],[0_2_3_4_5],[0_2],[5],
1433,house 在 north craig st .,房子 在 贝克莱格,[],[0_2_3_4_5],[0_2],[5],
1445,和 bayard st .,和 巴亚德街,[],[1_2_3],[1],[3],
1463,house 在 north craig st .,房子 在 北克莱格 街,[],[0_2_3_4_5],[0_2_3],[5],
1474,house 在 north craig st .,房子 在 北克莱格 街,[],[0_2_3_4_5],[0_2_3],[5],
1481,house 在 north craig st .,房子 在 北克莱格 街,[],[0_2_3_4_5],[0_2_3],[5],
1509,各 种 南北 风味 的 中国 餐馆 到 waterfront 有 直达 的 公交 非常 适合 刚刚 来 要 添置 家具,各 种 南北 风味 的 中国 餐馆 到 前 水 有 直达 的 公交 非常 适合 刚刚 来 要 添置 家具,[],[8],[8_9],,
1510,经常 要 去 shopping 的 同学 apt 两 室 一 厅,经常 要 去 购物 的 同学 公寓 两 室 一 厅,[],[3_6],[3_6],,
1513,私人 的 parking spot,私人 的 停车位,[],[2_3],[2],,
1514,随 market 而 变化,随 市场价 而 变化,[],[1],[1],,
1517,how lee  (  川 霸王  )  etc .,川 霸王 等等,[],[0_1_2_6_7],[2],[2_5_7],
1530,刚刚 email 你 想 商量 一下 价格,刚刚 邮件 你 想 商量 一下 价格,[],[1],[1],,
1535,本人 因 做 毕业 论文 离开 匹兹堡 现 出售 自己 的 buick century  。,本人 因 做 毕业 论文 离开 匹兹堡 现 出售 自己 的 别克,[],[11_12_13],[11],[13],
