word index,word form,pos-tag,head,dep rel,frequency,Surprisal
CMU,1,,,,,
0,房间,NN,4,nmod:topic,3.80E-17,5.415995
1,：,PU,4,punct,,2.870081
2,房间,NN,4,nsubj,3.80E-17,5.7969
3,为,VC,0,root,6.56E-15,2.479668
4,三,CD,4,dep,3.17E-15,2.754221
5,层,M,5,mark:clf,1.86E-16,1.063846
6,一,CD,9,dep,1.35E-14,3.089462
7,整,JJ,9,amod,8.06E-17,7.17477
8,层,M,5,dep,1.86E-16,4.505568
9,，,PU,4,punct,,0.7379408
10,由,P,13,case,1.70E-15,1.697195
11,阁楼,NN,13,compound:nn,7.00E-19,6.256392
12,装修,NN,15,nmod:prep,4.62E-18,5.777202
13,而,MSP,15,aux:prtmod,4.25E-15,2.879026
14,成,VV,4,conj,1.11E-15,1.585789
15,，,PU,4,punct,,0.5010793
16,空间,NN,20,compound:nn,2.30E-16,4.728227
17,很大,JJ,20,dep,1.45E-17,3.54528
18,，,PU,20,punct,,0.2684461
19,家具,NN,21,nsubj,1.16E-17,5.527184
20,齐全,VA,4,conj,2.54E-17,6.229526
21,，,PU,4,punct,,0.370216
22,有,VE,4,conj,1.01E-14,1.336746
23,一,CD,26,nummod,1.35E-14,1.354857
24,张,M,24,mark:clf,1.40E-16,2.151794
25,大号,NN,28,nmod:assmod,,5.326414
26,的,DEG,26,case,1.12E-13,0.9262138
27,床,NN,33,conj,1.33E-17,4.804729
28,和,CC,33,cc,1.59E-14,1.692756
29,一,CD,33,nummod,1.35E-14,2.436213
30,个,M,30,mark:clf,4.57E-15,5.729619
31,气垫,NN,33,compound:nn,1.92E-20,5.57337
32,床,NN,23,dobj,1.33E-17,5.521345
33,；,PU,4,punct,,2.17667
,,,,,,
CMU,2,,,,,
0,富人,NN,2,compound:nn,5.69E-21,6.100998
1,区,NN,5,nsubj,7.47E-16,1.320391
2,，,PU,5,punct,,0.7630151
3,非常,AD,5,advmod,4.30E-16,4.4722
4,安全,VA,0,root,4.75E-16,3.20577
5,（,PU,8,punct,,2.76481
6,这里,PN,8,nsubj,5.77E-16,3.874677
7,属于,VV,5,dep,2.52E-16,3.395841
8,富人,NN,10,compound:nn,5.69E-21,5.984178
9,区,NN,8,dobj,7.47E-16,1.320391
10,）,PU,8,punct,,2.043565
11,，,PU,5,punct,,0.7296352
12,旁边,NN,16,nsubj,2.47E-17,4.6413
13,就,AD,16,advmod,3.73E-15,3.554084
14,是,VC,16,cop,1.98E-14,2.235204
15,公园,NN,5,conj,3.69E-17,4.472754
16,，,PU,5,punct,,1.254587
17,附近,NN,20,conj,9.39E-17,2.761207
18,还有,CC,20,cc,2.17E-19,1.42266
19,配套,NN,24,nmod:assmod,1.00E-16,4.00532
20,的,DEG,20,case,1.12E-13,0.3216881
21,各,DT,24,det,2.64E-15,3.688545
22,种,M,22,mark:clf,6.55E-15,4.236028
23,球场,NN,27,conj,4.35E-18,5.883419
24,和,CC,27,cc,1.59E-14,2.087959
25,社区,NN,27,compound:nn,1.38E-16,3.743304
26,设施,NN,31,nmod:topic,2.41E-16,4.819367
27,，,PU,31,punct,,0.6720446
28,环境,NN,31,nsubj,9.76E-16,4.722296
29,很,AD,31,advmod,2.06E-15,3.517969
30,好,VA,5,conj,1.73E-15,3.595524
31,很,AD,33,advmod,2.06E-15,5.194436
32,安静,VA,5,conj,1.56E-17,3.258603
33,。,PU,5,punct,,0.8566467
,,,,,,
CMU,4,,,,,
0,租约,NN,9,nmod:topic,8.76E-19,6.527233
1,从,P,3,case,2.92E-15,3.646975
2,八月,NT,9,nmod:prep,2.42E-19,4.193077
3,开始,LC,3,case,1.01E-15,1.173965
4,，,PU,9,punct,,0.5694761
5,具体,JJ,7,amod,7.52E-16,4.162648
6,日期,NN,9,nsubj,5.55E-17,1.981575
