sentence id,sentence,chinese word index,punct index,source
0,生活 交通 便利 ，,[0_1_2],[3],CMU
1,房屋 安静 并且 超级 安全 。,[0_1_2_3_4],[5],CMU
2,租金 一月 400-500 左右 ， 房间 大家 共同 选择 分配 .,[0_1_3_5_6_7_8_9],[2_4_10],CMU
3,二 楼 是 两 个 中等 卧室 ， 一 个 大 卧室 和 一 个 卫生间 。,[0_1_2_3_4_5_6_8_9_10_11_12_13_14_15],[7_16],CMU
4,整个 三 楼 是 一 个 超大 房间 （ 阁楼 ） 。,[0_1_2_3_4_5_6_7_9],[8_10_11],CMU
5,有 独立 卫生间 。,[0_1_2],[3],CMU
6,生活 不 用 愁 ！,[0_1_2_3],[4],CMU
7,（ 在 匹兹堡 ， 包 暖气 还是 很 重要 的 ！,[1_2_4_5_6_7_8_9],[0_3_10],CMU
8,还 差 一 个 男生,[0_1_2_3_4],[],CMU
9,欢迎 联系 ！,[0_1],[2],CMU
10,已经 找到 啦 。,[0_1_2],[3],CMU
11,谢谢 各位 提供 信息,[0_1_2_3],[],CMU
12,很 可能 是 大学 租房 市场 上 最好 的 房子 。,[0_1_2_3_4_5_6_7_8_9],[10],CMU
13,非常 安静 安全 的 大学 小区 。,[0_1_2_3_4_5],[6],CMU
14,可以 单独 卧室 租 ， 优先 整 租 。,[0_1_2_3_5_6_7],[4_8],CMU
15,* * 优先 一 年 长 租 ！,[2_3_4_5_6],[0_1_7],CMU
16,优先 整 租 。,[0_1_2],[3],CMU
17,一 楼 客厅 餐厅 家具 齐全 。,[0_1_2_3_4_5],[6],CMU
18,欢迎 同学 联系 。,[0_1_2],[3],CMU
19,可以 在 这个 下午 时间 来 最好 。,[0_1_2_3_4_5_6],[7],CMU
20,目前 有 房客 在 ， 所以 我 尽量 少 打搅 住 里面 的 房客 。,[0_1_2_3_5_6_7_8_9_10_11_12_13],[4_14],CMU
21,如果 不 在 匹兹堡 的 同学 也 可以 委托 熟人 来看 房 。,[0_1_2_3_4_5_6_7_8_9_10_11],[12],CMU
22,出租 的 房子 在 一楼 ， 我 是 二 楼 的 邻居 。,[0_1_2_3_4_6_7_8_9_10_11],[5_12],CMU
23,一 楼 二 楼 是 完全 分开 的 两 户 ， 有 自己 的 大门 ， 没有 任何 共用 的 设施 。,[0_1_2_3_4_5_6_7_8_9_11_12_13_14_16_17_18_19_20],[10_15_21],CMU
24,餐厅 有 一 个 空调 。,[0_1_2_3_4],[5],CMU
25,房间 内 木 有 家具 。,[0_1_2_3_4],[5],CMU
26,房间 内 有 一 个 开门 的 小 壁橱 。,[0_1_2_3_4_5_6_7_8],[9],CMU
27,而且 卫生间 有 一 扇 和 房间 内 一 样 的 大 窗户 ， 所以 不 存在 潮湿 或者 通风 的 问题 ） 。,[0_1_2_3_4_5_6_7_8_9_10_11_12_14_15_16_17_18_19_20_21],[13_22_23],CMU
28,这 屋 有 空调 。,[0_1_2_3],[4],CMU
29,窗 下 有 一 大 片 暖气 。,[0_1_2_3_4_5_6],[7],CMU
30,如果 是 三 个 人 一起 住 ， 房租 你 萌 可以 自己 分配 。,[0_1_2_3_4_5_6_8_9_10_11_12_13],[7_14],CMU
31,同时 出租 。,[0_1],[2],CMU
32,后院 挺 大 的 还有 车库 ， 所以 生活 空间 非常 富裕 。,[0_1_2_3_4_5_7_8_9_10_11],[6_12],CMU
33,附近 还 有 一 个 特别 大 的 森林 公园 。,[0_1_2_3_4_5_6_7_8_9],[10],CMU
