word index,word form,pos-tag,head,dep rel,frequency
PSU,1457
0,富有,VV,0,root,4.6554178430453407E-17
1,责任心,NN,1,dobj,1.0423345577845321E-20
2,现在,NT,5,nmod:tmod,8.370153686983242E-16
3,就,AD,5,advmod,3.725609279809303E-15
4,申请,VV,1,dep,2.37865350263618E-16
5,请,VV,7,xcomp,1.9298971415262998E-16
6,发送,VV,5,ccomp,1.586852049178333E-17
7,你,PN,10,nmod:assmod,1.6284495750785415E-15
8,的,DEG,8,case,1.122713139757776E-13
9,简历,NN,7,dobj,3.309284327155118E-18
10,至,VV,1,dep,7.507773394582305E-16
11,em@111,CD,11,nmod:range,

PSU,1722
0,本人,PN,2,dep,6.273511152849787E-17
1,有,VE,0,root,1.0111497814599467E-14
2,特大,JJ,4,amod,9.788928329515239E-18
3,号,NN,5,compound:nn,2.74038132286159E-16
4,床,NN,8,conj,1.3271221009190973E-17
5,和,CC,8,cc,1.591811265979484E-14
6,小号,NN,8,compound:nn,
7,床,NN,2,dobj,1.3271221009190973E-17
8,各,DT,15,dep,2.6393840281239834E-15
9,一,CD,9,dep,1.3474564558635294E-14
10,套,M,10,mark:clf,1.1791067568993706E-16
11,，,PU,15,punct,
12,需要,VV,15,xcomp,1.3006553080897865E-15
13,可以,VV,15,aux:modal,2.856512995643701E-15
14,联系,VV,2,conj,6.045679839404027E-16
15,我,PN,15,dobj,5.506971700550334E-15
16,，,PU,15,punct,
17,em@160,CD,2,dep,

