MTurk IDS,Date,Amount Paid out
A2MA9GPEZZP71W,,
total:,0.0,
A3J9L1OHJ07VAO,,
,2019-11-29 23:29:05 -0800,0.1
,2019-12-06 17:56:19 -0800,0.01
,2019-12-10 12:42:49 -0800,0.1
total:,0.21000000000000002,
Mechanical Turk,,
,2019-11-30 00:35:08 -0800,0.04
,2019-11-30 00:35:08 -0800,0.04
,2019-11-30 00:35:08 -0800,0.04
,2019-11-30 00:35:08 -0800,0.04
,2019-11-30 00:35:08 -0800,0.04
,2019-11-30 00:35:08 -0800,0.04
,2019-11-30 00:35:08 -0800,0.04
,2019-11-30 00:35:08 -0800,0.04
,2019-11-30 00:35:08 -0800,0.04
,2019-11-30 00:35:09 -0800,0.04
,2019-11-30 00:35:09 -0800,0.04
,2019-11-30 00:35:08 -0800,0.04
,2019-11-30 00:35:08 -0800,0.04
,2019-11-30 00:35:08 -0800,0.04
,2019-11-30 00:35:08 -0800,0.04
,2019-11-30 00:35:09 -0800,0.04
,2019-11-30 00:35:09 -0800,0.04
,2019-11-30 00:35:08 -0800,0.04
,2019-11-30 00:35:09 -0800,0.04
,2019-11-30 00:35:08 -0800,0.04
,2019-11-30 00:35:08 -0800,0.04
,2019-11-30 00:35:08 -0800,0.04
,2019-11-30 00:35:09 -0800,0.04
,2019-11-30 00:35:08 -0800,0.04
,2019-11-30 00:35:09 -0800,0.04
,2019-11-30 00:35:08 -0800,0.04
,2019-11-30 00:35:08 -0800,0.04
,2019-11-30 00:35:09 -0800,0.04
,2019-11-30 00:35:08 -0800,0.04
,2019-11-30 00:35:09 -0800,0.04
,2019-11-30 00:35:08 -0800,0.04
,2019-11-30 00:35:08 -0800,0.04
,2019-11-30 00:35:09 -0800,0.04
,2019-11-30 00:35:09 -0800,0.04
,2019-11-30 00:35:09 -0800,0.04
,2019-11-30 00:35:09 -0800,0.04
,2019-11-30 00:35:09 -0800,0.04
,2019-11-30 00:35:08 -0800,0.04
,2019-11-30 00:35:08 -0800,0.04
,2019-11-30 00:35:08 -0800,0.04
,2019-11-30 00:35:09 -0800,0.04
,2019-11-30 00:35:09 -0800,0.04
,2019-11-30 00:35:08 -0800,0.04
,2019-11-30 00:35:09 -0800,0.04
,2019-11-30 00:35:08 -0800,0.04
,2019-11-30 00:35:08 -0800,0.04
,2019-11-30 00:35:09 -0800,0.04
,2019-11-30 00:35:09 -0800,0.04
,2019-11-30 00:35:08 -0800,0.04
,2019-11-30 00:35:08 -0800,0.04
,2019-11-30 00:35:09 -0800,0.04
,2019-11-30 00:35:08 -0800,0.04
,2019-11-30 00:35:08 -0800,0.04
,2019-11-30 00:35:08 -0800,0.04
,2019-11-30 00:35:09 -0800,0.04
,2019-11-30 00:35:08 -0800,0.04
,2019-11-30 00:35:08 -0800,0.04
,2019-11-30 00:35:09 -0800,0.04
,2019-11-30 00:35:09 -0800,0.04
,2019-11-30 00:35:08 -0800,0.04
,2019-11-30 00:35:09 -0800,0.04
,2019-11-30 00:35:08 -0800,0.04
,2019-11-30 00:35:09 -0800,0.04
,2019-11-30 00:35:09 -0800,0.04
,2019-11-30 00:35:09 -0800,0.04
,2019-11-30 00:35:08 -0800,0.04
,2019-11-30 00:35:08 -0800,0.04
,2019-11-30 00:35:09 -0800,0.04
,2019-11-30 00:35:09 -0800,0.04
,2019-11-30 00:35:09 -0800,0.04
,2019-11-30 00:35:09 -0800,0.04
,2019-11-30 00:35:09 -0800,0.04
,2019-11-30 00:35:09 -0800,0.04
,2019-11-30 00:35:09 -0800,0.04
,2019-11-30 00:35:08 -0800,0.04
,2019-11-30 00:35:08 -0800,0.04
,2019-11-30 00:35:09 -0800,0.04
,2019-11-30 00:35:08 -0800,0.04
,2019-11-30 00:35:08 -0800,0.04
,2019-11-30 00:35:09 -0800,0.04
,2019-11-30 00:35:09 -0800,0.04
,2019-11-30 00:35:08 -0800,0.04
,2019-11-30 00:35:08 -0800,0.04
,2019-11-30 00:35:09 -0800,0.04
,2019-11-30 00:35:09 -0800,0.04
