Transaction ID,Date Initiated,Date Posted,Transaction Type,Payment Method,Recipient ID,Amount,HIT ID,Assignment ID
3HV889RS9ZUV7JG655HZKPC5CYOJS6,2019-11-13 21:04:13 -0800,2019-11-13 21:04:13 -0800,Prepayment,Visa (last 4 digits: 0831),A2MA9GPEZZP71W,1.000,,
3MUBTF6GW7JIHTCJSRQ4J5HS9A1ZGX,2019-11-26 16:57:31 -0800,2019-11-26 16:57:31 -0800,Prepayment,Visa (last 4 digits: 0831),A2MA9GPEZZP71W,24.200,,
39CUVD4NZJ3S8V2K0XB7GI98139JZE,2019-11-29 21:30:55 -0800,2019-11-29 21:30:55 -0800,Prepayment,Visa (last 4 digits: 0831),A2MA9GPEZZP71W,7.000,,
3RM27B2IR42QOJNUA72RP3P93DWK1P,2019-11-29 23:46:26 -0800,2019-11-29 23:46:26 -0800,Prepayment,Visa (last 4 digits: 0831),A2MA9GPEZZP71W,36.000,,
330MKB1BA1ZIIMD0D20AB3LJU7BMGX,2019-11-29 23:50:38 -0800,2019-11-29 23:50:38 -0800,Prepayment,Visa (last 4 digits: 0831),A2MA9GPEZZP71W,36.000,,
3OFPNBYSVMCHDDIIEQJPB8MUKUU7GI,2019-11-29 18:05:00 -0800,2019-11-29 23:29:05 -0800,AssignmentPayment,,A3J9L1OHJ07VAO,-0.100,39WSF6KUV20UCE6WVBDT7J0AFRKEOS,308Q0PEVB9S67G26F8P3JSZ3101I9T
38ML1II3O932MZBLZF3QQ99U91B31L,2019-11-29 18:05:00 -0800,2019-11-30 00:35:08 -0800,FeePayment,,Mechanical Turk,-0.040,39WSF6KUV20UCE6WVBDT7J0AFRKEOS,308Q0PEVB9S67G26F8P3JSZ3101I9T
3FYLXLN3Z97AS2E7UQLSAJMI4B8BPC,2019-11-29 18:05:00 -0800,2019-11-30 00:43:04 -0800,AssignmentPayment,,A1M2QISNG1O7K8,-0.100,39WSF6KUV20UCE6WVBDT7J0AFRKEOS,304SM51WA4JEPNKZI4XDE00GYVJSBC
3TYE90VWCX9GH6P8XAZ9EREDIX37AI,2019-11-29 18:05:00 -0800,2019-11-30 00:35:08 -0800,FeePayment,,Mechanical Turk,-0.040,39WSF6KUV20UCE6WVBDT7J0AFRKEOS,304SM51WA4JEPNKZI4XDE00GYVJSBC
3ZCHORITN9AV4FUM7IPHFEMX5TWBR4,2019-11-29 18:05:00 -0800,2019-11-30 00:13:03 -0800,AssignmentPayment,,A15YV1SQ5GJGP9,-0.100,39WSF6KUV20UCE6WVBDT7J0AFRKEOS,30BUDKLTXEABQOY8GZMVMXW9NZE5EV
30UOCEAJGBS4ALM6HOV0KM41I0O7CK,2019-11-29 18:05:00 -0800,2019-11-30 00:35:08 -0800,FeePayment,,Mechanical Turk,-0.040,39WSF6KUV20UCE6WVBDT7J0AFRKEOS,30BUDKLTXEABQOY8GZMVMXW9NZE5EV
3V3NJH6TQUM8KU7EB7UCFTNFTETBTH,2019-11-29 18:05:00 -0800,2019-11-30 02:11:37 -0800,AssignmentPayment,,AQ4PB1PVI9U7V,-0.100,39WSF6KUV20UCE6WVBDT7J0AFRKEOS,30IQTZXKALLL1H3OEY6BTRLPMV8X01
3AX2R1EXZZLJ7J6KDF1VAA443C17ED,2019-11-29 18:05:00 -0800,2019-11-30 00:35:08 -0800,FeePayment,,Mechanical Turk,-0.040,39WSF6KUV20UCE6WVBDT7J0AFRKEOS,30IQTZXKALLL1H3OEY6BTRLPMV8X01
3BJ36ZR7SKWV94OD4EJSWKZAZ7M7IA,2019-11-29 18:05:01 -0800,2019-11-30 00:12:03 -0800,AssignmentPayment,,A1X5U8WTTXMS87,-0.100,39WSF6KUV20UCE6WVBDT7J0AFRKEOS,3137ONMDKHK96LNSXV5MQUNYDL5EGP
3EV2LT3RHGAYW2P0MJH9E2OR7LP33D,2019-11-29 18:05:01 -0800,2019-11-30 00:35:08 -0800,FeePayment,,Mechanical Turk,-0.040,39WSF6KUV20UCE6WVBDT7J0AFRKEOS,3137ONMDKHK96LNSXV5MQUNYDL5EGP
3P2RZEO5CYSMFZE14H4490ENRBB7KL,2019-11-29 18:05:01 -0800,2019-11-30 01:44:08 -0800,AssignmentPayment,,A4PFF3LK637YM,-0.100,39WSF6KUV20UCE6WVBDT7J0AFRKEOS,3180JW2OT5RJ14K0U0XMJD91S3GJ5S
3PI4T9HUA5UKF1J27I0FS7GKVZUBLR,2019-11-29 18:05:01 -0800,2019-11-30 00:35:08 -0800,FeePayment,,Mechanical Turk,-0.040,39WSF6KUV20UCE6WVBDT7J0AFRKEOS,3180JW2OT5RJ14K0U0XMJD91S3GJ5S
