"Worker ID","Link to Individual Worker Page","Number of HITs approved or rejected - Lifetime","Number of HITs approved - Lifetime","Your Lifetime approval rate","Number of HITs approved or rejected - Last 30 days","Number of HITs approved - Last 30 days","Your Last 30 days approval rate","Number of HITs approved or rejected - Last 7 days","Number of HITs approved - Last 7 days","Your Last 7 days approval rate","CURRENT-worker","UPDATE-worker","CURRENT-set_9","UPDATE-set_9","CURRENT-set_8","UPDATE-set_8","CURRENT-set_7","UPDATE-set_7","CURRENT-set_6","UPDATE-set_6","CURRENT-set_5","UPDATE-set_5","CURRENT-set_4","UPDATE-set_4","CURRENT-set_3","UPDATE-set_3","CURRENT-set_25","UPDATE-set_25","CURRENT-set_24","UPDATE-set_24","CURRENT-set_23","UPDATE-set_23","CURRENT-set_22","UPDATE-set_22","CURRENT-set_21","UPDATE-set_21","CURRENT-set_20","UPDATE-set_20","CURRENT-set_2","UPDATE-set_2","CURRENT-set_19","UPDATE-set_19","CURRENT-set_18","UPDATE-set_18","CURRENT-set_17","UPDATE-set_17","CURRENT-set_16","UPDATE-set_16","CURRENT-set_15","UPDATE-set_15","CURRENT-set_14","UPDATE-set_14","CURRENT-set_13","UPDATE-set_13","CURRENT-set_12","UPDATE-set_12","CURRENT-set_11","UPDATE-set_11","CURRENT-set_10","UPDATE-set_10","CURRENT-set_1","UPDATE-set_1","CURRENT-set_0","UPDATE-set_0","CURRENT BlockStatus","UPDATE BlockStatus","BlockReason"
"A13O7MR3K9JTC4","https://requester.mturk.com/workers/A13O7MR3K9JTC4","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","","","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A182N7RLXGSCZG","1","1","1","100.00%","2","2","100.00%","2","2","100.00%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A19HCBT1EH8484","https://requester.mturk.com/workers/A19HCBT1EH8484","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"1","1","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A1OUX27FOYXKZ9","https://requester.mturk.com/workers/A1OUX27FOYXKZ9","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A1PNDILZWOX425","https://requester.mturk.com/workers/A1PNDILZWOX425","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","","","","","","","","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A1X5U8WTTXMS87","https://requester.mturk.com/workers/A1X5U8WTTXMS87","1","1","100.00%","1","1","1","1","1","100.00%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"1","https://requester.mturk.com/workers/A24JKHC4HTY6CD","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","","","","","","","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A29IGBZ9R3C59H","https://requester.mturk.com/workers/A29IGBZ9R3C59H","1","1","100.00%","1","1","1","1","1","100.00%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"1","1","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A2ASBOP6RG352M","https://requester.mturk.com/workers/A2ASBOP6RG352M","1","1","100.00%","1","1","1","1","1","100.00%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A2BF2FUO6F63N7","https://requester.mturk.com/workers/A2BF2FUO6F63N7","1","1","100.00%","1","1","100.00%","1","1","100.00%","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A2FJ8YQ6VHGD2L","https://requester.mturk.com/workers/A2FJ8YQ6VHGD2L","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","","","","","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A2HITRHQ441VHA","https://requester.mturk.com/workers/A2HITRHQ441VHA","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","","","","","","","","","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A2MQQ8MU5BYFU3","https://requester.mturk.com/workers/A2MQQ8MU5BYFU3","1","1","1","1","1","100.00%","1","1","100.00%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"1","1","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A2V5XDYKKJVE4C","https://requester.mturk.com/workers/A2V5XDYKKJVE4C","1","1","1","1","1","100.00%","1","1","100.00%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A2Z5Z53HZL34C3","https://requester.mturk.com/workers/A2Z5Z53HZL34C3","1","1","100.00%","1","1","100.00%","1","1","100.00%","","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A36P1ZQ0GYF567","https://requester.mturk.com/workers/A36P1ZQ0GYF567","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","","","","","","","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A3DKFBFK3FA3MA","https://requester.mturk.com/workers/A3DKFBFK3FA3MA","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","","","","","","","","","","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A3PEDSLDKU79RH","https://requester.mturk.com/workers/A3PEDSLDKU79RH","1","1","100.00%","1","1","100.00%","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A3VMNOYU4TNDNS","https://requester.mturk.com/workers/A3VMNOYU4TNDNS","2","2","100.00%","2","2","100.00%","2","2","100.00%","","","","","","","","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A5WAWW70PYRP","https://requester.mturk.com/workers/A5WAWW70PYRP","1","1","100.00%","1","1","100.00%","1","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
