"Worker ID","Link to Individual Worker Page","Number of HITs approved or rejected - Lifetime","Number of HITs approved - Lifetime","Your Lifetime approval rate","Number of HITs approved or rejected - Last 30 days","Number of HITs approved - Last 30 days","Your Last 30 days approval rate","Number of HITs approved or rejected - Last 7 days","Number of HITs approved - Last 7 days","Your Last 7 days approval rate","CURRENT-worker","UPDATE-worker","CURRENT-set_9","UPDATE-set_9","CURRENT-set_8","UPDATE-set_8","CURRENT-set_7","UPDATE-set_7","CURRENT-set_6","UPDATE-set_6","CURRENT-set_5","UPDATE-set_5","CURRENT-set_4","UPDATE-set_4","CURRENT-set_3","UPDATE-set_3","CURRENT-set_24","UPDATE-set_24","CURRENT-set_23","UPDATE-set_23","CURRENT-set_22","UPDATE-set_22","CURRENT-set_21","UPDATE-set_21","CURRENT-set_20","UPDATE-set_20","CURRENT-set_2","UPDATE-set_2","CURRENT-set_19","UPDATE-set_19","CURRENT-set_18","UPDATE-set_18","CURRENT-set_17","UPDATE-set_17","CURRENT-set_16","UPDATE-set_16","CURRENT-set_15","UPDATE-set_15","CURRENT-set_14","UPDATE-set_14","CURRENT-set_13","UPDATE-set_13","CURRENT-set_12","UPDATE-set_12","CURRENT-set_11","UPDATE-set_11","CURRENT-set_10","UPDATE-set_10","CURRENT-set_1","UPDATE-set_1","CURRENT-set_0","UPDATE-set_0","CURRENT BlockStatus","UPDATE BlockStatus","BlockReason"
"A2BFJUDBW8ZNTQ","https://requester.mturk.com/workers/A2BFJUDBW8ZNTQ","0","0","0.00%","0","0","0.00%","0","0","0.00%","","","",1,"","","","","","","","","","","","","",1,"",1,"",1,"","","","","","","",1,"",1,"","","","","","","","","","","",1,"","","","","",1,"",1,"Never Blocked","",""
"A29IGBZ9R3C59H","https://requester.mturk.com/workers/A29IGBZ9R3C59H","1","1","100.00%","1","1","100.00%","0","0","0.00%","","","",1,"","","","","","","","","","","","","",1,"1",1,"1",1,"1","","1","","","","",1,"",1,"","","","","","","","","","","",1,"","","","","",1,"",1,"Never Blocked","",""
"A1X576NYQGAOFT","https://requester.mturk.com/workers/A1X576NYQGAOFT","1","1","100.00%","1","1","100.00%","0","0","0.00%","","","",1,"","","","","","","","","","","","","",1,"",1,"",1,"","","","","","","",1,"",1,"1","","1","","1","","1","","","","",1,"","","","","",1,"",1,"Unblocked","",""
"ASFBR18FCV8Z1","https://requester.mturk.com/workers/ASFBR18FCV8Z1","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","",1,"1","","1","","1","","1","","","","","","",1,"",1,"",1,"","","","","","","",1,"",1,"","","","","","","","","","","",1,"","","","","",1,"",1,"Never Blocked","",""
"A1WTD5OHCQS3TG","https://requester.mturk.com/workers/A1WTD5OHCQS3TG","0","0","0.00%","0","0","0.00%","0","0","0.00%","","","",1,"","","","","","","","","","","","","1",1,"",1,"",1,"","","","","1","","",1,"1",1,"","","1","","","","","","","","1",1,"","","","","",1,"",1,"Never Blocked","",""
"AW05ZDBCQIU8F","https://requester.mturk.com/workers/AW05ZDBCQIU8F","0","0","0.00%","0","0","0.00%","0","0","0.00%","","","",1,"","","","","","","","","","","","","",1,"1",1,"",1,"1","","","","","","",1,"",1,"","","","","","","","","","","",1,"1","","","","1",1,"1",1,"Never Blocked","",""
"A5WAWW70PYRP","https://requester.mturk.com/workers/A5WAWW70PYRP","1","1","100.00%","1","1","100.00%","0","0","0.00%","","","",1,"","","1","","1","","1","","1","","","","",1,"",1,"",1,"","","","","","","",1,"",1,"","","","","","","","","","","",1,"","","","","",1,"",1,"Never Blocked","",""
"A3CJ3BSN87874X","https://requester.mturk.com/workers/A3CJ3BSN87874X","1","1","100.00%","1","1","100.00%","0","0","0.00%","","","",1,"1","","","","","","1","","","","","","",1,"",1,"",1,"","","1","","","","1",1,"",1,"","","","","","","","","1","","",1,"","","","","",1,"",1,"Never Blocked","",""
"A2AHXGFXPG6ZSR","https://requester.mturk.com/workers/A2AHXGFXPG6ZSR","1","1","100.00%","1","1","100.00%","0","0","0.00%","","","1",1,"1","","1","","1","","","","","","","","",1,"",1,"",1,"","","","","","","",1,"",1,"","","","","","","","","","","",1,"","","","","",1,"",1,"Never Blocked","",""
"A31QX0ZOIZVQO9","https://requester.mturk.com/workers/A31QX0ZOIZVQO9","1","1","100.00%","1","1","100.00%","0","0","0.00%","","","1",1,"1","","","","","","","","","","","","",1,"",1,"",1,"","","","","","","",1,"",1,"","","","","","","","","","","",1,"1","","1","","",1,"",1,"Never Blocked","",""
