Word,Probability
产科,1.8714381595609338E-18
靠不住,1.4148892285607702E-18
性子,4.296272838328453E-19
专访,2.5906809778849536E-18
热卖,8.300308319044924E-20
侠客,3.5743122765255473E-19
灾情,4.1681871868411886E-18
庸人自扰,1.1222681895164747E-20
金城,4.679954270641778E-19
习艺,2.5802576323071083E-20
造谣,1.7959488377532874E-19
得法,1.3192246581039813E-18
归田,1.5404809507379987E-19
快报,1.6718278943999267E-18
伏流,1.1222681895164747E-20
滋长,1.3423414644008591E-18
膝下,7.974179101578599E-20
细胞膜,9.24896066043962E-19
并进,3.927842742949583E-18
什刹海,7.69281271788216E-20
干道,1.2262458576733857E-18
延聘,5.158277122925723E-19
侵夺,1.5507124555996874E-19
老老,2.517909399556193E-19
蒙哥马利,6.579177360592735E-19
逆转,1.0346481397571884E-17
老者,1.295884037638254E-18
修剪,1.1378072875251643E-18
重塑,1.6306460873316298E-20
炕席,4.8599648093021126E-21
连云港,3.245337421769564E-18
信史,2.969694286105133E-19
信号,4.174294116305509E-17
肥水,1.266788195687827E-19
罗钦,2.7784930390023264E-20
金堂,2.9031895045041567E-20
缄默,9.112434017441462E-20
怀恋,6.839121530985013E-20
烫发,2.6793753356547172E-20
科教片,5.277538101469781E-19
体改,8.377044605507589E-21
享福,3.620034313876218E-19
酒杯,5.048608180189497E-19
忽悠,7.389064917300778E-20
灌木,4.720208847581984E-18
幸运,1.3310356515286932E-17
毛福梅,6.746398518175959E-21
羽衣,5.8511418427782014E-21
半斤八两,8.377044605507589E-21
遂行,2.3436540823805584E-19
令状,2.2621217780139767E-19
开罗,3.69120721957034E-18
通货,8.20763326641491E-17
迷醉,6.420269300709632E-20
虚应故事,8.20758530623587E-20
王茂林,4.300429387178514E-20
中提琴,8.050915388041262E-20
酿成,1.9375912331822896E-20
怀恨,3.625789535360918E-20
神不守舍,1.0839000462851423E-20
且说,5.592476610493635E-19
退避,7.516958728071886E-20
肥沃,1.635793813215167E-18
张景良,4.412336471603234E-21
邮筒,1.2853327982496377E-20
强硬,9.944255362696748E-18
逗趣,3.267686865201815E-20
录用,7.620201006816863E-18
逃逸,1.1037875338600496E-18
迟钝,3.4176743317836323E-18
下贱,7.238789689644725E-20
逃遁,2.845637289657158E-20
翻脸,2.338218595422786E-19
徐渭,6.388295848016856E-20
瀚海,1.499554931291244E-20
鬼使神差,3.5938160826681415E-20
何故,1.4362474949595455E-19
郭延礼,4.028655039289909E-21
一身,1.2990685935264548E-17
¡,3.5877411266565134E-19
£,1.1326275881889345E-18
张国成,1.5123443123683546E-20
¥,2.4798609908517887E-19
一躬,6.106929464320418E-21
§,1.4682209476523224E-19
¨,6.556795943707791E-19
©,1.5590255532998093E-19
临街,1.0746277450042369E-19
«,2.7067126377070418E-18
脚底,5.527570501527298E-19
三越,2.3372593918420028E-20
耆老,5.8511418427782014E-21
潦草,2.970333755158989E-20
®,3.418601561911723E-19
丰裕,1.372044801952449E-18
°,8.17177503921996E-19
海市蜃楼,9.115631362710739E-20
±,8.143958135377244E-19
怂恿,1.1018051797930973E-19
耳穴,1.509146967099077E-20
陈耀庭,4.572203735067119E-21
不败,1.2015623521945618E-19
缺额,8.902688167776844E-19
醉意,2.0162459268065213E-19
胡敦,4.540230282374342E-21
·,4.8876867519903315E-16
莺歌燕舞,4.028655039289909E-21
干部,4.3696557490727E-16
选辑,1.3817967050237461E-18
»,1.6839458329704893E-18
马加利,4.444309924296011E-21
耶稣,1.538415465694045E-17
¿,3.385349171111235E-19
弃置,7.578667491768946E-19
逃避,1.571169070632526E-17
邮箱,1.1994840777695313E-18
×,2.639088785261818E-19
侧室,3.063056767968042E-20
ß,7.002186139718176E-21
胡斐,4.3483895662176796E-21
快捷,8.25017394522265E-18
à,2.813983571491309E-19
恶劣,3.0019874733248377E-17
á,1.4579894427906338E-20
â,3.0214912794674316E-20
辱骂,1.7573888538057983E-18
不赖,1.1014854452661697E-19
ã,5.147725883537106E-21
ä,4.982423133115449E-19
æ,3.2660881925671763E-19
ç,2.2797071769950043E-20
重大,4.3088614261226535E-16
è,4.600979842490618E-20
é,1.8429498132116695E-19
乳胶,4.853570118763557E-20
ê,8.153230436658149E-20
ë,4.9878586200732206E-20
í,1.587034297858682E-18
î,3.684620688315628E-19
ï,2.564590640487648E-19
连锁,1.4134568178801338E-17
ñ,5.1828966814991607E-20
重复,7.932351430765907E-17
侦察,1.8086422984723196E-17
翻腾,6.2412179656300815E-19
幽远,1.798826448495637E-19
ó,4.7000975458382274E-20
ô,6.602517981058463E-20
ö,1.4036345732129127E-19
醋意,1.8416708751039584E-20
中西,1.1962355749759451E-17
ù,6.0429825589348636E-21
影片,7.783969031509267E-17
里头,3.850626854696527E-18
û,3.2740815557403705E-20
ü,4.338477795882918E-19
能手,3.2360970939413514E-18
怀想,2.619584979119224E-19
不起,3.3092523537024254E-20
胜景,7.724786170574937E-20
肃然,2.772098348463771E-20
恫吓,1.829457016175318E-18
网际,1.5481545793842652E-19
便士,7.197224201144115E-20
通路,3.800556427779638E-18
了结,3.1559396480405594E-18
选送,1.974104916157441E-18
何方,1.2189559104594325E-18
受话器,8.377044605507589E-21
激磁,4.3164161135249025E-21
序跋,2.238141688494394E-20
陈进玉,4.923911714687667E-21
废话,2.8019935267315173E-18
宋钦宗,4.284442660832125E-21
逼视,5.876720604932423E-20
野外,6.485623038013669E-18
联盟,7.972676349302037E-17
志明,5.910292730259839E-19
侍弄,1.7873160055262376E-20
休渔,1.6594221947551293E-20
量大,1.0775053557465868E-20
下跌,1.6334917246212872E-17
潘心源,5.627327673928762E-21
烈士,6.03454156742397E-18
上路,2.3038791072307437E-18
重奏,3.895325741561029E-19
肤浅,4.64324874695047E-18
干酪,1.8608549467196247E-20
倒伏,6.832726840446457E-20
重奖,8.267695397298291E-19
能把,5.4354869577721E-21
齐世荣,4.955885167380444E-21
陈建平,9.847823429375334E-21
迎面,1.4395727340395942E-18
老脸,1.7553425528334604E-20
刘世德,6.0110091062420864E-21
膂力,1.2501620002875829E-20
短平快,9.819047321951834E-20
何时,6.100534773781862E-20
不足,2.5884869595611755E-16
女公子,4.639347985721951E-20
俯卧,6.778371970868736E-21
罗伊森,7.865469362423156E-21
佛教,2.6367866966679383E-17
郁积,2.7752956937330487E-20
醒悟,1.5118007636725776E-18
透辟,9.8382313935675E-20
一轮,5.867128569124589E-20
佚文,3.2868709368174814E-20
恶化,3.838841440033969E-17
张晋藩,8.824672943206468E-21
乳腺,2.020402475656582E-18
羽西,1.3237009414809702E-20
连长,1.2006031486137785E-19
胡春,5.659301126621539E-21
胡昭,4.3483895662176796E-21
进门,2.6254361209620026E-18
怅惘,7.16205340318206E-21
胡晓,1.3748584657894135E-20
耸立,1.5509682432212294E-18
代理,1.451750782701219E-16
透过,5.872244321555434E-19
翻船,8.086086186003318E-20
何晏,3.1333983638921516E-20
二级,1.6881983021786287E-20
何晓,6.234823275091526E-21
脱岗,1.4867655502141332E-20
侨居,1.6360176273840165E-18
仙界,3.4787116529741437E-20
兴高采烈,2.2689321234375383E-18
假面具,5.843787948658862E-19
作文,1.1948447297838093E-17
爱好者,8.760726037820914E-21
郊祀,1.205399166517695E-20
烈女,1.6338434326009075E-20
委员长,1.6754089211015178E-20
悠久,3.8012406596672633E-17
常食,1.6658168852936847E-20
陈庆浩,5.819168390085424E-21
延至,1.2325446278538628E-18
幅面,2.2592441672716267E-19
一边,7.715309239196798E-17
金奖,1.4319630522987133E-18
作料,1.0580015496039928E-19
平野,1.0282662385997102E-19
二线,3.4235574470791032E-18
点子,1.5523750751397117E-18
胡景,3.23251606723976E-20
廷臣,3.2836735915482036E-20
举行,2.9579555526835067E-16
洗手间,8.535952665390691E-19
乱舞,5.979035653549309E-21
郑功成,5.310790492270269E-20
怠工,2.882726494780779E-19
开胃,5.259632967961826E-20
大名鼎鼎,1.6244432375092312E-18
年金,4.258576137603669E-18
一贫如洗,1.0998867726315308E-19
一连,3.044416245048153E-18
陆希荣,7.737575551652048E-21
何炳贤,8.856646395899245E-21
美达,5.2116727889226606E-21
二维,2.5386921438064983E-20
罄竹难书,3.9519187528272444E-20
世贸,9.521694211909008E-18
逍遥,8.331642302683846E-19
上身,3.457609174196911E-19
滞销,9.736236079477542E-19
返青,5.8831152954709786E-21
人祸,2.7842482604870263E-19
倚仗,6.75918789925307E-20
脚心,3.9071559190573564E-20
烟囱,6.979804722833232E-20
潜藏,2.7148978415963927E-18
归真,1.2693460719032492E-20
优渥,5.659301126621539E-21
下身,5.167869158733556E-19
老臣,3.565039975244642E-20
连队,6.14529760755175E-18
余晖,1.1094788084393638E-20
心电图,4.349029035271535E-19
并重,8.819013642079847E-18
漫话,1.8544602561810693E-20
仓皇,2.1134452229925634E-20
适量,9.76948847027803E-19
当真,1.6769116733780783E-18
忠明,4.856767464032835E-20
耻笑,6.244415310899359E-20
余光中,4.266217792797243E-19
优游,1.0295451767074213E-19
烟土,7.641655193573716E-20
恶变,5.0326214538431086E-20
潘虹,1.1574389874785294E-20
漫谈,6.897632949412794E-19
庞贝,1.7169744096021278E-20
滑雪,2.176880553135033E-18
还需,9.272301280905347E-21
老舍,1.7215785867898879E-18
开脱,1.386528776022277E-18
递送,9.452311819565682E-19
重婚,1.042782186122231E-18
仿照,1.5312086494570932E-18
严词,1.2322568667796278E-19
群起,4.840461003159519E-19
何曾,2.695042327474178E-19
余暇,3.2843130606020593E-19
引线,2.573862941768553E-19
一遍,2.6831961632515042E-17
遇见,9.785539143529803E-18
腻味,2.6474018829619404E-20
活火山,6.490610896633742E-21
道行,2.2093655810708946E-19
座谈,7.779607852561973E-17
供应,2.315734224020171E-16
忘本,1.831119635715342E-19
开腔,1.4579894427906338E-20
一道,4.1751893729809067E-17
人种,3.235713412509038E-20
耒耜,6.074956011627641E-21
恶名,4.424486383626489E-19
卢嘉锡,4.600979842490618E-20
张曼玉,8.56888532166425E-21
王凤山,5.051805525458775E-21
