Word,Probability
undermining,6.973788700279506E-20
frowning,4.9251521973611724E-20
zulus,1.5657717806403526E-20
seminoles,9.63941408224885E-21
conformed,4.713735271447704E-20
spilling,4.187724987564373E-20
abrupt,1.5405396487710645E-19
descriptor,3.369459553025447E-20
salary,5.051758028766754E-19
naturalized,4.262993969008165E-20
childs,2.745248109411065E-20
inflatable,1.0622558510796525E-20
northfield,1.0259440173697854E-20
childe,2.211112057680687E-20
avant,9.37799949659827E-20
blasts,3.7473598069159597E-20
quartets,2.2525124468396097E-20
ramayana,2.4420351128155358E-20
chiles,1.2133204274072109E-20
compassionate,7.634011930411211E-20
nonviolent,4.1017400349583103E-20
resurgent,1.043695789026599E-20
flit,1.4353706584196993E-20
glade,2.1158929996387926E-20
knowlton,1.2820894069145738E-20
usurpers,1.0404228252630368E-20
stoning,9.474786148135903E-21
lebenx,1.4829832491466926E-20
venous,2.0768244058047801E-19
resuscitation,4.730051102968773E-20
stiffening,2.1913640536816446E-20
staircase,1.346270113740857E-19
flip,1.0693115526634964E-19
nibble,1.450198500802236E-20
a,4.775327807319237E-16
b,1.10119256804913E-17
c,1.338080941023295E-17
garland,9.805389167022198E-20
d,1.0629998364638006E-17
e,9.461565303405921E-18
f,6.1125456999459944E-18
posture,2.422777594125121E-19
g,5.740849289166046E-18
h,6.926698895859929E-18
i,1.219405608895048E-16
j,1.2027611482369807E-17
k,3.847295821144062E-18
l,8.440432940790359E-18
eating,7.937024997601913E-19
m,1.0800371100273987E-17
congolese,1.5137380863824107E-20
n,6.934331729033512E-18
o,4.308947880484541E-18
p,1.5887072655701428E-17
q,1.2336683727060382E-18
r,8.263150087693039E-18
s,2.3627872239216595E-17
t,6.996545350959127E-18
u,2.135820419612152E-18
automating,9.48158313555883E-21
v,9.138215557994643E-18
w,5.71517878222504E-18
x,4.4898299221246635E-18
y,2.8293867001858687E-18
information,8.729685445709225E-18
z,1.024690799850888E-18
sinuses,5.425284941740641E-20
adrian,9.23846224353527E-20
piraeus,1.2075582966279555E-20
shoals,4.643655881752497E-20
covalently,1.4053781859895257E-20
muscat,1.498221360139442E-20
fuehrer,1.2197040845138781E-20
analytics,1.1831381292021629E-20
myriad,9.242684336173204E-20
factionalism,1.830036814620096E-20
¡,2.1334518838146855E-20
pillaged,1.992132717832701E-20
£,4.707733102914413E-19
¥,1.3750397407761132E-20
§,1.122891163538368E-18
irrelevance,1.9597612998045033E-20
¨,1.1857313942234324E-20
©,3.1630381066972245E-19
shakespear,1.0151423184382162E-20
informative,1.0256133531167782E-19
«,5.13287946131817E-19
®,1.0980857722578221E-19
wigner,1.0211738793495516E-20
¯,1.366255706129097E-20
°,1.3748644887220193E-18
±,1.1322825794308615E-19
·,1.522274122839671E-20
categorically,3.551860690737533E-20
scholars,7.977264387828055E-19
»,5.820645186701749E-19
technics,1.4547451342810852E-20
¿,1.5611118640377878E-20
jeanne,8.486791977210789E-20
chapelle,2.745012358045495E-20
mêmex,2.208261609351523E-20
offs,6.435672430688856E-20
welter,1.9291166839864543E-20
motive,4.802034567654212E-19
adrift,3.230978588548442E-20
shrinks,3.483290722123183E-20
koehler,1.338795264599266E-20
×,1.638793469846114E-20
colouring,8.242871979909129E-20
sarcoplasmic,9.585711758195641E-21
à,4.0828493086522494E-19
á,1.475616784399143E-20
conducive,1.1967578223788047E-19
effeminacy,1.0930627373181587E-20
schuster,9.163542296580764E-20
caliber,5.606626729160685E-20
quarters,6.71796448369898E-19
è,3.932188877522811E-20
é,1.3389269179592597E-20
congressmen,6.511614987462847E-20
perilously,1.3692745482908114E-20
frankland,9.399927435302324E-21
better,6.893780718365971E-18
allegations,1.1391548848225281E-19
hellman,1.999030741555157E-20
emmons,1.502385280362496E-20
breadth,2.672170084814051E-19
disantages,2.445722019236566E-19
discharges,1.2039956954724072E-19
priscilla,4.015654046052717E-20
asturias,1.1656741579137074E-20
complimented,2.654153169413622E-20
tripping,2.6539755904629328E-20
chilly,5.2389035861682837E-20
salespeople,4.111540556012719E-20
dummy,9.064269539733485E-20
frustrations,5.976419585440428E-20
discharged,3.2583937168287867E-19
avantx,1.2182558975539484E-20
chills,3.7451859956230417E-20
flashing,1.1135663703694434E-19
automatism,1.1005210532470992E-20
flop,4.302241978816494E-20
flor,1.4660948785949535E-20
flow,2.6203357994709085E-18
faithx,1.0391246618993788E-20
angiogenesis,1.3709737951465427E-20
timid,1.1944624613558463E-19
faiths,5.185672764846214E-20
resonance,2.6466862807077515E-19
floe,1.199031445288834E-20
jellies,1.3840778970249772E-20
remit,3.983398972854281E-20
disantaged,9.866978445850838E-20
tombstones,1.7158719195633066E-20
granularity,1.2819271364941167E-20
vaccination,8.674878703050971E-20
civilities,1.1492940305656645E-20
pellet,4.3165983184678916E-20
poetically,1.7135052207894678E-20
dumps,2.964013129835806E-20
arrowheads,2.0442950037445903E-20
bothering,4.796970812024132E-20
peebles,1.2409798798300556E-20
redundancy,7.748538106781472E-20
avail,1.8824994538951335E-19
hastings,1.5527261573474037E-19
eugen,1.9068672661475334E-20
housemaid,1.2552535534182007E-20
calibre,3.758611576636344E-20
kristen,1.1563390161783461E-20
observances,4.171525500873066E-20
comorbidity,1.1531272865357112E-20
avait,1.788547635985829E-20
eurasia,1.8827318373840526E-20
ordeals,1.2090462857664879E-20
shrines,7.789767040401798E-20
bridgehead,1.359020894741541E-20
grudges,9.969741547590971E-21
noahx,1.6442861704932894E-20
automation,1.2847644194872814E-19
astrophysical,1.213118354808151E-20
leicester,1.094649313391384E-19
longitude,9.864091257049118E-20
sneaky,9.560207746829435E-21
pigeon,9.609240969161942E-20
circumstances,2.536975218819546E-18
troublemakers,9.768373140921666E-21
adriana,9.546276984318483E-21
timed,7.707247939040218E-20
baltic,1.630817725595338E-19
conveniently,1.5680181543665693E-19
palgrave,2.1529457662118796E-20
devising,6.020664299516422E-20
pernicious,1.035511236423461E-19
cusps,2.0561866700286646E-20
circumstanced,1.1180585054806675E-20
unctival,2.189453549108714E-20
rarity,5.482875632472732E-20
became,5.902413955762547E-18
cemeteries,4.822269689085231E-20
segal,3.0678263967498415E-20
footer,2.1185230051326186E-20
spliced,1.3649422342352075E-20
patriarchate,1.3512655933261031E-20
unclaimed,1.2583948638217693E-20
soulless,1.1740907878351597E-20
odessa,3.4116253686959606E-20
aldermen,5.176897915317337E-20
blindfold,1.2371741792144263E-20
timer,6.629539657544571E-20
scripting,2.149339076489264E-20
times,7.47927416410571E-18
transpiration,3.009283515437331E-20
footed,5.049938150692796E-20
salads,3.6895854138210866E-20
vacillating,1.6925876450807146E-20
pericarditis,2.3855374511419963E-20
pampa,1.002436238345809E-20
muscle,1.164079192765915E-18
flux,3.8497653013898775E-19
jolted,1.856180722549991E-20
contiguity,2.3003485421079877E-20
condyle,2.953992165946059E-20
celibate,1.6613919221743204E-20
bachelor,1.518654267781056E-19
flue,4.715700886729469E-20
porcine,1.708346246101346E-20
supererary,1.5837899207231997E-20
frazer,3.824315788391298E-20
appleton,8.939110058264204E-20
harness,1.1054332544278844E-19
aplastic,1.2194958885027255E-20
sketch,4.444872473498136E-19
witted,2.3055840594472686E-20
hyatt,1.974638129483782E-20
teresa,9.864960781566285E-20
fairies,5.1105446218805547E-20
beautiful,2.101489172926617E-18
subsoil,3.450980538215913E-20
eventual,1.7001185234429543E-19
styling,2.2098475730835392E-20
notation,2.266509954542373E-19
huntington,1.0674237047153089E-19
palsy,6.729464557779725E-20
etched,6.093685988722183E-20
deputations,9.217480371999544E-21
tracers,1.7824732111898444E-20
unusted,1.2268072425414407E-20
dissecting,3.1209806754207526E-20
tracery,2.2010329213760596E-20
tonsils,2.9832253352767346E-20
myelinated,1.3931160532738412E-20
archers,3.783420580730025E-20
archery,2.291558384048879E-20
monitors,8.973594053464392E-20
refineries,3.599090568208731E-20
ector,2.0508932864451075E-19
anaconda,1.2416963190449047E-20
kitchen,8.204972039273013E-19
colegio,1.2013154779994209E-20
prevented,5.856637990641585E-19
monochromator,1.0559609834483298E-20
antlers,2.485489906731568E-20
marvin,7.579106355881781E-20
ontologically,1.1948644633597338E-20
polymeric,3.328457185652552E-20
derivational,9.880217262795313E-21
redmond,2.659532586937082E-20
ordinal,4.148697420591382E-20
insubstantial,1.46502021977268E-20
chakras,9.787263867227728E-21
