SentenceID,CodeSwitchedSentence,NumberOfCodeSwitching,CodeSwitch1,Translation1,CodeSwitch2,Translation2,CodeSwitch3,Translation3,CodeSwitch4,Translation4,CodeSwitch5,Translation5,CodeSwitch6,Translation6,CodeSwitch7,Translation7,TranslatedSentence,IndicesOfCodeSwitchedWord,IndicesOfPunctuation,AddedWordList
0,全新 的 baby safety mirror ， 可以 看到 坐在 rear face seat 上 小孩 的 情况 ， $5 。,3,baby safety mirror,儿童安全镜,rear face seat,儿童安全座椅,,,,,,,,,,,全新 的 儿童安全镜 ， 可以 看到 坐在儿童安全座椅 上 小孩 的 情况 ， $5 。,[2_3_4_9_10_11],[5_16_18],
1,床头 桌 night stand$10,2,night,床头柜,,,,,,,,,,,,,床头 桌床头柜$10,[2],,
2,小 蜡烛 一 盒 a box of little candles$2,2,a box of little,一小盒蜡烛,,,,,,,,,,,,,小 蜡烛 一 盒 一小盒蜡烛 $2,[4_5_6_7],,
3,三 个 帽子 three hats$5 in total,3,three,三个帽子,in total,总共,,,,,,,,,,,三 个 帽子 三个帽子总共$5,[3_5_6],,
4,全程 dealer 保养 ， 没 出 过 任何 毛病 ， 非常 省 油 省心 。,2,dealer,卖家,,,,,,,,,,,,,全程卖家 保养 ， 没 出 过 任何 毛病 ， 非常 省 油 省心 。,[1],[3_9_14],
5,垃圾 桶 上 有 penn state 校徽,2,penn state,宾州州立,,,,,,,,,,,,,垃圾 桶 上 有 宾州州立校徽,[4_5],,
6,咖啡 机 hamilton beach one cup coffee,2,hamilton beach one cup coffee,汉密尔顿碧池一杯大小咖啡机,,,,,,,,,,,,,咖啡 机 汉密尔顿碧池一杯大小咖啡机,[2_3_4_5_6],,
7,补充 ： jeep 带有 按键 启动 、 遥控 启动 功能 。,2,jeep,吉普,,,,,,,,,,,,,补充 ：吉普带有 按键 启动 、 遥控 启动 功能 。,[2],[1_6_10],
8,补充 ： jeep 带有 按键 启动 、 遥控 启动 功能 。,2,jeep,吉普,,,,,,,,,,,,,补充 ： 吉普带有 按键 启动 、 遥控 启动 功能 。,[2],[1_6_10],
9,求 一 张 成色 比较 新 的 queen size 的 木头 床 。,2,queen size,大号,,,,,,,,,,,,,求 一 张 成色 比较 新 的 大号 的 木头 床 。,[7_8],[12],
10,地址 在 squirrel hill ， 请 联系 电话 pn-0 .,2,squirrel hill,松鼠山,,,,,,,,,,,,,地址 在 松鼠山， 请 联系 电话 pn-0 .,[2_3],[4_8_9],
11,坐 几 站 bus 就 能 到 giant eagle ；,3,bus,公交,giant eagle,大老鹰,,,,,,,,,,,坐 几 站 公交 就 能 到 大老鹰 ；,[3_7_8],[9],
12,本人 因 做 毕业 论文 离开 匹兹堡 现 出售 自己 的 buick century 。,2,buick century,别克世纪,,,,,,,,,,,,,本人 因 做 毕业 论文 离开 匹兹堡 现 出售 自己 的 别克世纪 。,[11_12],[13],
13,google drive 地址 ：,2,google drive,谷歌云盘,,,,,,,,,,,,,谷歌云盘 地址 ：,[0_1],[3],
14,hello ~ 下面 先 列 个 列表 ， 包括 物品 、 价格 、 赠品 。,2,hello,嘿,,,,,,,,,,,,,嘿 ~ 下面 先 列 个 列表 ， 包括 物品 、 价格 、 赠品 。,[0],[1_7_10_12_14],
15,up up up up 自己 up 一下 ~,3,up up up up,顶顶顶顶,up,顶,,,,,,,,,,,顶顶顶顶 自己顶 一下 ~,[0_1_2_3_5],[7],
16,up up up up up up 一下 自己 ~,2,up up up up up up,顶顶顶顶顶,,,,,,,,,,,,,顶顶顶顶顶 一下 自己 ~,[0_1_2_3_4_5],[8],
17,这个 amazon 上 的 链接 ，,2,amazon,亚马逊,,,,,,,,,,,,,这个亚马逊 上 的 链接 ，,[1],[5],
18,价格 、 照片 、 联系 方式 ， 请 看 google docs 文件 ：,2,google docs,谷歌文档,,,,,,,,,,,,,价格 、 照片 、 联系 方式 ， 请 看 谷歌文档 文件 ：,[9_10],[1_3_6_12],
19,nine west tote bag 全 新 $25,2,nine west tote bag,玖熙手包,,,,,,,,,,,,,玖熙手包 全 新 $25,[0_1_2_3],,
20,hello ~ 下面 先 列 个 列表 ， 包括 物品 、 价格 、 赠品 。,2,hello,嘿,,,,,,,,,,,,,嘿 ~ 下面 先 列 个 列表 ， 包括 物品 、 价格 、 赠品 。,[0],[1_7_10_12_14],
21,blender ： 原价 $ 39.,2,blender,搅拌机,,,,,,,,,,,,,搅拌机： 原价 $ 39.,[0],[1_3],
22,tx-instrument financial instrument : actuarial exam fm/mle : 原价 84.,2,financial instrument,金融用品,actuarial exam : ,精算考试 : ,,,,,,,,,,,tx-instrument 金融用品 : 精算考试 : 原价 84.,[1_2_4_5],[3_7],
24,照片 请 看 下边 google drive 的 链接 ：,2,google drive,谷歌云盘,,,,,,,,,,,,,照片 请 看 下边 谷歌云盘 的 链接 ：,[4_5],[8],
25,出 闲置 ， 有 兴趣 请 email 联系,2,email,电子邮件,,,,,,,,,,,,,出 闲置 ， 有 兴趣 请电子邮件 联系,[6],[2],
26,车子 状况 非常 好 ， clean title ， 无 事故 ， 省心 省 油 。,2,clean title,干净标题,,,,,,,,,,,,,车子 状况 非常 好 ，干净标题 ， 无 事故 ， 省心 省 油 。,[5_6],[4_7_10_14],
27,红色 ， 第一 任 车主 ， clean title ， 基本 配置 。,2,clean title,干净标题,,,,,,,,,,,,,红色 ， 第一 任 车主 ，干净标题 ， 基本 配置 。,[6_7],[1_5_8_11],
28,tx-instrument financial instrument : actuarial exam fm/mle : 原价 84.,2,financial instrument,金融用品,actuarial exam : ,精算考试 : ,,,,,,,,,,,tx-instrument金融用品 : 精算考试 : 原价 84.,[1_2_4_5],[3_7],
30,电梯 直达 [ url = ] [/url ],2,url,统一资源定位符,,,,,,,,,,,,,电梯 直达 [ 统一资源定位符 = ] [/统一资源定位符 ],[3],[2_4_5_7],
31,king size king size king size 床,2,king size king size king size,超大号,,,,,,,,,,,,,超大号超大号超大号的 床,[0_1_2_3_4_5],,
32,queen size size size 床,2,queen size size size,大号,,,,,,,,,,,,,大号的 床,[0_1_2_3],,
33,一 张 work bench ;,2,work bench,工作台,,,,,,,,,,,,,一 张 工作台;,[2_3],[4],
34,邮箱 wood em@0,2,wood,伍德,,,,,,,,,,,,,邮箱 wood em@0,[1],[2],
35,楼 主 你 是 不 是 在 sq hill ？,2,sq hill,sq （松鼠）山,,,,,,,,,,,,,楼 主 你 是 不 是 在 松鼠山？,[7_8],[9],
36,车子 状况 非常 好 ， clean title ， 无 事故 ， 省心 省 油 。,2,clean title,干净标题,,,,,,,,,,,,,车子 状况 非常 好 ，干净标题， 无 事故 ， 省心 省 油 。,[5_6],[4_7_10_14],
37,没有 任何 故障 ， 车辆 非常 省心 ， 非常 reliable 。,2,reliable,可靠的,,,,,,,,,,,,,没有 任何 故障 ， 车辆 非常 省心 ， 非常 可靠。,[9],[3_7_10],
38,大家 好 ， 我 是 匹 大学生 ， 希望 加入 一 个 手机 的 family plan 。,2,family plan,家庭套餐,,,,,,,,,,,,,大家 好 ， 我 是 匹 大学生 ， 希望 加入 一 个 手机 的 家庭套餐。,[14_15],[2_7_16],
39,cell : pn-1 ( 电话 或 短信 均 可 ),2,cell,电话,,,,,,,,,,,,,电话 : pn-1 ( 电话 或 短信 均 可 ),[0],[1_2_3_9],
40,cell : pn-1 ( 电话 或 短信 均 可 ),2,cell,电话,,,,,,,,,,,,,电话 : pn-1 ( 电话 或 短信 均 可 ),[0],[1_2_3_9],
41,clean title ， 随时 可 交 车,2,clean title,干净标题,,,,,,,,,,,,,干净标题 ， 随时 可 交 车,[0_1],[2],
42,微波炉 搬家 sale,2,sale,出售,,,,,,,,,,,,,搬家 出售微波炉,[2],,
43,无线 激光 打印机 brother 牌子 可以 复印 ， 扫描 ！,2,brother,兄弟,,,,,,,,,,,,,无线 激光 打印机 兄弟牌 可以 复印 ， 扫描 ！,[3],[7_9],
44,有 兴趣 请 联系 rent em@1,2,rent,出租,,,,,,,,,,,,,有 兴趣 请 联系 rent em@1,[4],[5],
45,使用 至今 没有 任何 事故 记录 ， clean title 。,2,clean title,干净标题,,,,,,,,,,,,,使用 至今 没有 任何 事故 记录 ， 干净标题 。,[7_8],[6_9],
46,写 paper 写 作业 必备 。,2,paper,文章,,,,,,,,,,,,,写 文章 写 作业 必备 。,[1],[5],
47,有 兴趣 请 先 邮件 联系 rent em@1,2,rent,出租,,,,,,,,,,,,,有 兴趣 请 先 邮件 联系 rent em@1,[6],[7],
48,豪华 suv 包车 往返 pit 机场 及 匹兹堡 市区,3,suv,城市功能越野车,pit,匹兹堡,,,,,,,,,,,豪华城市功能越野车 包车 往返 匹兹堡 机场 及 匹兹堡 市区,[1_4],,
49,豪华 suv 包车 往返 pit 机场 及 匹兹堡 市区,3,suv,城市功能越野车,pit,匹兹堡,,,,,,,,,,,豪华城市功能越野车 包车 往返 匹兹堡 机场 及 匹兹堡 市区,[1_4],,
50,联系 电话 ： pn-2 email : em@2,2,email,电子邮箱,,,,,,,,,,,,,联系 电话 ： pn-2 电子邮箱 : em@2,[4],[2_3_5_6],
51,小 电风扇 已 出 ， 屏风 on hold,2,on hold,等待,,,,,,,,,,,,,小 电风扇 已 出 ， 屏风待出,[6_7],[4],
52,hello 你 可以 直接 微 信 我 ， 我 发给 你 吗 ？,2,hello,你好,,,,,,,,,,,,,你好 你 可以 直接 微 信 我 ， 我 发给 你 吗 ？,[0],[7_12],
53,最好 在 north oakland,2,north oakland,北奥克兰,,,,,,,,,,,,,最好 在 北奥克兰,[2_3],,
54,本人 是 第三 任 车主 ， 前 两 位 车主 及 本人 均 在 奥迪 dealer 店 定期 保养 ， 车况 好 。,2,dealer,卖家,,,,,,,,,,,,,本人 是 第三 任 车主 ， 前 两 位 车主 及 本人 均 在 奥迪卖家 店 定期 保养 ， 车况 好 。,[15],[5_19_22],
55,联系 电话 ： pn-2 email : em@2,2,email,电子邮箱,,,,,,,,,,,,,联系 电话 ： pn-2 电子邮箱 : em@2,[4],[2_3_5_6],
56,amazon fire tv stick ， 原价 $ 39.,2,amazon fire tv stick,亚马逊火焰电视棒,,,,,,,,,,,,,亚马逊火焰电视棒 ， 原价 $ 39.,[0_1_2_3],[4_6],
57,宜家 立柜 / 书柜 ( like new ) : $25 ( multiple available ),3,like new,半新,multiple available,多个可得,,,,,,,,,,,宜家 立柜 / 书柜 ( 半新 ) : $25 ( 多个可得 ),[5_6_11_12],[2_4_7_8_10_13],
58,地址 ： frick park,2,frick park,弗里克公园,,,,,,,,,,,,,地址 ：弗里克公园,[2_3],[1],
59,我 住 n craig st 。,2,n craig st,北克列戈街,,,,,,,,,,,,,我 住 北克列戈街 。,[2_3_4],[5],
60,以上 queen size 已 出 啦,2,queen size,大号尺寸的,,,,,,,,,,,,,以上 大号尺寸的 已 出 啦,[1_2],,
61,本人 是 第三 任 车主 ， 前 两 位 车主 及 本人 均 在 奥迪 dealer 店 定期 保养 ， 车况 好 。,2,dealer,卖家,,,,,,,,,,,,,本人 是 第三 任 车主 ， 前 两 位 车主 及 本人 均 在 奥迪 的专卖 店 定期 保养 ， 车况 好 。,[15],[5_19_22],
62,求购 bread toaster 一 个 ！,2,bread toaster,烤面包机,,,,,,,,,,,,,求购烤面包机一 个 ！,[1_2],[5],
63,cloth horse 是 啥 啊 楼 主,2,cloth horse,晾衣架,,,,,,,,,,,,,晾衣架 是 啥 啊 楼 主,[0_1],,
64,可以 暂时 用 国内 的 驾照 开 ， 不过 最好 是 考 learner permit 。,2,learner permit,学习者许可证,,,,,,,,,,,,,可以 暂时 用 国内 的 驾照 开 ， 不过 最好 是 考 学习者许可证。,[12_13],[7_14],
65,平时 都 很 爱惜 车子 经常 保养 车主 不 吸烟 clean title 可 送 aux 线 手机 支架,3,clean title,干净标题,aux,辅助接口,,,,,,,,,,,平时 都 很 爱惜 车子 经常 保养 车主 不 吸烟 干净标题 可 送 辅助接口 线 手机 支架,[10_11_14],,
66,因 relocate 需要 ， 出手 小车 ~,2,relocate,搬家,,,,,,,,,,,,,因 搬家 需要 ， 出手 小车 ~,[1],[3_6],
67,自动 挡 （ 手 自 一体 ） 两 门 蓝 （ 灰 ） 色 coupe ， 2.,2,coupe,双开门车,,,,,,,,,,,,,自动 挡 （ 手 自 一体 ） 两 门 蓝 （ 灰 ） 色 双开门车 ， 2.,[14],[2_6_10_12_15],
68,全新 gre og$20,2,gre,研究生标准考试,,,,,,,,,,,,,全新 研究生标准考试 官方指导书$20,[1],,
69,物品 condition 大部分 excellent to like new .,3,condition,状态,excellent to like new,完美到较新,,,,,,,,,,,物品状态大部分完美到较新 .,[1_3_4_5_6],[7],
70,带 三 档 fan control ，,2,fan control,风扇控制,,,,,,,,,,,,,带 三 档风扇控制 ，,[3_4],[5],
71,front ， top ， bottom 都 有 dust filter ，,3,front,前面,top ， bottom ， dust filter,上 ， 下 ， 粉尘过滤器,,,,,,,,,,,前面，上面 ， 下面 都 有 粉尘过滤器 ，,[0_2_4_7_8],[1_3_9],
72,出售 二手 full size 床 ！,2,full size,全尺寸大小,,,,,,,,,,,,,出售 二手 全尺寸大小的 床 ！,[2_3],[5],
73,对 您 的 tv stand 感兴趣 ， 请 提供 联系 方式 ， 我 的 联系 电话 pn-3 （ 杨 ） ， 谢谢 ！,2,tv stand,电视站脚,,,,,,,,,,,,,对 您 的 电视站脚 感兴趣 ， 请 提供 联系 方式 ， 我 的 联系 电话 pn-3 （ 杨 ） ， 谢谢 ！,[3_4],[6_11_16_17_19_20_22],
74,包含 ： 电 吉他 ， 音箱 ， cable ， 输入 3.,2,cable,线,,,,,,,,,,,,,包含 ： 电 吉他 ， 音箱 ， 线， 输入 3.,[7],[1_4_6_8],
75,具体 的 信息 也 可以 参考 amazon 的 页面 或者 短信 我 。,2,amazon,亚马逊,,,,,,,,,,,,,具体 的 信息 也 可以 参考 亚马逊 的 页面 或者 短信 我 。,[6],[12],
76,十 分钟 可 达 买 吃 一 条 街 - walnut street 。,2,walnut street,核桃街,,,,,,,,,,,,,十 分钟 可 达 买 吃 一 条 街 - 核桃街 。,[10_11],[9_12],
77,这 是 amazon 的 link,3,amazon,亚马逊,link,链接,,,,,,,,,,,这 是 亚马逊 的 链接,[2_4],,
78,png 回国 转让 家具 ：,2,png,图片？,,,,,,,,,,,,,图片： 回国 转让 家具 ：,[0],[4],
79,小区 环境 非常 幽静 ： 有 多 处 playground 和 公园 ， 很 适合 有 孩子 （ 和 老人 ） 的 家庭 在,2,playground,操场,,,,,,,,,,,,,小区 环境 非常 幽静 ： 有 多 处 操场 和 公园 ， 很 适合 有 孩子 （ 和 老人 ） 的 家庭 在,[8],[4_11_16_19],
80,今天 刚 做 的 inspection ， 去年 做 过 alignment ， 轮胎 刚 用 一 年 多 ， 很 新 。,3,inspection,检查,alignment,校准,,,,,,,,,,,今天 刚 做 的 检查， 去年 做 过校准 ， 轮胎 刚 用 一 年 多 ， 很 新 。,[4_9],[5_10_17_20],
81,正值 壮年 ， 因为 是 timing chain 所以 不用 担心 timing belt 问题 。,3,timing chain,时间链,timing belt,同步带,,,,,,,,,,,正值 壮年 ， 因为 是时间链 所以 不用 担心 同步带问题 。,[5_6_10_11],[2_13],
82,家具 都 是 宜家 或者 amazon 上 购买 的 ， 使用 了 不到 一 年 。,2,amazon,亚马逊,,,,,,,,,,,,,家具 都 是 宜家 或者 亚马逊 上 购买 的 ， 使用 了 不到 一 年 。,[5],[9_15],
83,amazon 上 marcy 健身 椅$15,3,amazon,亚马逊,marcy,,,,,,,,,,,,亚马逊 上 马西牌 健身 椅$15,[0_2],,
84,ask for$19500 （ 可 小刀 ）,2,ask,需要,,,,,,,,,,,,,需要$19500 （ 可 小刀 ）,[0],[2_5],
85,系统 及 功能 就 不用 说 了 ， 用 mac 的 都 知道 。,2,mac,苹果电脑,,,,,,,,,,,,,系统 及 功能 就 不用 说 了 ， 用 苹果电脑 的 都 知道 。,[9],[7_13],
86,就 在 south oakland 随时 看 车 ， pn-4 。,2,south oakland,南奥克兰,,,,,,,,,,,,,就 在 南奥克兰 随时 看 车 ， pn-4 。,[2_3],[7_8_9],
87,【 物业 】 ： meyers management 公司 ， 物业 反应 迅速,2,meyers management,迈耶斯物业,,,,,,,,,,,,,【 物业 】 ：迈耶斯物业 公司 ， 物业 反应 迅速,[4_5],[0_2_3_7],
88,盒子 里 本身 两 个 游戏 ， 再 多 送 两 个 游戏 ， 很 适合 party 的 时候 大家 一起 玩 。,2,party,聚会,,,,,,,,,,,,,盒子 里 本身 两 个 游戏 ， 再 多 送 两 个 游戏 ， 很 适合 聚会的 时候 大家 一起 玩 。,[16],[6_13_22],
89,小朋友 不到 一 岁 就 换 了 convertible car seat ， 这个 在家 闲置 了 几 个 月 了 。,2,convertible car seat,可转换汽车座椅,,,,,,,,,,,,,小朋友 不到 一 岁 就 换 了 可转换式汽车座椅 ， 这个 在家 闲置 了 几 个 月 了 。,[7_8_9],[10_19],
90,king size 的,2,king size,超大号,,,,,,,,,,,,,超大号的,[0_1],,
91,clean title ， 从未 有 过 任何 事故 ， 车况 良好 ， 性能 稳定 ， 并 有 其他 附件 赠送 。,2,clean title,干净标题,,,,,,,,,,,,,干净标题 ， 从未 有 过 任何 事故 ， 车况 良好 ， 性能 稳定 ， 并 有 其他 附件 赠送 。,[0_1],[2_8_11_14_20],
92,两 个 car seater 都 出 了 ， 谢谢 关注 ！,2,car seater,汽车座椅,,,,,,,,,,,,,两 个 汽车座椅 都 出 了 ， 谢谢 关注 ！,[2_3],[7_10],
93,room essentials 风扇 。,2,room essentials,房间必须,,,,,,,,,,,,,房需牌 风扇 。,[0_1],[3],
94,modem 和 wireless router 套餐 。,3,modem,猫（调制解调器）,wireless router,无线路由器,,,,,,,,,,,调制解调器 和 无线路由器 套餐 。,[0_2_3],[5],
96,联系 方式 ： pn-5 ( text ),2,text,信息,,,,,,,,,,,,,联系 方式 ： pn-5 ( 短信 ),[5],[2_3_4_6],
97,发动机 强劲 smooth ， 驾驶 舒适 ， 视线 好 ， 跑 长途 毫无 问题 。,2,smooth,平稳,,,,,,,,,,,,,发动机 强劲平稳， 驾驶 舒适 ， 视线 好 ， 跑 长途 毫无 问题 。,[2],[3_6_9_14],
98,型号 ： hamilton beach 331414-quart .,2,hamilton beach,汉密尔顿碧池,,,,,,,,,,,,,型号 ：汉密尔顿碧池 331414-quart .,[2_3],[1_5],
99,amazon 链接 ( 原价 $ 19.,2,amazon,亚马逊,,,,,,,,,,,,,亚马逊 链接 ( 原价 $ 19.,[0],[2_4],
100,转让 玻璃 茶几 ， 包括 一 个 coffee table 和 两 个 side tables 。,3,coffee table,咖啡桌,side tables,茶几,,,,,,,,,,,转让 玻璃 茶几 ， 包括 一 个咖啡桌 和 两 个茶几 。,[7_8_12_13],[3_14],
101,一 个 night stand ， 一 个 小 书桌 免费 赠送 。,2,night stand,床头柜,,,,,,,,,,,,,一 个床头柜， 一 个 小 书桌 免费 赠送 。,[2_3],[4_11],
102,联系 方式 ： email : sum em@3,2,email,电子邮件,sum : ,和 : ,,,,,,,,,,,联系 方式 ： 电子邮件: sum em@3,[3_5],[2_4_6],
103,我 刚刚 仔细 看 了 一下 空调 的 介绍 ， 这个 空调 好像 不 适合 standard window ， 如果 给 大家 造成 误导 ， 十分 抱歉 。,2,standard window,标准窗,,,,,,,,,,,,,我 刚刚 仔细 看 了 一下 空调 的 介绍 ， 这个 空调 好像 不 适合 标准窗 ， 如果 给 大家 造成 误导 ， 十分 抱歉 。,[15_16],[9_17_23_26],
104,地址 ： near frick park,2,near frick park,近弗里克公园,,,,,,,,,,,,,地址 ：近弗里克公园,[2_3_4],[1],
105,thx 已 出,2,thx,谢谢,,,,,,,,,,,,,谢谢 已 出,[0],,
106,利用 closet 下方 空间 的 整理 架 免费,2,closet,衣橱,,,,,,,,,,,,,利用 衣橱 下方 空间 的 整理 架 免费,[1],,
107,地址 在 frick park 附近 。,2,frick park,弗里克公园,,,,,,,,,,,,,地址 在弗里克公园 附近 。,[2_3],[5],
108,或者 请 查看 word 附件 ～,2,word,文档,,,,,,,,,,,,,或者 请 查看文档附件 ～,[3],[5],
109,（ 坐标 ： south oakland ， 联系 方式 ： em@4,2,south oakland,南奥克兰,,,,,,,,,,,,,（ 坐标 ： 南奥克兰， 联系 方式 ： em@4,[3_4],[0_2_5_8_9],
110,每 三千 迈 用 最 好 的 mobil-1 synthetic oil 细心 保养,2,synthetic oil,合成油,,,,,,,,,,,,,每 三千 迈 用 最 好 的 汽车一号 合成油 细心 保养,[8_9],,
111,仅 后面 bumper 和 左 后 车门 有 少许 dents,3,bumper,保险杠,dents,凹痕,,,,,,,,,,,仅 后面保险杠 和 左 后 车门 有 少许凹痕,[2_9],,
112,坐标 ： squirrel hill .,2,squirrel hill,松鼠山,,,,,,,,,,,,,坐标 ：松鼠山,[2_3],[1_4],
113,免费 的 桌子 ， baby seat ， high chair ， queen size mattress and box .,2,baby seat,婴儿座椅,high chair ， queen size mattress and box ， ,高脚凳 ， 大号席梦思和盒子 ， ,,,,,,,,,,,免费 的 桌子 ， 婴儿座椅，高脚凳 ， 大号席梦思和盒子,[4_5_7_8_10_11_12_13_14],[3_6_9_15],
115,八月 初 到 匹兹堡 ， 需要 一 张 queen size 的 床 ， 桌子 ， 椅子 各 种 家具,2,queen size,大号,,,,,,,,,,,,,八月 初 到 匹兹堡 ， 需要 一 张 大号 的 床 ， 桌子 ， 椅子 各 种 家具,[8_9],[4_12_14],
116,利用 closet 下方 空间 的 整理 架 免费,2,closet,衣橱,,,,,,,,,,,,,利用 衣橱 下方 空间 的 整理 架 免费,[1],,
117,我 的 地址 在 fifth ave and aiken ave 附近 。,2,fifth ave and aiken ave,五街和艾肯街,,,,,,,,,,,,,我 的 地址 在 五街和艾肯街 附近 。,[4_5_6_7_8],[10],
118,有 兴趣 的 朋友 请 联系 [ url = mailtoynch.,2,url,统一资源定位符,,,,,,,,,,,,,有 兴趣 的 朋友 请 联系 [ 统一资源定位符 = mailtoynch.,[7],[6_8],
119,打印机 为 brother hl-2270 dw ， 状态 良好,3,brother,兄弟,dw,,,,,,,,,,,,打印机 为 兄弟牌 hl-2270 dw ， 状态 良好,[2_4],[5],
120,东西 在 north oakland,2,north oakland,北奥克兰,,,,,,,,,,,,,东西 在 北奥克兰,[2_3],,
121,地点 位于 s highland ave 和 elwood st 交界,3,s highland ave,南高地街,elwood st,埃尔伍德街,,,,,,,,,,,地点 位于 南高地街 和 埃尔伍德街 交界,[2_3_4_6_7],,
122,你 转账 后 ， 我 给 你 完整 的 report .,2,report,报告,,,,,,,,,,,,,你 转账 后 ， 我 给 你 完整 的 报告,[9],[3_10],
123,queen size 睡 两 人 很 宽敞 ， 舒服 ！,2,queen size,大号床,,,,,,,,,,,,,大号床 睡 两 人 很 宽敞 ， 舒服 ！,[0_1],[7_9],
124,微波炉 ， danby 0.,2,danby,丹比,,,,,,,,,,,,,微波炉 ，丹比0.,[2],[1],
125,人 在 centre giant eagle 附近 ~,2,centre giant eagle,中大老鹰,,,,,,,,,,,,,人 在 中 大老鹰 附近 ~,[2_3_4],[6],
126,求购 window machine,2,window machine,窗口机,,,,,,,,,,,,,求购 窗口机,[1_2],,
127,白板 [ size = 14.,2,size,大小,,,,,,,,,,,,,白板 [ 大小= 14.,[2],[1_3],
128,可以 支撑 起来 看 视频 的 case,2,case,外壳,,,,,,,,,,,,,可以 支撑 起来 看 视频 的 外壳,[6],,
130,有 兴趣 邮件 betty em@5,2,betty,贝蒂,,,,,,,,,,,,,有 兴趣 邮件 betty em@5,[3],[4],
131,验证 码 [ url = ] 换 一 个 [/url ],2,url,统一资源定位符,,,,,,,,,,,,,验证 码 [ 统一资源定位符 = ] 换 一 个 [/统一资源定位符 ],[3],[2_4_5_10],
132,dish dryer : 有 专门 可以 放 筷子 的 地方 。,2,dish dryer,晾碗框,,,,,,,,,,,,,晾碗框 : 有 专门 可以 放 筷子 的 地方 。,[0_1],[2_10],
133,或 发 邮件 到 ： cap em@6,2,cap,帽子,,,,,,,,,,,,,或 发 邮件 到 ： cap em@6,[5],[4_6],
134,所有 保养 ， inspection ， 换 轮胎 全 都 是 在 奔驰 dealer 做 的 。,3,inspection,检查,dealer,卖家,,,,,,,,,,,所有 保养 ，检查 ， 换 轮胎 全 都 是 在 奔驰 卖家做 的 。,[3_12],[2_4_15],
135,半 年 前 换 了 四 个 break rotors ， 和 两 个 front breaks ，,3,break rotors,brake rotor 刹车转子,front breaks,front brake前刹,,,,,,,,,,,半 年 前 换 了 四 个 刹车转子 ， 和 两 个前刹，,[7_8_13_14],[9_15],
136,最好 在 centre ， market district giant eagle 附近 。,2,centre,中 ,market district giant eagle ， ,市场区大老鹰 ， ,,,,,,,,,,,最好 在 中大老鹰超市区 附近 。,[2_4_5_6_7],[3_9],
137,需要 自己 来 pick up ， 谢谢 ！,2,pick up,拿,,,,,,,,,,,,,需要 自己 来拿， 谢谢 ！,[3_4],[5_7],
