SentenceID,NonCodeSwitchedSentence,ChineseWordCount,PunctuationCount,IndicesOfChineseWord,IndicesOfPunctuation
0,链接 如下 ：,2,1,[0_1],[2]
1,不 想 错过 第一 手 信息 ？,6,1,[0_1_2_3_4_5],[6]
2,占 沙发 ！,2,1,[0_1],[2]
3,很 好 的 提醒 ， 已 修改 了 用户 下载 权限,10,1,[0_1_2_3_5_6_7_8_9_10],[4]
4,怎么 下载 ？,2,1,[0_1],[2]
5,好 东西 啊 。,3,1,[0_1_2],[3]
6,【 收 不 到 验证 邮件 ？,5,2,[1_2_3_4_5],[0_6]
7,图片 如 :,2,1,[0_1],[2]
8,新浪 微 博 的 图片 会上 传到 ww1-ww4 几 台 服务器 上 ， 同时 会 生成 几 张 不同 尺寸 的 图片 ， 常 用 的 有 以下 几 种 形式 ：,28,4,[0_1_2_3_4_5_6_8_9_10_11_13_14_15_16_17_18_19_20_21_23_24_25_26_27_28_29_30],[7_12_22_31]
9,环保 、 低 碳 、 不 浪费 ！,5,3,[0_2_3_5_6],[1_4_7]
10,转让 物品 的 价格 可以 直接 在 帖子 里 标明 ， 也 可以 私下 议价 ；,14,2,[0_1_2_3_4_5_6_7_8_9_11_12_13_14],[10_15]
11,可 留下 方便 的 联系 方式 ；,6,1,[0_1_2_3_4_5],[6]
12,购买 时间 或 物品 来源 方式 ：,6,1,[0_1_2_3_4_5],[6]
13,现在 状况 （ 新 旧 程度 ）,5,2,[0_1_3_4_5],[2_6]
14,附 详细 说明 ：,3,1,[0_1_2],[3]
15,通用 细则 ：,2,1,[0_1],[2]
16,不 能 泄露 网友 私人 信息,6,0,[0_1_2_3_4_5],
17,回帖 有 奖励 ？,3,1,[0_1_2],[3]
18,毕业 家具 甩卖,3,0,[0_1_2],
19,详细 信息 见图 ！,3,1,[0_1_2],[3]
20,可 保留 至 七月 底,5,0,[0_1_2_3_4],
21,电扇 已 出,3,0,[0_1_2],
22,微波炉 已 出,3,0,[0_1_2],
23,现 由于 毕业 搬家 低价 出售 以下 家具,8,0,[0_1_2_3_4_5_6_7],
24,买 两 样 可以 赠送 下面 五 块 钱 的 一 样 东西 。,13,1,[0_1_2_3_4_5_6_7_8_9_10_11_12],[13]
25,之前 我 用来 测 水温 ， 效果 不错 。,7,2,[0_1_2_3_4_6_7],[5_8]
26,顶 ， 降价 啦,3,1,[0_2_3],[1]
27,顶 一下 。,2,1,[0_1],[2]
28,图片 和 联系 方式 见 ：,5,1,[0_1_2_3_4],[5]
29,可 议价 多 买 更 便宜,6,0,[0_1_2_3_4_5],
30,吸尘器 已 出,3,0,[0_1_2],
31,可 议价 。,2,1,[0_1],[2]
32,发车 时间 如下 询问 时务 必 注明 日期 时间 方向 人数,11,0,[0_1_2_3_4_5_6_7_8_9_10],
33,联系 方式 ：,2,1,[0_1],[2]
34,价格 $7000 。,1,2,[0],[1_2]
35,车子 的 驾驶 感 非常 好 。,6,1,[0_1_2_3_4_5],[6]
36,联系 方式 ：,2,1,[0_1],[2]
37,谢谢 ～ ～,1,2,[0],[1_2]
38,谢谢 啦 ~ ！,2,2,[0_1],[2_3]
39,联系 方式 ：,2,1,[0_1],[2]
40,谢谢 ～ ～,1,2,[0],[1_2]
