SentenceID,NonCodeSwitchedSentence,ChineseWordCount,PunctuationCount,IndicesOfChineseWord,IndicesOfPunctuation
0,管理 ～ 为何 所有 的 地方 都 不 能 留言 了 ？,10,2,[0_2_3_4_5_6_7_8_9_10],[1_11]
1,十分 感谢 ！,2,1,[0_1],[2]
2,留言 也 不 可以 。,4,1,[0_1_2_3],[4]
3,请问 能 解决 吗,4,0,[0_1_2_3],
4,我 不 小心 把 二手 买卖 板块 隐藏 了 ， 怎么 点 出来 ？,12,2,[0_1_2_3_4_5_6_7_8_10_11_12],[9_13]
5,请 问 为什么 房屋 租赁 那里 不可以 选择,8,0,[0_1_2_3_4_5_6_7],
6,请问 怎么 确认 身份 才 能 发 ？,7,1,[0_1_2_3_4_5_6],[7]
7,您 好 ！,2,1,[0_1],[2]
8,请 问 为什么 不 能 在 二手 买卖 板块 发 新 话题 ？,12,1,[0_1_2_3_4_5_6_7_8_9_10_11],[12]
9,请 问 可以 申请 人工 验证 吗 ？,7,1,[0_1_2_3_4_5_6],[7]
10,求 问 到底 怎么 发 图 真的 完全 不 会 啊,11,0,[0_1_2_3_4_5_6_7_8_9_10],
11,改进 一下 ！,2,1,[0_1],[2]
12,请 大家 务必 不 要 相信 ！,6,1,[0_1_2_3_4_5],[6]
13,能 省 一点 是 一点 。,5,1,[0_1_2_3_4],[5]
14,遇到 他们 都 是 福气 ！,5,1,[0_1_2_3_4],[5]
15,而且 房子 离 车站 很 近 ， 走 出去 一 分钟 就 到 。,12,2,[0_1_2_3_4_5_7_8_9_10_11_12],[6_13]
16,顶 ， 可 议价,3,1,[0_2_3],[1]
17,没有 我 没有 的 只 有 你 想不到 ！,8,1,[0_1_2_3_4_5_6_7],[8]
18,欢迎 咨询 .,2,1,[0_1],[2]
19,你 好 请 问 你 租 吗 有 个人 要 暑假 住 然后 你 可以 八月 开始 租,18,0,[0_1_2_3_4_5_6_7_8_9_10_11_12_13_14_15_16_17],
20,目前 只 提供 短途 、 不 提供 长途 接送,8,1,[0_1_2_3_5_6_7_8],[4]
21,村里 接送 机 欢迎 联系 ~,5,1,[0_1_2_3_4],[5]
22,浴室 的 浴盆 还有 洗手 台 都 是 秋季 新 换 的 ， 很 干净 。,14,2,[0_1_2_3_4_5_6_7_8_9_10_11_13_14],[12_15]
23,另外 有 一 个 书桌 ， 也 是 会 免费 留下 的 。,11,2,[0_1_2_3_4_6_7_8_9_10_11],[5_12]
24,这个 小区 也 非常 的 安静 ， 环境 很 好 。,9,2,[0_1_2_3_4_5_7_8_9],[6_10]
25,由于 之前 想 租房 的 一 位 同学 手续 有点 问题 无法 入住 ， 现在 继续 招租 。,16,2,[0_1_2_3_4_5_6_7_8_9_10_11_12_14_15_16],[13_17]
26,从 现在 起 就 可以 入住 ， 随时 看 房,9,1,[0_1_2_3_4_5_7_8_9],[6]
27,顶 起来 。,2,1,[0_1],[2]
28,长短 租 均 可 ， 随时 拎包 入住,7,1,[0_1_2_3_5_6_7],[4]
29,标题 改 不了 现在 随时 可以 入住,7,0,[0_1_2_3_4_5_6],
30,现 随时 可 短 租 拎包 入住 价钱 可 议,10,0,[0_1_2_3_4_5_6_7_8_9],
31,降价 啦 .,2,1,[0_1],[2]
32,二 楼 一共 有 三 间 卧室 。,7,1,[0_1_2_3_4_5_6],[7]
33,价格 可以 谈 。,3,1,[0_1_2],[3]
34,贼 快 。,2,1,[0_1],[2]
35,一 层 独立 空间 ， 面积 超大 ， 有 独立 卫生间 和 一 个 壁炉 。,13,3,[0_1_2_3_5_6_8_9_10_11_12_13_14],[4_7_15]
36,三 层 温度 独立 控制 ， 互 不 影响 。,8,2,[0_1_2_3_4_6_7_8],[5_9]
37,客厅 餐厅 家具 。,3,1,[0_1_2],[3]
38,你 要 怎么 卖 ？,4,1,[0_1_2_3],[4]
39,车辆 年份 和 型号 。,4,1,[0_1_2_3],[4]
40,车辆 年份 和 型号 。,4,1,[0_1_2_3],[4]
41,没 问题 ！,2,1,[0_1],[2]
42,楼主 非常 好 ！,3,1,[0_1_2],[3]
43,没 问题 ！,2,1,[0_1],[2]
44,楼主 非常 好 ！,3,1,[0_1_2],[3]
45,价格 可以 商量 的 。,4,1,[0_1_2_3],[4]
46,短 租 两 周 也 是 可以 的 ， 租 一 间 房 也 没 问题 。,15,2,[0_1_2_3_4_5_6_7_9_10_11_12_13_14_15],[8_16]
47,价格 也 可以 商量 。,4,1,[0_1_2_3],[4]
48,二 楼 是 客厅 厨房 和 出入口 。,7,1,[0_1_2_3_4_5_6],[7]
