SentenceID,CodeSwitchStatus,NumberOfWords,Surprisal1,Surprisal2,Surprisal3,Surprisal4,Surprisal5,Surprisal6,Surprisal7,Surprisal8,Surprisal9,Surprisal10,Surprisal11,Surprisal12,Surprisal13,Surprisal14,Surprisal15,Surprisal16,Surprisal17,Surprisal18,Surprisal19,Surprisal20,Surprisal21,Surprisal22,Surprisal23,Surprisal24,Surprisal25,Surprisal26,Surprisal27,Surprisal28,Surprisal29,Surprisal30,Surprisal31,Surprisal32,Surprisal33,Surprisal34,Surprisal35,Surprisal36,Surprisal37,Surprisal38,Surprisal39,Surprisal40,Surprisal41,Surprisal42,Surprisal43,Surprisal44,Surprisal45,Surprisal46,Surprisal47,Surprisal48,Surprisal49,Surprisal50,Surprisal51,Surprisal52,Surprisal53,Surprisal54,Surprisal55,Surprisal56,Surprisal57,Surprisal58,Surprisal59,Surprisal60,Word1,Word2,Word3,Word4,Word5,Word6,Word7,Word8,Word9,Word10,Word11,Word12,Word13,Word14,Word15,Word16,Word17,Word18,Word19,Word20,Word21,Word22,Word23,Word24,Word25,Word26,Word27,Word28,Word29,Word30,Word31,Word32,Word33,Word34,Word35,Word36,Word37,Word38,Word39,Word40,Word41,Word42,Word43,Word44,Word45,Word46,Word47,Word48,Word49,Word50,Word51,Word52,Word53,Word54,Word55,Word56,Word57,Word58,Word59,Word60,CorpusName
0,1,8,-6.527233,-2.881625,-1.29967,-2.538322,-1.499713,-1.383471,-6.302782,-5.549328,-2.847538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,比邻,各,大,超市,（,如,巨鹰,超市,</s>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cmucssa
1,1,33,-5.415995,-2.870081,-5.7969,-2.479668,-2.754221,-1.063846,-3.089462,-7.17477,-4.505568,-0.7379408,-1.697195,-6.256392,-5.777202,-2.879026,-1.585789,-0.5010793,-4.728227,-3.54528,-0.2684461,-5.527184,-6.229526,-0.370216,-1.336746,-1.354857,-2.151794,-3.493073,-8.07459,-1.2139,-0.328867,-5.729619,-5.57337,-5.521345,-2.17667,-1.896223,,,,,,,,,,,,,,,,,,,,,,,,,,,房间,：,房间,为,三,层,一,整,层,，,由,阁楼,装修,而,成,，,空间,很大,，,家具,齐全,，,有,一,张,标准,双人床,和,一,个,气垫,床,；,</s>,,,,,,,,,,,,,,,,,,,,,,,,,,,cmucssa
2,1,28,-6.100998,-1.320391,-0.7630151,-4.4722,-3.20577,-0.7766016,-4.674029,-3.554084,-2.235204,-4.472754,-1.254587,-2.761207,-1.42266,-4.00532,-0.3216881,-3.688545,-4.236028,-5.883419,-2.087959,-3.743304,-4.819367,-0.6720446,-4.722296,-3.517969,-3.595524,-5.194436,-3.258603,-0.8566467,-0.6419315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,富人,区,，,非常,安全,，,旁边,就,是,公园,，,附近,还有,配套,的,各,种,球场,和,社区,设施,，,环境,很,好,很,安静,。,</s>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cmucssa
3,1,16,-3.692266,-5.075897,-4.676288,-4.600833,-0.7960479,-4.912205,-5.068726,-4.874042,-6.873652,-1.230449,-0.4886699,-2.5325,-4.206208,-5.620612,-4.600833,-1.131529,-0.4811801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,今天,安排,看,房,，,欢迎,联系,～,抓紧,机会,，,可以,约,看,房,。,</s>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cmucssa
4,1,10,-6.527233,-3.646975,-4.193077,-1.173965,-0.5694761,-4.162648,-1.981575,-3.114755,-5.065556,-1.119376,-0.6264194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,租约,从,八月,开始,，,具体,日期,可以,商量,。,</s>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cmucssa
5,1,8,-5.512905,-5.228868,-0.5955775,-1.38895,-2.136289,-4.214566,-6.114262,-0.9592402,-0.6268836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,房子,一共,有,两,层,+,地下室,。,</s>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cmucssa
6,1,9,-4.509301,-0.2903937,-1.38895,-0.4321387,-3.465795,-6.824737,-0.8959952,-5.210801,-0.762357,-0.5133334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,一共,有,两,个,可以,洗澡,的,浴室,。,</s>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cmucssa
7,1,3,-3.674056,-7.081013,-4.418315,-1.018271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,还有,青椒,！,</s>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cmucssa
8,1,20,-5.976814,-5.320712,-6.775359,-2.654381,-5.63158,-6.83246,-4.688114,-4.823026,-0.69897,-4.708642,-4.605417,-5.718632,-1.968842,-Infinity,-5.024161,-2.53949,-1.428022,-2.446557,-3.573376,-0.6896648,-0.4368242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,直达,滨,水区,（,匹兹堡,逛街,好,去处,，,梅,西,百货,和,<unk>,电影院,都,在,那里,）,。,</s>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cmucssa
9,1,4,-3.732348,-4.488641,-5.760885,-6.166569,-2.958514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,整个,房子,家具,齐全,</s>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cmucssa
