SentenceID,CodeSwitchStatus,NumberOfWords,Surprisal1,Surprisal2,Surprisal3,Surprisal4,Surprisal5,Surprisal6,Surprisal7,Surprisal8,Surprisal9,Surprisal10,Surprisal11,Surprisal12,Surprisal13,Surprisal14,Surprisal15,Surprisal16,Surprisal17,Surprisal18,Surprisal19,Surprisal20,Surprisal21,Surprisal22,Surprisal23,Surprisal24,Surprisal25,Surprisal26,Surprisal27,Surprisal28,Surprisal29,Surprisal30,Surprisal31,Surprisal32,Surprisal33,Surprisal34,Surprisal35,Surprisal36,Surprisal37,Surprisal38,Surprisal39,Surprisal40,Surprisal41,Surprisal42,Surprisal43,Surprisal44,Surprisal45,Surprisal46,Surprisal47,Surprisal48,Surprisal49,Surprisal50,Surprisal51,Surprisal52,Surprisal53,Surprisal54,Surprisal55,Surprisal56,Surprisal57,Surprisal58,Surprisal59,Surprisal60,Word1,Word2,Word3,Word4,Word5,Word6,Word7,Word8,Word9,Word10,Word11,Word12,Word13,Word14,Word15,Word16,Word17,Word18,Word19,Word20,Word21,Word22,Word23,Word24,Word25,Word26,Word27,Word28,Word29,Word30,Word31,Word32,Word33,Word34,Word35,Word36,Word37,Word38,Word39,Word40,Word41,Word42,Word43,Word44,Word45,Word46,Word47,Word48,Word49,Word50,Word51,Word52,Word53,Word54,Word55,Word56,Word57,Word58,Word59,Word60,CorpusName
0,1,19,-4.867811,-0.493827,-3.782192,-2.437354,-5.862706,-0.9090373,-1.701332,-1.988565,-3.980615,-4.561423,-2.598608,-0.5818566,-1.841311,-5.732744,-1.243949,-3.022742,-0.5743639,-Infinity,-1.427697,-0.4134672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,全新,的,儿童,安全,镜,，,可以,看到,坐在,儿童,安全,座椅,上,小孩,的,情况,，,<unk>,。,</s>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pittcssa
1,1,5,-6.502274,-5.673015,-8.140705,-4.811412,-Infinity,-1.759638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,床头,桌,床头柜,$,<unk>,</s>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pittcssa
2,1,9,-3.094466,-4.286642,-2.897162,-3.972159,-3.002454,-6.435258,-5.736786,-5.166855,-Infinity,-1.759638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,小,蜡烛,一,盒,一,小盒,蜡烛,$,<unk>,</s>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pittcssa
3,1,9,-2.927257,-1.338494,-5.46002,-3.61781,-0.9413958,-5.46002,-5.256166,-5.58711,-Infinity,-1.759638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,三,个,帽子,三,个,帽子,总共,$,<unk>,</s>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pittcssa
4,1,15,-4.126704,-7.893046,-5.598739,-1.069421,-4.357489,-4.056589,-5.332689,-2.286361,-6.484445,-0.3822495,-4.032043,-4.483571,-4.321918,-8.12351,-1.686462,-0.4134672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,全程,卖家,保养,，,没,出,过,任何,毛病,，,非常,省,油,省心,。,</s>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pittcssa
5,1,7,-4.876083,-3.964173,-2.090157,-3.910848,-6.096035,-1.853136,-6.484013,-2.804964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,垃圾,桶,上,有,宾州,州立,校徽,</s>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pittcssa
6,1,8,-4.746988,-3.137449,-6.121622,-7.98237,-2.567214,-3.443417,-5.231732,-7.177525,-2.162022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,咖啡,机,汉密尔顿,碧池,一,杯,大小,咖啡机,</s>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pittcssa
7,1,11,-5.060607,-0.5314789,-6.665138,-4.805054,-5.623747,-3.438374,-2.143651,-5.01425,-2.69375,-2.834652,-1.06923,-0.3653333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,补充,：,吉普,带有,按键,启动,、,遥控,启动,功能,。,</s>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pittcssa
8,1,11,-5.060607,-0.5314789,-6.665138,-4.805054,-5.623747,-3.438374,-2.143651,-5.01425,-2.69375,-2.834652,-1.06923,-0.3653333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,补充,：,吉普,带有,按键,启动,、,遥控,启动,功能,。,</s>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pittcssa
9,1,12,-4.792746,-2.14431,-2.417351,-6.755711,-4.348397,-3.287162,-2.045513,-5.878197,-0.9505041,-4.747123,-5.486584,-1.049565,-0.532344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,求,一,张,成色,比较,新,的,大号,的,木头,床,。,</s>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pittcssa
