SentenceID,CodeSwitchStatus,NumberOfWords,Surprisal1,Surprisal2,Surprisal3,Surprisal4,Surprisal5,Surprisal6,Surprisal7,Surprisal8,Surprisal9,Surprisal10,Surprisal11,Surprisal12,Surprisal13,Surprisal14,Surprisal15,Surprisal16,Surprisal17,Surprisal18,Surprisal19,Surprisal20,Surprisal21,Surprisal22,Surprisal23,Surprisal24,Surprisal25,Surprisal26,Surprisal27,Surprisal28,Surprisal29,Surprisal30,Surprisal31,Surprisal32,Surprisal33,Surprisal34,Surprisal35,Surprisal36,Surprisal37,Surprisal38,Surprisal39,Surprisal40,Surprisal41,Surprisal42,Surprisal43,Surprisal44,Surprisal45,Surprisal46,Surprisal47,Surprisal48,Surprisal49,Surprisal50,Surprisal51,Surprisal52,Surprisal53,Surprisal54,Surprisal55,Surprisal56,Surprisal57,Surprisal58,Surprisal59,Surprisal60,Word1,Word2,Word3,Word4,Word5,Word6,Word7,Word8,Word9,Word10,Word11,Word12,Word13,Word14,Word15,Word16,Word17,Word18,Word19,Word20,Word21,Word22,Word23,Word24,Word25,Word26,Word27,Word28,Word29,Word30,Word31,Word32,Word33,Word34,Word35,Word36,Word37,Word38,Word39,Word40,Word41,Word42,Word43,Word44,Word45,Word46,Word47,Word48,Word49,Word50,Word51,Word52,Word53,Word54,Word55,Word56,Word57,Word58,Word59,Word60,CorpusName
0,1,9,-4.366777,-4.6344,-3.793021,-2.943119,-3.556999,-4.092902,-3.188084,-1.227171,-0.1249387,-1.070551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,请,问,现在,能,确认,我,了,吗,？,</s>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,psucssa
1,1,38,-3.118308,-4.354937,-2.591166,-4.540512,-4.476963,-1.319877,-5.43565,-1.957743,-3.175138,-4.906697,-2.398057,-4.360399,-3.729797,-3.706531,-4.798649,-4.585299,-5.732836,-5.704749,-1.821355,-4.833145,-3.611778,-1.128417,-3.667425,-0.7763559,-1.411119,-4.433243,-3.909828,-4.983461,-1.134248,-5.352845,-5.144783,-2.360377,-3.792544,-2.112139,-1.482556,-5.737782,-3.493623,-1.033333,-0.4115709,,,,,,,,,,,,,,,,,,,,,,若,收到,此,类,邮件,，,各位,同学,可,先,通过,谷歌,来,搜索,专门,报告,垃圾,邮件,和,诈骗,邮件,的,网站,，,并,输入,你,收到,的,邮箱,地址,来,查看,是否,为,诈骗,邮件,。,</s>,,,,,,,,,,,,,,,,,,,,,,psucssa
2,1,5,-5.073573,-3.75618,-2.051979,-5.651466,-4.195735,-3.493793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,本人,现在,在,兰卡斯特,附近,</s>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,psucssa
3,1,33,-3.413973,-3.442561,-1.5512,-3.569764,-Infinity,-1.197862,-4.048011,-0.7594977,-1.053606,-2.151794,-3.67025,-3.876118,-3.909432,-4.282691,-0.6532125,-4.948245,-0.8067964,-3.443431,-4.949836,-1.301735,-Infinity,-3.159547,-3.459783,-0.7323937,-4.203052,-5.915017,-2.27358,-1.201702,-4.766917,-2.225863,-5.417335,-1.271718,-4.948245,-2.779191,,,,,,,,,,,,,,,,,,,,,,,,,,,最,大,的,房间,<unk>,，,里面,有,一,张,二,米,一,宽,的,床,，,最,小,的,<unk>,/,月,，,里面,床,是,一,米,五,宽,的,床,</s>,,,,,,,,,,,,,,,,,,,,,,,,,,,psucssa
4,1,7,-5.976814,-1.725711,-6.187607,-3.660847,-4.875474,-5.22249,-1.355821,-0.4786751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,旁边,是,健身房,可以,健身,游泳,。,</s>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,psucssa
5,1,6,-4.722855,-6.904396,-3.650245,-3.781715,-6.875818,-0.7415574,-0.8327176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,车,牌号,或,车辆,识别码,。,</s>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,psucssa
6,1,6,-4.722855,-6.904396,-3.650245,-3.781715,-6.875818,-0.7415574,-0.8327176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,车,牌号,或,车辆,识别码,。,</s>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,psucssa
7,1,10,-5.445959,-1.753899,-4.604581,-2.878406,-4.921396,-5.769149,-3.558488,-1.943377,-Infinity,-3.135041,-1.06876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,小区,：,狮子,门,小区,入住,时间,：,<unk>,.,</s>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,psucssa
8,1,20,-6.258925,-2.096591,-4.636506,-4.425331,-1.04499,-3.825397,-3.128953,-3.318257,-0.258278,-2.19928,-2.820983,-1.689087,-4.860506,-3.902972,-3.780858,-3.081203,-3.229424,-Infinity,-3.207353,-5.594633,-3.039292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,房东,是,杨,太太,，,人,很,友善,，,有,什么,问题,请,随时,联系,她,：,<unk>,可,留言,</s>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,psucssa
9,1,17,-Infinity,-3.159547,-3.459783,-0.7323937,-5.7526,-3.374067,-5.242519,-8.627448,-4.407159,-1.952344,-3.179174,-1.155715,-3.713529,-0.8504931,-3.990693,-8.334682,-1.686462,-0.4134672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<unk>,/,月,，,水电,暖,网,xian,等等,都,包括,在,里面,，,非常,省心,。,</s>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,psucssa
