Word Index,Word Form,Surprisal
CMU,1
0,房间,5.415995
1,：,2.870081
2,房间,5.7969
3,为,2.479668
4,三,2.754221
5,层,1.063846
6,一,3.089462
7,整,7.17477
8,层,4.505568
9,，,0.7379408
10,由,1.697195
11,阁楼,6.256392
12,装修,5.777202
13,而,2.879026
14,成,1.585789
15,，,0.5010793
16,空间,4.728227
17,很大,3.54528
18,，,0.2684461
19,家具,5.527184
20,齐全,6.229526
21,，,0.370216
22,有,1.336746
23,一,1.354857
24,张,2.151794
25,queen,7.715486
26,size,6.556989
27,的,1.723743
28,床,4.804729
29,和,1.692756
30,一,2.436213
31,个,5.729619
32,气垫床,8.310398
33,；,3.002788

CMU,2
0,rich,6.685204
1,neighborhood,7.406401
2,，,1.458264
3,非常,3.939548
4,安全,3.20577
5,（,2.76481
6,这里,3.874677
7,属于,3.395841
8,富人,5.984178
9,区,1.320391
10,）,2.043565
11,，,0.7296352
12,旁边,4.6413
13,就,3.554084
14,是,2.235204
15,公园,4.472754
16,，,1.254587
17,附近,2.761207
18,还有,1.42266
19,配套,4.00532
20,的,0.3216881
21,各,3.688545
22,种,4.236028
23,球场,5.883419
24,和,2.087959
25,社区,3.743304
26,设施,4.819367
27,，,0.6720446
28,环境,4.722296
29,很,3.517969
30,好,3.595524
31,很,5.194436
32,安静,3.258603
33,。,0.8566467

CMU,4
0,lease,8.205318
1,从,3.386398
2,八月,4.193077
3,开始,1.173965
4,，,0.5694761
5,具体,4.162648
6,日期,1.981575
7,可以,3.114755
8,商量,5.065556
9,。,1.119376

CMU,5
0,house,6.020651
1,一共,4.922245
2,有,0.5955775
3,两,1.38895
4,层,2.136289
5,+,4.214566
6,地下室,6.114262
7,。,0.9592402

CMU,6
0,一共,4.509301
1,有,0.2903937
2,两,1.38895
3,个,0.4321387
4,可以,3.465795
5,洗澡,6.824737
6,的,0.8959952
7,bathroom,9.250056
8,。,1.617422

CMU,7
0,还有,3.674056
1,green,7.016555
2,pepper,7.426469
3,！,4.663018

CMU,9
0,整个,3.732348
1,house,6.571565
2,家具,5.569921
3,齐全,6.166569
4,。,0.8237057

CMU,10
0,后院,6.258925
1,：,2.914741
2,deck,7.285213
3,。,2.039373

CMU,11
0,可以,3.535944
1,从,1.71372
2,地下室,4.346101
3,直接,4.471957
4,走,3.898206
5,出去,2.315778
6,的,1.041393
7,，,1.281286
8,所以,1.788091
9,叫,2.823456
10,walk,6.991626
11,out,6.031548
12,basement,8.371836
13,.,3.369261

CMU,13
0,空调,5.445959
1,有,3.517004
2,window,6.926028
3,ac,6.556831
4,和,2.710333
5,暖气,4.911385
6,。,1.231957

CMU,14
0,入住,5.976814
1,时间,3.558488
2,flexible,8.409221
3,，,1.416911
4,可,2.753981
5,长期,3.80937
6,入住,4.813555
7,。,0.9292497

CMU,15
0,感兴趣,7.042348
1,的,0.4746102
2,同学,4.199065
3,，,0.765377
4,欢迎,4.921011
5,email,7.379078
6,（,2.36042
7,请,4.056521
8,注明,5.244545
9,“,1.039642
10,租房,6.265025
11,”,2.432533
12,）,1.712326
13,，,0.6021351
14,请,4.027341
15,简单,4.666379
16,介绍,2.487469
17,一下,1.699935
18,自己,1.931871
19,。,2.022749

CMU,16
0,二,3.222314
1,楼,1.591621
2,是,1.601642
3,三,3.04637
4,间,2.053292
5,卧室,3.379827
6,和,1.532987
7,一,2.57814
8,个,5.729619
9,full,6.817375
10,卫生间,6.084254
11,。,0.8703222

CMU,17
0,有,2.715695
1,兴趣,4.139023
2,者,3.022636
3,，,0.6238034
4,请,3.313639
5,email,7.055096
6,短信,5.561168
7,介绍,4.788287
8,一下,3.053878
9,自己,1.931871
10,情况,4.49036
11,。,0.7784541

CMU,18
0,半山,5.637844
1,独,5.678452
2,栋,3.272605
3,别墅,2.500991
4,，,0.544068
5,自,3.147691
6,带,4.49099
7,车库,5.980581
8,和,1.43785
9,<unk>,Infinity
10,。,1.427697

CMU,19
0,一,2.791026
1,楼,5.695485
2,有,2.147275
3,half,6.956784
4,bath,7.694345
5,。,1.897374

CMU,22
0,精装,5.804013
1,修,4.939471
