Word Index,Word Form,Surprisal
CMU,1
0,房间,5.415995
1,：,2.870081
2,房间,5.7969
3,为,2.479668
4,三,2.754221
5,层,1.063846
6,一,3.089462
7,整,7.17477
8,层,4.505568
9,，,0.7379408
10,由,1.697195
11,阁楼,6.256392
12,装修,5.777202
13,而,2.879026
14,成,1.585789
15,，,0.5010793
16,空间,4.728227
17,很大,3.54528
18,，,0.2684461
19,家具,5.527184
20,齐全,6.229526
21,，,0.370216
22,有,1.336746
23,一,1.354857
24,张,2.151794
25,大号,5.326414
26,的,0.9262138
27,床,4.804729
28,和,1.692756
29,一,2.436213
30,个,5.729619
31,气垫床,8.310398
32,；,3.002788

CMU,2
0,富人,6.100998
1,区,1.320391
2,，,0.7630151
3,非常,4.4722
4,安全,3.20577
5,（,2.76481
6,这里,3.874677
7,属于,3.395841
8,富人,5.984178
9,区,1.320391
10,）,2.043565
11,，,0.7296352
12,旁边,4.6413
13,就,3.554084
14,是,2.235204
15,公园,4.472754
16,，,1.254587
17,附近,2.761207
18,还有,1.42266
19,配套,4.00532
20,的,0.3216881
21,各,3.688545
22,种,4.236028
23,球场,5.883419
24,和,2.087959
25,社区,3.743304
26,设施,4.819367
27,，,0.6720446
28,环境,4.722296
29,很,3.517969
30,好,3.595524
31,很,5.194436
32,安静,3.258603
33,。,0.8566467

CMU,4
0,租约,6.527233
1,从,3.646975
2,八月,4.193077
3,开始,1.173965
4,，,0.5694761
5,具体,4.162648
6,日期,1.981575
7,可以,3.114755
8,商量,5.065556
9,。,1.119376

CMU,5
0,房子,5.512905
1,一共,5.228868
2,有,0.5955775
3,两,1.38895
4,层,2.136289
5,+,4.214566
6,地下室,6.114262
7,。,0.9592402

CMU,6
0,一共,4.509301
1,有,0.2903937
2,两,1.38895
3,个,0.4321387
4,可以,3.465795
5,洗澡,6.824737
6,的,0.8959952
7,浴室,5.210801
8,。,0.762357

CMU,7
0,还有,3.674056
1,青椒,7.081013
2,！,4.418315

CMU,9
0,整个,3.732348
1,房子,4.488641
2,家具,5.760885
3,齐全,6.166569
4,。,0.8237057

CMU,10
0,后院,6.258925
1,：,2.914741
2,阳台,5.750101
3,。,0.8616973

CMU,11
0,可以,3.535944
1,从,1.71372
2,地下室,4.346101
3,直接,4.471957
4,走,3.898206
5,出去,2.315778
6,的,1.041393
7,，,1.281286
8,所以,1.788091
9,叫,2.823456
10,<unk>,Infinity
11,。,1.427697

CMU,13
0,空调,5.445959
1,有,3.517004
2,窗口,5.82538
3,式,2.047275
4,冷气机,0.6465095
5,和,1.845845
6,暖气,4.911385
7,。,1.231957

CMU,14
0,入住,5.976814
1,时间,3.558488
2,灵活,5.42058
3,，,0.7122998
4,可,1.506279
5,长期,3.80937
6,入住,4.813555
7,。,0.9292497

CMU,15
0,感兴趣,7.042348
1,的,0.4746102
2,同学,4.199065
3,，,0.765377
4,欢迎,4.921011
5,发送,5.679813
6,邮件,1.964966
7,（,2.43689
8,请,4.056521
9,注明,5.244545
10,“,1.039642
11,租房,6.265025
12,”,2.432533
13,）,1.712326
14,，,0.6021351
15,请,4.027341
16,简单,4.666379
17,介绍,2.487469
18,一下,1.699935
19,自己,1.931871
20,。,2.022749

CMU,16
0,二,3.222314
1,楼,1.591621
2,是,1.601642
3,三,3.04637
4,间,2.053292
5,卧室,3.379827
6,和,1.532987
7,一,2.57814
8,个,5.729619
9,设施,4.276497
10,完全,3.368013
11,的,1.451586
12,卫生间,5.637688
13,。,0.7613617

CMU,17
0,有,2.715695
1,兴趣,4.139023
2,者,3.022636
3,，,0.6238034
4,请,3.313639
5,发送,5.355831
6,短信,1.836648
7,介绍,4.805568
8,一下,3.053878
9,自己,1.931871
10,情况,4.49036
11,。,0.7784541

CMU,18
0,半山,5.637844
1,独,5.678452
2,栋,3.272605
3,别墅,2.500991
4,，,0.544068
5,自,3.147691
6,带,4.49099
7,车库,5.980581
8,和,1.43785
9,私人,3.668677
10,车道,4.059361
11,。,1.085591

CMU,19
0,一,2.791026
1,楼,5.695485
2,有,2.147275
3,半,3.454723
4,浴室,5.558517
5,。,1.046625

