Word Index,Word Form,Surprisal
﻿CMU,0,
0,生活,4.215509
1,交通,5.685733
2,便利,1.605482
3,，,0.2455528
,,
CMU,1,
0,房屋,8.677697
1,安静,5.565995
2,并且,2.911037
3,超级,4.791947
4,安全,4.756965
5,。,1.122112
,,
CMU,2,
0,租金,7.042348
1,一月,5.623618
2,<unk>,Infinity
3,左右,3.969365
4,，,0.5611079
5,房间,5.082354
6,大家,5.337333
7,共同,2.394288
8,选择,3.967228
9,分配,4.91541
10,.,3.876608
,,
CMU,3,
0,二,3.222314
1,楼,1.591621
2,是,1.601642
3,两,2.798994
4,个,0.4208078
5,中等,5.109083
6,卧室,6.387198
7,，,0.6956164
8,一,2.14178
9,个,5.656124
10,大,2.705751
11,卧室,4.996892
12,和,1.420998
13,一,2.57814
14,个,5.729619
15,卫生间,4.93294
16,。,0.966715
,,
CMU,4,
0,整个,3.732348
1,三,3.474315
2,楼,2.645196
3,是,1.50642
4,一,1.384367
5,个,6.566783
6,超大,4.492096
7,房间,5.557398
8,（,2.141916
9,阁楼,5.584549
10,）,0.09235489
11,。,0.8569374
,,
CMU,5,
0,有,2.715695
1,独立,3.637303
2,卫生间,2.684893
3,。,0.8859594
,,
CMU,6,
0,生活,4.215509
1,不,3.488365
2,用,3.084326
3,愁,5.941355
4,！,2.680221
,,
CMU,7,
0,（,2.636784
1,在,2.342519
2,匹兹堡,4.556916
3,，,1.52126
4,包,5.096117
5,暖气,6.67946
6,还是,4.499696
7,很,2.155061
8,重要,1.426237
9,的,0.1915457
10,！,4.867256
,,
CMU,8,
0,还,4.255627
1,差,4.906775
2,一,2.54931
3,个,5.660635
4,男生,4.133075
,,
CMU,9,
0,欢迎,5.269867
1,联系,5.499402
2,！,4.756607
,,
CMU,10,
0,已经,4.291057
1,找到,3.066126
2,啦,5.565017
3,。,1.480813
,,
CMU,11,
0,谢谢,5.637844
1,各位,1.90027
2,提供,3.749229
3,信息,2.599973
,,
CMU,12,
0,很,4.322574
1,可能,1.123385
2,是,0.4842433
3,大学,4.010109
4,租房,7.480666
5,市场,2.432533
6,上,1.104502
7,最好,2.895719
8,的,0.03799532
9,房子,3.448905
10,。,0.8367215
,,
CMU,13,
0,非常,4.495176
1,安静,3.504291
2,安全,4.70753
3,的,0.9534473
4,大学,3.434547
5,小区,6.529276
6,。,1.08715
,,
CMU,14,
0,可以,3.535944
1,单独,3.356479
2,卧室,4.413974
3,租,5.666257
4,，,1.45719
5,优先,5.083141
6,整,5.23945
7,租,4.224194
8,。,1.742426
,,
CMU,15,
0,*,3.804626
1,*,5.523921
2,优先,5.3416
3,一,2.955578
4,年,1.635233
5,长,5.354517
6,租,5.017547
7,！,4.601522
,,
CMU,16,
0,优先,5.415995
1,整,5.326251
2,租,4.224194
3,。,1.742426
,,
CMU,17,
0,一,2.791026
1,楼,5.695485
2,客厅,4.807052
3,餐厅,5.114741
4,家具,5.802201
5,齐全,6.166569
6,。,0.8237057
,,
CMU,18,
0,欢迎,5.269867
1,同学,4.740093
2,联系,3.675351
3,。,0.6328061
,,
CMU,19,
0,可以,3.535944
1,在,1.384044
2,这个,2.38483
3,下午,5.770715
4,时间,4.507313
5,来,2.133995
6,最好,4.045401
7,。,2.181886
,,
CMU,20,
0,目前,2.62365
1,有,1.570496
2,房客,6.681036
3,在,2.409362
4,，,3.425497
5,所以,2.078275
6,我,2.159149
7,尽量,4.567282
8,少,4.942033
9,打搅,8.002356
10,住,4.685576
11,里面,4.985581
12,的,0.7127583
13,房客,5.140861
14,。,1.263594
,,
CMU,21,
0,如果,2.949325
1,不,1.943791
2,在,4.07065
3,匹兹堡,4.497956
4,的,0.8985423
5,同学,4.07748
6,也,1.988802
7,可以,1.638043
8,委托,3.929289
9,熟人,6.439031
10,来看,5.109189
11,房,5.541397
12,。,1.131529
,,
CMU,22,
0,出租,5.886802
1,的,1.31969
2,房子,3.945773
3,在,2.030857
4,一楼,4.505722
5,，,0.9945371
6,我,3.202995
7,是,1.495947
8,二,3.747647
9,楼,2.169723
10,的,1.001675
11,邻居,4.419144
12,。,1.234083
,,
CMU,23,
0,一,2.791026
1,楼,5.695485
2,二,2.909632
3,楼,0.243038
4,是,1.601642
5,完全,3.17252
6,分开,2.725951
7,的,0.4771213
8,两,1.447158
9,户,4.365974
10,，,0.8260748
11,有,2.888488
12,自己,2.843259
13,的,0.1031397
14,大门,4.443671
15,，,0.5195702
16,没有,3.11446
17,任何,1.211324
18,<unk>,Infinity
19,的,1.397776
20,设施,3.810622
21,。,0.6779443
,,
CMU,24,
0,餐厅,5.144928
1,有,2.686222
2,一,1.471537
3,个,5.503237
4,空调,4.93294
5,。,1.728974
,,
CMU,25,
0,房间,5.415995
1,内,4.050811
2,木,3.984745
3,有,2.980443
4,家具,5.51918
5,。,1.409219
,,
CMU,26,
0,房间,5.415995
1,内,4.050811
2,有,2.289129
3,一,1.462744
4,个,5.503237
5,开门,5.57337
6,的,1.29127
7,小,3.168851
8,壁橱,7.375365
9,。,1.365808
,,
CMU,27,
0,而且,4.159117
1,卫生间,6.450111
2,有,3.20202
3,一,1.455138
4,扇,2.878793
5,和,2.3444
6,房间,4.969377
7,内,3.916257
8,一,2.628867
9,样,6.57007
10,的,1.142574
11,大,2.98466
12,窗户,3.720149
13,，,0.622718
14,所以,2.519077
15,不,2.085806
16,存在,4.185326
17,潮湿,6.137751
18,或者,3.888329
19,通风,5.410761
20,的,1.329496
21,问题,1.820229
22,）,2.544174
23,。,0.5179153
,,
CMU,28,
0,这,2.328403
1,屋,5.870677
2,有,3.01144
3,空调,4.220482
4,。,1.275931
,,
CMU,29,
0,窗,5.387967
1,下,3.846521
2,有,5.685214
3,一,1.455138
4,大,6.658782
5,片,3.980152
6,暖气,6.716458
7,。,1.085915
,,
CMU,30,
0,如果,2.949325
1,是,1.734276
2,三,3.070292
3,个,0.7152783
4,人,1.862088
5,一起,1.931603
6,住,2.717601
7,，,0.6127838
8,房租,6.086453
9,你,4.379893
10,萌,6.000622
11,可以,3.553723
12,自己,3.09705
13,分配,4.957789
14,。,1.296039
,,
CMU,31,
0,同时,3.249861
1,出租,6.105929
2,。,1.169046
,,
CMU,32,
0,后院,6.258925
1,挺,5.487165
2,大,2.454219
3,的,0.5658115
4,还有,3.876888
5,车库,5.5373
6,，,0.8785416
7,所以,2.519604
8,生活,4.096268
9,空间,5.090438
10,非常,3.042606
11,富裕,3.471375
12,。,0.7086574
,,
CMU,33,
0,附近,4.302052
1,还,2.974333
2,有,2.500334
3,一,1.687232
4,个,5.503237
5,特别,3.332873
6,大,2.830521
7,的,0.5185139
8,森林,3.569764
9,公园,4.821809
10,。,1.092914
,,
CMU,34,
0,厨房,5.637844
1,，,0.9667723
2,餐厅,4.929999
3,，,0.8645111
4,客厅,5.965428
5,配置,5.097526
6,豪华,5.598162
7,。,1.77797
,,
CMU,35,
0,而且,4.159117
1,，,0.4373341
2,这,1.871361
3,两,1.503383
4,家,1.848585
5,均,3.51681
6,可,3.23614
7,点,4.766381
8,外卖,6.846604
9,！,4.363343
,,
CMU,36,
0,如果,2.949325
1,不,1.943791
2,想,3.511342
3,走路,4.863565
4,，,0.8424779
5,公交,5.409266
6,也,2.720807
7,可以,1.555099
8,直达,3.879228
9,.,3.545947
,,
CMU,37,
0,这个,2.896868
1,房子,4.094051
2,是,1.902466
3,匹,5.35546
4,大,1.027837
5,拥有,5.050814
6,的,1.272043
7,，,1.937016
8,所以,1.788091
9,房子,5.206382
10,管理,4.273657
11,<unk>,Infinity
12,棒,4.71947
13,！,2.632255
,,
CMU,38,
0,并且,4.239904
1,壁橱,7.440647
2,分,3.957648
3,上下,2.574076
4,两,0.1944826
5,层,0.4733116
6,，,0.532717
7,高度,2.43188
8,比例,3.906589
9,大概,3.532386
10,<unk>,Infinity
11,（,2.104872
