SentenceID,NumberOfWords,AverageSurprisalWithPunct,CorpusName
0,4,2.9380692,cmucssa
1,6,4.6376255,cmucssa
3,17,3.1150726588235296,cmucssa
4,12,3.1695566908333337,cmucssa
5,4,2.4809626,cmucssa
6,5,3.8819551999999993,cmucssa
7,11,3.2702592454545454,cmucssa
8,5,4.301084400000001,cmucssa
9,3,5.175292,cmucssa
10,4,3.60075325,cmucssa
11,4,3.471829,cmucssa
12,11,2.5615775563636363,cmucssa
13,7,3.5302024714285714,cmucssa
14,9,3.8576727777777773,cmucssa
15,8,4.279318,cmucssa
16,4,4.1772165,cmucssa
17,7,4.457254242857143,cmucssa
18,4,3.5795292749999996,cmucssa
19,8,3.243016,cmucssa
20,15,3.683167086666666,cmucssa
21,13,3.401155715384616,cmucssa
22,13,2.7657380846153847,cmucssa
24,6,3.577973,cmucssa
25,6,3.893398833333334,cmucssa
26,10,3.749658,cmucssa
27,24,3.2284631375000004,cmucssa
28,5,3.3413866,cmucssa
29,8,4.352018375,cmucssa
30,15,2.9976544066666664,cmucssa
31,3,3.508278666666666,cmucssa
32,13,3.383676807692308,cmucssa
33,11,3.0121439,cmucssa
34,8,3.85477655,cmucssa
35,10,3.2549058099999995,cmucssa
36,10,3.12208479,cmucssa
39,5,4.524989,cmucssa
40,15,3.6683451333333337,cmucssa
41,17,2.9467611411764705,cmucssa
42,8,3.4004364875000004,cmucssa
43,6,3.8664278500000004,cmucssa
44,29,3.6617247413793104,cmucssa
45,11,3.564359818181818,cmucssa
46,16,2.980992875,cmucssa
47,13,2.9681380923076923,cmucssa
48,15,3.577643866666667,cmucssa
49,16,3.205563937500001,cmucssa
50,28,3.641793628571428,cmucssa
51,5,3.5760482000000002,cmucssa
53,4,3.768293,cmucssa
54,7,2.9276873571428577,cmucssa
55,3,4.007384,cmucssa
56,5,3.8995462000000005,cmucssa
57,4,3.257472025,cmucssa
58,5,2.99404352,cmucssa
60,7,2.8131620142857146,cmucssa
61,8,3.6550292125,cmucssa
62,8,3.4453310750000004,cmucssa
63,9,2.865816388888889,cmucssa
65,17,2.533105164705882,cmucssa
66,10,2.9883282,cmucssa
68,15,2.961711173333333,cmucssa
69,6,4.246709333333333,cmucssa
70,7,3.0489141714285717,cmucssa
71,4,2.3942155749999996,cmucssa
72,4,2.63345725,cmucssa
73,5,4.06154134,cmucssa
74,7,2.6779663142857144,cmucssa
75,6,1.9444296999999997,cmucssa
76,22,3.6137992909090912,cmucssa
77,7,3.7126404714285717,cmucssa
79,3,4.304959566666667,cmucssa
80,3,2.598976,cmucssa
81,8,4.0245439875,cmucssa
82,7,2.5263395571428573,cmucssa
83,9,3.5792811333333336,cmucssa
84,11,3.4657561272727277,cmucssa
86,14,3.4125113928571436,cmucssa
87,10,2.97136626,cmucssa
88,31,2.9842648806451613,cmucssa
89,9,2.8966656111111115,cmucssa
90,3,4.727289,cmucssa
91,3,4.727289,cmucssa
92,10,3.5136483500000004,cmucssa
93,9,3.6344576666666666,cmucssa
94,7,4.351528,cmucssa
95,32,3.0612689468750003,cmucssa
96,9,2.8966656111111115,cmucssa
97,3,4.727289,cmucssa
98,5,3.3896974,cmucssa
99,8,3.6497465875,cmucssa
102,4,3.768293,cmucssa
