SentenceID,NumberOfWords,AverageSurprisalWithPunct,CorpusName
0,3,3.1717254333333336,pittcssa
1,7,3.873645428571428,pittcssa
2,3,5.458649333333334,pittcssa
3,11,2.9699812181818186,pittcssa
4,3,5.436207333333333,pittcssa
5,4,3.3745632750000003,pittcssa
6,7,4.019192285714285,pittcssa
7,3,4.020026333333333,pittcssa
9,8,3.574785875,pittcssa
10,16,3.3785078124999997,pittcssa
11,7,3.572434571428571,pittcssa
12,7,3.645702857142857,pittcssa
13,7,3.4181820000000003,pittcssa
14,4,3.27811275,pittcssa
15,3,4.254196,pittcssa
16,6,4.235123,pittcssa
17,4,4.78395725,pittcssa
18,3,6.314277333333334,pittcssa
20,5,2.9723189999999997,pittcssa
21,3,4.5696270000000005,pittcssa
22,3,4.400645,pittcssa
23,8,4.5598575,pittcssa
24,14,3.820956142857143,pittcssa
25,9,3.6105595555555556,pittcssa
26,4,4.7287995,pittcssa
27,3,3.824391666666667,pittcssa
28,6,3.8218726666666663,pittcssa
29,6,3.882235833333333,pittcssa
30,3,4.684774,pittcssa
31,3,3.472568666666667,pittcssa
32,11,4.287306372727273,pittcssa
33,3,4.043188333333334,pittcssa
35,7,2.9634658999999997,pittcssa
36,3,4.043188333333334,pittcssa
37,3,3.724404,pittcssa
38,4,3.73424225,pittcssa
39,3,4.043188333333334,pittcssa
40,3,3.724404,pittcssa
41,11,2.873709536363636,pittcssa
42,3,3.824391666666667,pittcssa
43,3,2.7471966,pittcssa
44,4,3.3207565,pittcssa
45,12,4.338395075,pittcssa
46,6,4.4045987166666665,pittcssa
47,3,4.721525000000001,pittcssa
48,9,3.551529544444444,pittcssa
52,6,4.023869666666666,pittcssa
54,11,3.0577339818181817,pittcssa
55,5,3.7330958,pittcssa
56,20,3.38475565,pittcssa
57,4,2.9495351225,pittcssa
58,8,4.268936250000001,pittcssa
59,3,4.043188333333334,pittcssa
60,5,4.71261564,pittcssa
61,11,4.287306372727273,pittcssa
62,12,3.0577337166666663,pittcssa
63,3,4.727289,pittcssa
64,9,3.7641551888888887,pittcssa
65,5,2.8574654,pittcssa
67,14,3.1918795,pittcssa
68,10,3.3042955000000007,pittcssa
69,6,4.137662000000001,pittcssa
70,7,4.616064285714286,pittcssa
71,6,2.700850916666667,pittcssa
