SentenceID,NumberOfWords,AverageSurprisalWithPunct,SurprisalOfFirstCodeSwitchedWord,AverageSurprisalOfSwitchPointWords,AaverageSurprisalOfCodeSwitchedWordsWithPunct,AverageSurprisalOfNonCodeSwitchedWordsWithPunct,CorpusName
0,8,3.497768,1.383471,1.383471,3.8431265,2.536986375,cmucssa
1,33,3.4002680363636357,3.493073,3.493073,5.7838315,3.0497327939393934,cmucssa
3,16,3.7737973625000008,6.873652,6.873652,2.8642569666666664,3.2367491812500004,cmucssa
4,10,3.1554636099999995,6.527233,6.527233,6.527233,2.5027403099999996,cmucssa
5,8,3.2688322124999996,5.512905,5.512905,5.512905,2.5797190875,cmucssa
6,9,2.6422742888888893,5.210801,5.210801,2.986579,1.9785900666666667,cmucssa
7,3,5.057794666666666,7.081013,7.081013,5.749663999999999,1.2246853333333334,cmucssa
9,4,5.03711075,4.488641,4.488641,4.488641,3.9149504999999998,cmucssa
10,4,4.458316,5.749864,5.749864,4.3297989999999995,2.2934164999999997,cmucssa
13,8,3.1839143125000002,5.82538,5.82538,2.8397215,2.1190187500000004,cmucssa
14,7,3.685340828571429,5.42058,5.42058,3.0664399,2.8092151428571426,cmucssa
15,21,3.1272643476190476,5.679813,5.679813,3.3605563333333333,2.6471848714285704,cmucssa
16,14,2.8736398357142856,4.276497,4.276497,3.0320320000000005,2.223918692857143,cmucssa
17,12,3.0056172083333337,5.355831,5.355831,5.355831,2.5592979583333335,cmucssa
18,12,3.4587250833333343,3.668677,3.668677,2.937876333333333,2.7242560000000005,cmucssa
19,5,3.74002464,7.164215,7.164215,4.0331686,2.1267572,cmucssa
20,4,3.5934989249999996,4.204697,4.204697,4.576421,1.305288425,cmucssa
22,8,4.1736233625,5.015528,5.015528,5.015528,3.5466823624999995,cmucssa
23,11,4.0036534545454545,4.637844,4.637844,4.637844,3.5820312727272725,cmucssa
26,11,4.226369363636364,4.562703,4.5878495,4.5878495,3.3922149090909097,cmucssa
27,14,2.8736398357142856,4.276497,4.276497,3.0320320000000005,2.223918692857143,cmucssa
28,12,2.6997264416666664,3.18896,3.18896,3.18896,2.433979775,cmucssa
29,11,3.315867809090909,4.874503,4.7648905,4.249652333333334,2.156871718181818,cmucssa
30,12,3.664319424999999,6.825455,6.825455,4.221952366666667,2.6088313333333333,cmucssa
32,10,3.852493599999999,4.502182,4.8301885,3.36330275,2.5071725000000002,cmucssa
33,7,3.950675571428571,4.170056,4.170056,2.8386235,2.328605,cmucssa
35,22,3.6047525999999994,5.679086,5.601335,5.601335,3.0955403272727278,cmucssa
36,6,4.359872166666666,5.297529,5.297529,5.4838845,2.5319106666666666,cmucssa
38,30,3.4198517833333337,3.238747,4.702353,4.3318432,2.697877916666667,cmucssa
39,10,3.4291091000000002,3.546927,3.546927,3.903558,2.6483975,cmucssa
41,19,2.829652052631579,5.291054,5.291054,5.291054,2.5511755263157894,cmucssa
44,20,3.9332047005,6.990497,5.672972,4.848008999999999,2.9636029004999997,cmucssa
45,16,3.4144632562499995,5.691077,5.691077,5.691077,3.0587709437499995,cmucssa
46,10,4.28103015,5.143289,5.143289,5.143289,3.7667012499999997,cmucssa
48,8,3.70708245,5.34306,5.34306,3.2297846666666667,2.4959132,cmucssa
49,11,3.5824677000000005,5.886802,5.886802,4.9387045,2.6845214272727276,cmucssa
51,17,3.9477961823529415,6.412414,5.658462500000001,5.5362219999999995,2.6451557117647058,cmucssa
52,7,4.050039428571428,5.395483,5.395483,4.186210999999999,0.46185857142857145,cmucssa
53,6,3.618625833333333,5.668503,5.668503,5.668503,2.673875333333333,cmucssa
54,22,3.9107333636363633,5.540986,5.540986,5.540986,3.658870363636363,cmucssa
56,6,3.7421100666666667,4.854201,4.854201,4.5739643333333335,1.4551279000000001,cmucssa
58,4,3.082687275,4.678273,4.678273,4.678273,1.913119025,cmucssa
59,2,5.780773,5.637844,5.637844,5.637844,2.961851,cmucssa
60,30,3.654756366666667,3.699992,4.4260142,3.8398098461538464,1.9908387666666665,cmucssa
61,28,4.299764639285714,4.929329,6.2241925,4.328558285714285,3.217625067857143,cmucssa
63,12,3.8155545083333338,3.699992,6.1019555,4.527545666666667,2.6836680916666666,cmucssa
64,17,3.8260046470588227,5.924223,5.924223,5.924223,3.4775209411764703,cmucssa
65,14,4.012003999999999,6.137547,6.137547,3.8274678,1.2780984285714285,cmucssa
66,5,4.3940076,6.338496,6.338496,5.451996,2.2132092,cmucssa
67,8,3.23190795,5.26434,5.26434,3.2451014999999996,2.420632575,cmucssa
69,16,4.0625714375,5.194147,5.5319970000000005,4.047725000000001,3.3036229999999995,cmucssa
71,10,2.8926050300000004,4.186791,4.186791,2.54739415,2.3831262000000004,cmucssa
