SentenceID,NumberOfWords,AverageSurprisalWithPunct,SurprisalOfFirstCodeSwitchedWord,AverageSurprisalOfSwitchPointWords,AaverageSurprisalOfCodeSwitchedWordsWithPunct,AverageSurprisalOfNonCodeSwitchedWordsWithPunct,CorpusName
4,15,4.2823491,7.893046,7.893046,7.893046,3.7561460333333327,pittcssa
5,7,4.182063571428571,6.096035,6.096035,3.9745855,3.0464677142857144,pittcssa
6,8,5.0510396250000005,6.121622,6.121622,5.420646666666667,0.985554625,pittcssa
7,11,3.6254483545454543,6.665138,6.665138,6.665138,3.0195267181818184,pittcssa
8,11,3.6254483545454543,6.665138,6.665138,6.665138,3.0195267181818184,pittcssa
9,12,3.658596925,5.878197,5.878197,5.878197,3.168747175,pittcssa
12,14,3.9304251142857143,6.272097,6.272097,3.554628333333333,3.1687190428571426,pittcssa
13,5,3.6791709999999993,4.766012,4.766012,3.9361459999999995,1.3174834,pittcssa
14,15,3.677417253333334,5.804013,5.804013,5.4281215,2.95366772,pittcssa
15,6,5.637304666666666,6.527233,6.0293,6.579857666666666,2.347375833333333,pittcssa
17,6,2.6675427333333332,5.853621,5.853621,5.853621,1.6919392333333334,pittcssa
18,13,3.5191129692307688,5.901578,5.901578,5.709705,2.6406968153846155,pittcssa
20,15,3.677417253333334,5.804013,5.804013,5.4281215,2.95366772,pittcssa
23,10,3.7804063,5.545288,5.545288,4.3658150000000004,2.4706618000000002,pittcssa
24,9,3.8172527222222215,4.376154,4.376154,4.190773999999999,2.885969611111111,pittcssa
25,15,3.6050042733333325,5.987764,5.987764,4.187723,2.767459673333333,pittcssa
26,12,3.266396,5.871642,5.871642,4.149015666666666,2.229142083333333,pittcssa
30,3,3.8634825999999998,5.804013,5.804013,3.3928594000000003,1.6015763333333333,pittcssa
31,4,4.2171005,7.338068,7.338068,5.916309,1.258946,pittcssa
34,15,3.6050042733333325,5.987764,5.987764,4.187723,2.767459673333333,pittcssa
35,11,3.2424479181818184,3.005411,3.005411,1.7944938000000001,2.9161763181818183,pittcssa
36,17,3.0092418764705884,3.479455,3.479455,3.0898885000000003,2.463967435294118,pittcssa
39,7,3.5768281428571425,6.100998,6.100998,4.237737999999999,1.7606547142857145,pittcssa
40,3,6.139958666666668,5.228036,5.228036,5.228036,4.397279999999999,pittcssa
41,10,4.5500446,4.621907,4.621907,4.278603,3.6943239999999995,pittcssa
43,10,3.2851972099999998,6.066429,6.066429,4.277906333333333,2.00182531,pittcssa
44,6,4.125097833333334,5.108074,5.108074,5.108074,3.2737521666666667,pittcssa
