SentenceID,NumberOfWords,AverageSurprisalWithPunct,SurprisalOfFirstCodeSwitchedWord,AverageSurprisalOfSwitchPointWords,AaverageSurprisalOfCodeSwitchedWordsWithPunct,AverageSurprisalOfNonCodeSwitchedWordsWithPunct,CorpusName
0,9,3.103045744444444,3.556999,3.556999,3.556999,2.707823633333333,psucssa
1,38,3.502991181578948,4.360399,4.360399,4.360399,3.3882438394736845,psucssa
2,5,4.145786599999999,5.651466,5.651466,5.651466,3.0154933999999995,psucssa
4,7,4.143537714285714,6.187607,6.187607,6.187607,3.259593857142857,psucssa
5,6,4.446097733333334,3.781715,3.781715,3.7996968,2.5462493333333334,psucssa
6,6,4.446097733333334,3.781715,3.781715,3.7996968,2.5462493333333334,psucssa
11,14,3.846308007142857,5.386065,4.4169105,4.504371,2.8810856499999997,psucssa
12,18,3.05858695,6.743435,6.743435,6.743435,2.6839516722222223,psucssa
14,6,4.886925000000001,5.194147,5.3773695,5.3773695,3.0944685,psucssa
17,30,3.495190846666667,6.100998,6.100998,4.314361875,2.344694346666666,psucssa
19,14,3.846308007142857,5.386065,4.4169105,4.504371,2.8810856499999997,psucssa
20,4,3.548876825,4.683601,4.683601,2.670400433333333,1.5460765,psucssa
21,17,3.5886514,3.913224,3.913224,2.5129405,3.2930113411764705,psucssa
22,6,3.528891583333333,2.126294,2.126294,3.8177785,2.2562987499999996,psucssa
24,4,3.6773945,4.910845,4.910845,3.3650315,1.99487875,psucssa
25,8,3.7452748624999996,4.495176,4.495176,3.693258966666667,2.3603027500000002,psucssa
26,10,2.43049334,6.258925,6.258925,6.258925,1.8046008400000002,psucssa
27,4,4.0669115,4.968927,4.968927,4.1910155,1.97140375,psucssa
28,6,5.160955166666667,7.604423,7.604423,6.279022666666666,2.021443833333333,psucssa
29,7,4.250028742857142,3.794274,3.794274,3.794274,3.7079896,psucssa
31,7,4.143537714285714,6.187607,6.187607,6.187607,3.259593857142857,psucssa
32,5,5.2063106,7.604423,7.604423,6.951445,2.4257326,psucssa
33,6,5.160955166666667,7.604423,7.604423,6.279022666666666,2.021443833333333,psucssa
36,6,3.4814588333333334,4.120953,4.120953,4.120953,2.7946333333333335,psucssa
37,14,3.846308007142857,5.386065,4.4169105,4.504371,2.8810856499999997,psucssa
38,8,3.7460515000000005,5.001022,5.001022,5.001022,3.1209237499999998,psucssa
39,18,2.408519683333333,6.003726,6.003726,6.003726,2.07497935,psucssa
40,12,3.2013781416666665,4.782952,4.782952,4.100493999999999,2.517962475,psucssa
41,29,3.2408759827586207,5.896154,6.0353855,3.8712466,2.5734196724137934,psucssa
43,7,4.427452571428572,7.012242,7.012242,4.741848,2.395232,psucssa
45,8,4.29240615,6.613907,6.613907,6.613907,3.465667775,psucssa
47,7,4.366476,6.46239,6.46239,6.46239,3.4432774285714283,psucssa
