SentenceID,NumberOfWords,AverageSurprisalWithPunct,SurprisalOfTranslationOfFirstCodeSwitchedWord,AverageSurprisalOfTranslationOfSwitchPointWords,AverageSurprisalOfTranslationOfCodeSwitchedWordsWithPunct,AverageSurprisalOfNonCodeSwitchedWordsWithPunct,CorpusName
4,15,4.2823491,7.893046,7.893046,7.893046,3.756146033,pittcssa
5,7,4.182063571,6.096035,6.096035,3.9745855,3.046467714,pittcssa
6,8,5.051039625,6.121622,6.121622,5.420646667,0.985554625,pittcssa
7,11,3.625448355,6.665138,6.665138,6.665138,3.019526718,pittcssa
8,11,3.625448355,6.665138,6.665138,6.665138,3.019526718,pittcssa
9,12,3.658596925,5.878197,5.878197,5.878197,3.168747175,pittcssa
12,14,3.930425114,6.272097,6.272097,3.554628333,3.168719043,pittcssa
13,5,3.679171,4.766012,4.766012,3.936146,1.3174834,pittcssa
14,15,3.677417253,5.804013,5.804013,5.4281215,2.95366772,pittcssa
15,6,5.637304667,6.527233,6.0293,6.579857667,2.347375833,pittcssa
17,6,2.667542733,5.853621,5.853621,5.853621,1.691939233,pittcssa
18,13,3.519112969,5.901578,5.901578,5.709705,2.640696815,pittcssa
20,15,3.677417253,5.804013,5.804013,5.4281215,2.95366772,pittcssa
23,10,3.7804063,5.545288,5.545288,4.365815,2.4706618,pittcssa
24,9,3.817252722,4.376154,4.376154,4.190774,2.885969611,pittcssa
25,15,3.605004273,5.987764,5.987764,4.187723,2.767459673,pittcssa
26,12,3.266396,5.871642,5.871642,4.149015667,2.229142083,pittcssa
30,3,3.8634826,5.804013,5.804013,3.3928594,1.601576333,pittcssa
31,4,4.2171005,7.338068,7.338068,5.916309,1.258946,pittcssa
34,15,3.605004273,5.987764,5.987764,4.187723,2.767459673,pittcssa
35,11,3.242447918,3.005411,3.005411,1.7944938,2.916176318,pittcssa
36,17,3.009241876,3.479455,3.479455,3.0898885,2.463967435,pittcssa
39,7,3.576828143,6.100998,6.100998,4.237738,1.760654714,pittcssa
40,3,6.139958667,5.228036,5.228036,5.228036,4.39728,pittcssa
41,10,4.5500446,4.621907,4.621907,4.278603,3.694324,pittcssa
43,10,3.28519721,6.066429,6.066429,4.277906333,2.00182531,pittcssa
44,6,4.125097833,5.108074,5.108074,5.108074,3.273752167,pittcssa
46,12,4.52105975,4.231919,4.231919,4.65363825,2.969847,pittcssa
47,12,4.52105975,4.231919,4.231919,4.65363825,2.969847,pittcssa
50,14,3.2007903,3.577481,3.577481,3.577481,2.945255943,pittcssa
51,4,3.7438285,3.319186,3.319186,3.859085,1.814286,pittcssa
56,4,3.868070825,7.067801,7.067801,5.631107,1.052517325,pittcssa
58,7,4.288516829,7.168925,7.168925,4.366947933,2.416967714,pittcssa
61,7,4.741525,7.229271,7.229271,5.7023915,3.112270286,pittcssa
62,15,3.649258353,6.462592,6.462592,4.217369133,2.805784527,pittcssa
63,19,4.482397263,6.150895,5.6045695,5.242371,3.378740211,pittcssa
64,7,4.331377286,4.735093,4.735093,4.735093,3.654935429,pittcssa
67,8,4.229650125,4.227761,4.6959365,3.880088667,1.319583625,pittcssa
68,6,4.007438833,5.987721,5.987721,3.438032333,2.288422667,pittcssa
69,10,2.89909706,4.673008,5.3396435,3.172994638,0.36070135,pittcssa
70,7,4.150407486,6.439807,6.439807,4.0356548,2.420841143,pittcssa
73,13,3.049536785,5.565155,5.565155,5.565155,2.621447938,pittcssa
74,13,2.978538231,6.571217,6.571217,6.571217,2.47306,pittcssa
75,5,2.65806498,4.662374,4.4193165,4.4193165,0.89033838,pittcssa
76,6,4.5065805,5.336814,5.336814,3.902387,3.205784833,pittcssa
77,23,2.944519217,5.222569,5.222569,5.222569,2.717451,pittcssa
78,21,3.044809938,3.717324,4.9710245,2.92708065,2.487270767,pittcssa
80,16,2.6509363,5.236643,5.236643,5.236643,2.323646113,pittcssa
83,15,3.075974133,4.556144,4.556144,4.608502,2.4615072,pittcssa
85,11,4.291001818,3.699992,5.8220715,5.8220715,3.232443364,pittcssa
86,23,2.663299396,4.528366,4.528366,4.528366,2.466413917,pittcssa
89,21,2.896369667,6.100998,6.100998,4.237738,2.290978524,pittcssa
90,11,3.338848827,4.908605,4.908605,5.387749,2.3592581,pittcssa
91,5,4.363771,5.230359,5.230359,4.821840333,1.4706668,pittcssa
92,7,4.111056071,5.445959,4.823825,4.85637675,1.335983643,pittcssa
94,15,3.632673527,6.193977,6.193977,3.48861745,3.167524533,pittcssa
97,14,3.621749743,5.57337,5.57337,4.009607,3.048948743,pittcssa
98,11,3.869313391,8.219329,8.219329,4.7817575,2.999902936,pittcssa
100,27,3.081336841,4.498831,4.498831,3.644001367,2.6764478,pittcssa
101,5,4.05351226,4.576115,4.576115,5.352497333,0.84201386,pittcssa
102,3,4.308255667,5.637844,5.637844,5.637844,2.428974333,pittcssa
103,8,4.33671225,6.602297,6.602297,6.602297,3.511425125,pittcssa
104,6,3.524757917,6.898095,6.898095,5.546254,1.676006583,pittcssa
105,6,4.300200667,3.092003,3.092003,3.092003,3.784866833,pittcssa
107,14,4.283900621,3.604869,3.604869,3.9842926,2.860938979,pittcssa
108,10,4.5164681,6.995143,7.0300935,7.0300935,3.1104494,pittcssa
110,14,4.135213486,5.034184,5.034184,4.61993868,0.835257286,pittcssa
111,18,3.2711109,5.326414,5.326414,5.326414,2.975199011,pittcssa
112,8,4.33671225,6.602297,6.602297,6.602297,3.511425125,pittcssa
113,11,2.972453536,3.380764,3.380764,3.699114,1.291038082,pittcssa
116,4,3.7059135,3.406722,3.406722,3.902853,1.754487,pittcssa
117,11,3.907132273,3.554587,4.545536,4.628024,1.382755545,pittcssa
118,10,2.97369457,3.196169,3.196169,3.196169,2.65407767,pittcssa
119,10,3.66711163,5.804013,5.804013,4.22005,2.82310163,pittcssa
121,7,3.728770857,3.111027,3.111027,3.784275,2.106938714,pittcssa
122,3,5.503667,5.0802,5.0802,4.955059,2.200294333,pittcssa
124,7,3.326663143,4.431534,4.431534,4.431534,2.693586857,pittcssa
129,16,3.285870694,4.881539,5.8920665,4.2440976,2.490102394,pittcssa
131,9,3.894711,3.413973,4.0552915,4.643621167,0.798963556,pittcssa
132,7,3.377596,4.287075,4.287075,2.943119,2.536704857,pittcssa
133,8,4.547437625,7.80227,7.80227,4.57433675,2.26026925,pittcssa
135,16,2.842224669,5.052323,5.052323,5.052323,2.526454481,pittcssa
136,8,3.9508086,6.8207,6.8207,3.272027933,2.723798125,pittcssa
138,16,3.446228788,7.469025,7.469025,4.235848667,2.652007163,pittcssa
139,13,3.314994877,4.324915,4.7426065,4.15198375,2.037461415,pittcssa
141,4,4.83481125,5.109433,5.109433,4.934589,2.36751675,pittcssa
142,5,4.0712256,5.642044,5.642044,5.642044,2.9428168,pittcssa
143,12,4.191434592,5.478792,5.478792,5.478792,3.734868592,pittcssa
145,11,4.693989818,5.589065,5.589065,4.378179333,3.499940909,pittcssa
151,10,3.32591485,6.527233,6.527233,4.219946,2.48192565,pittcssa
153,24,3.448652275,4.074891,5.4907605,5.52946175,2.527075317,pittcssa
154,7,4.029971143,7.042348,7.042348,4.3343505,2.791585286,pittcssa
156,5,3.9975236,7.308454,7.308454,4.8195395,2.0697078,pittcssa
158,18,3.405704689,4.379555,4.7630925,4.1325085,2.028201856,pittcssa
