SentenceID,CodeSwitchStatus,NumberOfWords,Surprisal1,Surprisal2,Surprisal3,Surprisal4,Surprisal5,Surprisal6,Surprisal7,Surprisal8,Surprisal9,Surprisal10,Surprisal11,Surprisal12,Surprisal13,Surprisal14,Surprisal15,Surprisal16,Surprisal17,Surprisal18,Surprisal19,Surprisal20,Surprisal21,Surprisal22,Surprisal23,Surprisal24,Surprisal25,Surprisal26,Surprisal27,Surprisal28,Surprisal29,Surprisal30,Surprisal31,Surprisal32,Surprisal33,Surprisal34,Surprisal35,Surprisal36,Surprisal37,Surprisal38,Surprisal39,Surprisal40,Surprisal41,Surprisal42,Surprisal43,Surprisal44,Surprisal45,Surprisal46,Surprisal47,Surprisal48,Surprisal49,Surprisal50,Surprisal51,Surprisal52,Surprisal53,Surprisal54,Surprisal55,Surprisal56,Surprisal57,Surprisal58,Surprisal59,Surprisal60,CorpusName
0,0,4,-4.215509,-5.685733,-1.605482,-0.2455528,-3.278057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cmucssa
1,0,6,-8.677697,-5.565995,-2.911037,-4.791947,-4.756965,-1.122112,-0.4068164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cmucssa
2,0,11,-7.042348,-5.623618,#NAME?,-3.969365,-0.5611079,-5.082354,-5.337333,-2.394288,-3.967228,-4.91541,-3.876608,-1.06876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cmucssa
3,0,17,-3.222314,-1.591621,-1.601642,-2.798994,-0.4208078,-5.109083,-6.387198,-0.6956164,-2.14178,-5.656124,-2.705751,-4.996892,-1.420998,-2.57814,-5.729619,-4.93294,-0.966715,-0.5195251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cmucssa
4,0,12,-3.732348,-3.474315,-2.645196,-1.50642,-1.384367,-6.566783,-4.492096,-5.557398,-2.141916,-5.584549,-0.09235489,-0.8569374,-0.4368242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cmucssa
5,0,4,-2.715695,-3.637303,-2.684893,-0.8859594,-0.5195251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cmucssa
6,0,5,-4.215509,-3.488365,-3.084326,-5.941355,-2.680221,-1.018271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cmucssa
7,0,11,-2.636784,-2.342519,-4.556916,-1.52126,-5.096117,-6.67946,-4.499696,-2.155061,-1.426237,-0.1915457,-4.867256,-1.026329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cmucssa
8,0,5,-4.255627,-4.906775,-2.54931,-5.660635,-4.133075,-2.279539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cmucssa
9,0,3,-5.269867,-5.499402,-4.756607,-1.018271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cmucssa
10,0,4,-4.291057,-3.066126,-5.565017,-1.480813,-0.6833649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cmucssa
11,0,4,-5.637844,-1.90027,-3.749229,-2.599973,-2.897534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cmucssa
12,0,11,-4.322574,-1.123385,-0.4842433,-4.010109,-7.480666,-2.432533,-1.104502,-2.895719,-0.03799532,-3.448905,-0.8367215,-0.5881106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cmucssa
13,0,7,-4.495176,-3.504291,-4.70753,-0.9534473,-3.434547,-6.529276,-1.08715,-0.446087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cmucssa
14,0,9,-3.535944,-3.356479,-4.413974,-5.666257,-1.45719,-5.083141,-5.23945,-4.224194,-1.742426,-0.6232493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cmucssa
15,0,8,-3.804626,-5.523921,-5.3416,-2.955578,-1.635233,-5.354517,-5.017547,-4.601522,-1.018271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cmucssa
16,0,4,-5.415995,-5.326251,-4.224194,-1.742426,-0.6232493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cmucssa
17,0,7,-2.791026,-5.695485,-4.807052,-5.114741,-5.802201,-6.166569,-0.8237057,-0.4979049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cmucssa
18,0,4,-5.269867,-4.740093,-3.675351,-0.6328061,-0.5019448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cmucssa
19,0,8,-3.535944,-1.384044,-2.38483,-5.770715,-4.507313,-2.133995,-4.045401,-2.181886,-0.4704907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cmucssa
20,0,15,-2.62365,-1.570496,-6.681036,-2.409362,-3.425497,-2.078275,-2.159149,-4.567282,-4.942033,-8.002356,-4.685576,-4.985581,-0.7127583,-5.140861,-1.263594,-0.4902949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cmucssa
21,0,13,-2.949325,-1.943791,-4.07065,-4.497956,-0.8985423,-4.07748,-1.988802,-1.638043,-3.929289,-6.439031,-5.109189,-5.541397,-1.131529,-0.4811801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cmucssa
22,0,13,-5.886802,-1.31969,-3.945773,-2.030857,-4.505722,-0.9945371,-3.202995,-1.495947,-3.747647,-2.169723,-1.001675,-4.419144,-1.234083,-0.5042735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cmucssa
23,0,22,-2.791026,-5.695485,-2.909632,-0.243038,-1.601642,-3.17252,-2.725951,-0.4771213,-1.447158,-4.365974,-0.8260748,-2.888488,-2.843259,-0.1031397,-4.443671,-0.5195702,-3.11446,-1.211324,#NAME?,-1.397776,-3.810622,-0.6779443,-0.3548599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cmucssa
24,0,6,-5.144928,-2.686222,-1.471537,-5.503237,-4.93294,-1.728974,-0.4670209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cmucssa
25,0,6,-5.415995,-4.050811,-3.984745,-2.980443,-5.51918,-1.409219,-0.350248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cmucssa
26,0,10,-5.415995,-4.050811,-2.289129,-1.462744,-5.503237,-5.57337,-1.29127,-3.168851,-7.375365,-1.365808,-0.4134672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cmucssa
27,0,24,-4.159117,-6.450111,-3.20202,-1.455138,-2.878793,-2.3444,-4.969377,-3.916257,-2.628867,-6.57007,-1.142574,-2.98466,-3.720149,-0.622718,-2.519077,-2.085806,-4.185326,-6.137751,-3.888329,-5.410761,-1.329496,-1.820229,-2.544174,-0.5179153,-0.4368242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cmucssa
28,0,5,-2.328403,-5.870677,-3.01144,-4.220482,-1.275931,-0.4670209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cmucssa
29,0,8,-5.387967,-3.846521,-5.685214,-1.455138,-6.658782,-3.980152,-6.716458,-1.085915,-0.7476568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cmucssa
30,0,15,-2.949325,-1.734276,-3.070292,-0.7152783,-1.862088,-1.931603,-2.717601,-0.6127838,-6.086453,-4.379893,-6.000622,-3.553723,-3.09705,-4.957789,-1.296039,-0.4149733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cmucssa
31,0,3,-3.249861,-6.105929,-1.169046,-0.4516741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cmucssa
32,0,13,-6.258925,-5.487165,-2.454219,-0.5658115,-3.876888,-5.5373,-0.8785416,-2.519604,-4.096268,-5.090438,-3.042606,-3.471375,-0.7086574,-0.5642715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cmucssa
33,0,11,-4.302052,-2.974333,-2.500334,-1.687232,-5.503237,-3.332873,-2.830521,-0.5185139,-3.569764,-4.821809,-1.092914,-0.3672734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cmucssa
34,0,8,-5.637844,-0.9667723,-4.929999,-0.8645111,-5.965428,-5.097526,-5.598162,-1.77797,-0.3233064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cmucssa
35,0,10,-4.159117,-0.4373341,-1.871361,-1.503383,-1.848585,-3.51681,-3.23614,-4.766381,-6.846604,-4.363343,-1.018271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cmucssa
36,0,10,-2.949325,-1.943791,-3.511342,-4.863565,-0.8424779,-5.409266,-2.720807,-1.555099,-3.879228,-3.545947,-1.06876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cmucssa
37,0,14,-2.896868,-4.094051,-1.902466,-5.35546,-1.027837,-5.050814,-1.272043,-1.937016,-1.788091,-5.206382,-4.273657,#NAME?,-4.71947,-2.632255,-0.9487033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cmucssa
38,0,17,-4.239904,-7.440647,-3.957648,-2.574076,-0.1944826,-0.4733116,-0.532717,-2.43188,-3.906589,-3.532386,#NAME?,-2.104872,-3.487185,-3.568229,-3.764796,-2.858636,-3.74633,-0.3261143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cmucssa
39,0,5,-6.258925,-3.265959,-3.078321,-6.394945,-3.626795,-1.06876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cmucssa
40,0,15,-4.813935,-2.389885,-6.416388,-5.238295,-3.896798,-1.609239,-2.543796,-2.861583,-3.40672,-4.393926,-1.871929,-3.814842,-5.160771,-3.452109,-3.154961,-1.575353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cmucssa
41,0,17,-3.98786,-3.91412,-3.386841,-0.8059883,-4.033514,-5.438033,-1.330245,-4.153699,-4.145011,-1.692693,-0.7850661,-2.506113,-2.500205,-1.674956,-1.126363,-3.526362,-5.08787,-2.19501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cmucssa
42,0,8,-3.59865,-2.539451,-4.281279,-4.366132,-6.035374,-0.7819946,-4.72555,-0.8750613,-0.6268836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cmucssa
43,0,6,-5.269867,-5.499402,-4.874042,-4.223194,-3.011727,-0.3203351,-0.4191293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cmucssa
44,0,29,-4.076213,-3.058937,-4.764591,-5.807478,-2.675778,-5.728323,-3.018248,-3.679737,-0.544068,-4.143966,-5.331597,-4.056154,-1.447474,-3.005185,-1.770077,-5.667714,-5.57337,-1.25625,-3.836735,-4.27653,-5.319258,-1.500031,-2.539254,-3.645386,-1.998903,-3.472953,-6.121415,-7.065207,-0.8091855,-0.3637311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cmucssa
45,0,11,-6.258925,-4.135893,-1.681356,-2.382293,-5.089802,-2.922044,-3.717938,-3.113927,-2.890225,-5.16351,-1.852045,-0.4984406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cmucssa
