SentenceID,CodeSwitchStatus,NumberOfWords,Surprisal1,Surprisal2,Surprisal3,Surprisal4,Surprisal5,Surprisal6,Surprisal7,Surprisal8,Surprisal9,Surprisal10,Surprisal11,Surprisal12,Surprisal13,Surprisal14,Surprisal15,Surprisal16,Surprisal17,Surprisal18,Surprisal19,Surprisal20,Surprisal21,Surprisal22,Surprisal23,Surprisal24,Surprisal25,Surprisal26,Surprisal27,Surprisal28,Surprisal29,Surprisal30,Surprisal31,Surprisal32,Surprisal33,Surprisal34,Surprisal35,Surprisal36,Surprisal37,Surprisal38,Surprisal39,Surprisal40,Surprisal41,Surprisal42,Surprisal43,Surprisal44,Surprisal45,Surprisal46,Surprisal47,Surprisal48,Surprisal49,Surprisal50,Surprisal51,Surprisal52,Surprisal53,Surprisal54,Surprisal55,Surprisal56,Surprisal57,Surprisal58,Surprisal59,Surprisal60,CorpusName
0,0,3,-4.828659,-4.461003,-0.2255143,-0.035459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pittcssa
1,0,7,-3.59865,-3.56666,-4.863565,-2.753554,-3.367643,-4.930959,-4.034487,-1.035246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pittcssa
2,0,3,-4.938874,-6.954918,-4.482156,-1.018271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pittcssa
3,0,11,-4.322574,-3.84998,-0.1918855,-5.183556,-0.5388669,-3.254276,-3.781357,-1.332753,-4.143663,-2.612414,-3.458468,-3.791189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pittcssa
4,0,3,-6.527233,-5.087316,-4.694073,-1.035246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pittcssa
5,0,4,-4.269867,-2.350056,-5.983726,-0.8946041,-1.077839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pittcssa
6,0,7,-3.699992,-4.903002,-2.131656,-3.708667,-5.170003,-3.98682,-4.534206,-1.035246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pittcssa
7,0,3,-5.336814,-4.122341,-2.600924,-1.224015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pittcssa
8,0,32,-4.705596,-2.561137,-5.31352,-1.97852,-3.972191,-5.437875,-5.828429,#NAME?,-3.656917,-2.987237,-2.925037,-0.8527849,-0.6810121,-2.699462,-2.630539,-3.115339,-3.956513,-4.361645,-3.342458,-3.196195,-0.2101104,-4.011225,-0.7887743,-3.23509,-4.52427,-1.328305,-3.234884,-2.266948,-0.7856644,-0.3419154,-2.074111,-1.07258,-0.2023195,,,,,,,,,,,,,,,,,,,,,,,,,,,,pittcssa
9,0,8,-4.746988,-1.598187,-3.78349,-5.614509,-1.52384,-3.593343,-4.077268,-3.660662,-1.018271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pittcssa
10,0,16,-6.100998,-5.371318,-1.02622,-1.709886,-2.596322,-2.149668,-1.337094,-5.388958,-2.828515,-6.089787,-1.074902,-2.122723,-1.419058,-4.807412,-6.654613,-3.378651,-1.847712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pittcssa
11,0,7,-3.501123,-4.473989,-4.975853,-1.177193,-3.669855,-4.694092,-2.514937,-2.250553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pittcssa
12,0,7,-5.060607,-4.129258,-2.737323,-3.883252,-3.704242,-4.042831,-1.962407,-0.3296421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pittcssa
13,0,7,-3.0935,-3.949156,-2.326824,-3.532633,-3.871347,-4.835093,-2.318721,-1.373276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pittcssa
14,0,4,-4.579249,-5.402227,-1.520106,-1.610869,-0.5041795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pittcssa
15,0,3,-4.427734,-6.82003,-1.514824,-0.09235489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pittcssa
16,0,6,-3.59865,-2.937391,-6.029397,-5.31074,-4.961398,-2.573162,-2.791563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pittcssa
17,0,4,-7.042348,-2.707721,-4.848841,-4.536919,-1.035246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pittcssa
18,0,3,-3.007416,-7.87,-8.065416,-1.914775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pittcssa
19,0,4,-4.387967,-4.928815,#NAME?,-3.946241,-1.018271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pittcssa
20,0,5,-3.501123,-3.65008,-2.521885,-3.705451,-1.483056,-3.762285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pittcssa
21,0,3,-6.728669,-3.671663,-3.308549,-3.706106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pittcssa
22,0,3,-6.100998,-3.792388,-3.308549,-3.706106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pittcssa
23,0,8,-3.529129,-3.090795,-4.398295,-7.205364,-6.31539,-1.362944,-4.304352,-6.272591,-3.18581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pittcssa
24,0,14,-4.968837,-2.642246,-6.769875,-3.766022,-5.033401,-5.003463,-2.841516,-2.897408,-5.335788,-1.391107,-1.955429,-7.544697,-1.993541,-1.350056,-0.6532125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pittcssa
25,0,9,-4.396187,-3.051377,-4.834215,-3.670946,-5.850224,-1.554743,-4.708142,-2.986392,-1.44281,-0.5493164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pittcssa
26,0,4,-4.495176,-1.357491,-7.684893,-5.377638,-2.394627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pittcssa
27,0,3,-4.495176,-5.918941,-1.059058,-0.5752883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pittcssa
28,0,6,-5.336814,-1.470682,-4.489299,-4.348788,-4.973811,-2.311842,-0.8361432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pittcssa
29,0,6,-3.501123,-5.878493,-3.653793,-4.28048,-3.298244,-2.681282,-4.172299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pittcssa
30,0,3,-7.042348,-3.703425,-3.308549,-3.706106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pittcssa
