SentenceID,CodeSwitchStatus,NumberOfWords,Surprisal1,Surprisal2,Surprisal3,Surprisal4,Surprisal5,Surprisal6,Surprisal7,Surprisal8,Surprisal9,Surprisal10,Surprisal11,Surprisal12,Surprisal13,Surprisal14,Surprisal15,Surprisal16,Surprisal17,Surprisal18,Surprisal19,Surprisal20,Surprisal21,Surprisal22,Surprisal23,Surprisal24,Surprisal25,Surprisal26,Surprisal27,Surprisal28,Surprisal29,Surprisal30,Surprisal31,Surprisal32,Surprisal33,Surprisal34,Surprisal35,Surprisal36,Surprisal37,Surprisal38,Surprisal39,Surprisal40,Surprisal41,Surprisal42,Surprisal43,Surprisal44,Surprisal45,Surprisal46,Surprisal47,Surprisal48,Surprisal49,Surprisal50,Surprisal51,Surprisal52,Surprisal53,Surprisal54,Surprisal55,Surprisal56,Surprisal57,Surprisal58,Surprisal59,Surprisal60,CorpusName
0,0,12,-4.461753,-4.982145,-5.684145,-2.793853,-0.9065199,-2.903461,-2.265974,-2.295585,-3.018463,-6.061338,-3.554407,-3.736572,-1.126294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,psucssa
1,0,3,-5.001022,-3.253665,-2.896074,-1.108472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,psucssa
2,0,5,-6.527233,-2.770984,-1.933663,-2.074136,-1.631154,-0.5780441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,psucssa
3,0,4,-5.804013,-4.036139,-2.750054,-3.872438,-1.809545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,psucssa
4,0,14,-3.527254,-2.161742,-2.426138,-1.209515,-5.481737,-5.39276,-5.430901,-5.582912,-1.358625,-1.818915,-3.119897,-4.139857,-4.173186,-2.978683,-0.9937586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,psucssa
5,0,8,-4.366777,-4.6344,-2.410717,-9.244851,-5.268422,-4.891884,#NAME?,-3.826252,-3.127532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,psucssa
6,0,8,-5.804013,-1.747246,-5.429234,-2.576701,-3.654396,-3.522486,-3.688302,-4.576363,-1.035246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,psucssa
7,0,3,-5.160723,-4.76033,-2.515432,-1.266821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,psucssa
8,0,13,-4.366777,-4.6344,-2.410717,-1.167871,-2.808006,-1.517636,-5.682755,-5.39276,-5.430901,-4.891458,-2.960856,-4.604931,-4.821642,-1.035246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,psucssa
9,0,8,-4.366777,-4.6344,-4.308136,-2.970364,-4.728527,-4.689786,-5.255193,-0.1054398,-1.070551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,psucssa
