SentenceID,CodeSwitchStatus,NumberOfWords,Surprisal1,Surprisal2,Surprisal3,Surprisal4,Surprisal5,Surprisal6,Surprisal7,Surprisal8,Surprisal9,Surprisal10,Surprisal11,Surprisal12,Surprisal13,Surprisal14,Surprisal15,Surprisal16,Surprisal17,Surprisal18,Surprisal19,Surprisal20,Surprisal21,Surprisal22,Surprisal23,Surprisal24,Surprisal25,Surprisal26,Surprisal27,Surprisal28,Surprisal29,Surprisal30,Surprisal31,Surprisal32,Surprisal33,Surprisal34,Surprisal35,Surprisal36,Surprisal37,Surprisal38,Surprisal39,Surprisal40,Surprisal41,Surprisal42,Surprisal43,Surprisal44,Surprisal45,Surprisal46,Surprisal47,Surprisal48,Surprisal49,Surprisal50,Surprisal51,Surprisal52,Surprisal53,Surprisal54,Surprisal55,Surprisal56,Surprisal57,Surprisal58,Surprisal59,Surprisal60,IndicesOfCodeSwitchedWordInTranslation,IndicesOfPunctuationInTranslation,CorpusName
0,1,8,-6.527233,-2.881625,-1.29967,-2.538322,-1.499713,-1.383471,-6.302782,-5.549328,-2.847538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[5_6],[4],cmucssa
1,1,33,-5.415995,-2.870081,-5.7969,-2.479668,-2.754221,-1.063846,-3.089462,-7.17477,-4.505568,-0.7379408,-1.697195,-6.256392,-5.777202,-2.879026,-1.585789,-0.5010793,-4.728227,-3.54528,-0.2684461,-5.527184,-6.229526,-0.370216,-1.336746,-1.354857,-2.151794,-3.493073,-8.07459,-1.2139,-0.328867,-5.729619,-5.57337,-5.521345,-2.17667,-1.896223,,,,,,,,,,,,,,,,,,,,,,,,,,,[25_26],[1_9_15_18_21_32],cmucssa
2,1,28,-6.100998,-1.320391,-0.7630151,-4.4722,-3.20577,-0.7766016,-4.674029,-3.554084,-2.235204,-4.472754,-1.254587,-2.761207,-1.42266,-4.00532,-0.3216881,-3.688545,-4.236028,-5.883419,-2.087959,-3.743304,-4.819367,-0.6720446,-4.722296,-3.517969,-3.595524,-5.194436,-3.258603,-0.8566467,-0.6419315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],[2_5_10_21_27],cmucssa
3,1,16,-3.692266,-5.075897,-4.676288,-4.600833,-0.7960479,-4.912205,-5.068726,-4.874042,-6.873652,-1.230449,-0.4886699,-2.5325,-4.206208,-5.620612,-4.600833,-1.131529,-0.4811801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[8_9_10],[4_7_10_15],cmucssa
4,1,10,-6.527233,-3.646975,-4.193077,-1.173965,-0.5694761,-4.162648,-1.981575,-3.114755,-5.065556,-1.119376,-0.6264194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[0],[4_9],cmucssa
5,1,8,-5.512905,-5.228868,-0.5955775,-1.38895,-2.136289,-4.214566,-6.114262,-0.9592402,-0.6268836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[0],[5_7],cmucssa
6,1,9,-4.509301,-0.2903937,-1.38895,-0.4321387,-3.465795,-6.824737,-0.8959952,-5.210801,-0.762357,-0.5133334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[7_8],[8],cmucssa
7,1,3,-3.674056,-7.081013,-4.418315,-1.018271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[1_2],[2],cmucssa
8,1,20,-5.976814,-5.320712,-6.775359,-2.654381,-5.63158,-6.83246,-4.688114,-4.823026,-0.69897,-4.708642,-4.605417,-5.718632,-1.968842,#NAME?,-5.024161,-2.53949,-1.428022,-2.446557,-3.573376,-0.6896648,-0.4368242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[1_2_3_9_10_11_13],[3_8_18_19],cmucssa
9,1,4,-3.732348,-4.488641,-5.760885,-6.166569,-2.958514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[1],,cmucssa
10,1,4,-6.258925,-2.914741,-5.749864,-2.909734,-2.344855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[2_3],[1],cmucssa
11,1,12,-3.535944,-1.71372,-4.346101,-4.471957,-3.898206,-2.315778,-1.041393,-1.281286,-1.788091,-2.823456,#NAME?,-1.427697,-0.4134672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[10_11],[7_11],cmucssa
12,1,7,-4.678273,-2.639703,-3.890076,-3.354254,-6.480124,-3.727654,#NAME?,-1.759638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[0_2_3_4_5_6],[5_6],cmucssa
13,1,8,-5.445959,-3.517004,-5.82538,-2.047275,-0.6465095,-1.845845,-4.911385,-1.231957,-0.7476568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[2_3_4],[7],cmucssa
14,1,7,-5.976814,-3.558488,-5.42058,-0.7122998,-1.506279,-3.80937,-4.813555,-3.558488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[2_3],[3],cmucssa
15,1,21,-7.042348,-0.4746102,-4.199065,-0.765377,-4.921011,-5.679813,-1.964966,-2.43689,-4.056521,-5.244545,-1.039642,-6.265025,-2.432533,-1.712326,-0.6021351,-4.027341,-4.666379,-2.487469,-1.699935,-1.931871,-2.022749,-0.5719218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[5_6_7],[3_7_10_12_13_14_20],cmucssa
16,1,14,-3.222314,-1.591621,-1.601642,-3.04637,-2.053292,-3.379827,-1.532987,-2.57814,-5.729619,-4.276497,-3.368013,-1.451586,-5.637688,-0.7613617,-0.5195251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[9_10_11],[13],cmucssa
17,1,12,-2.715695,-4.139023,-3.022636,-0.6238034,-3.313639,-5.355831,-1.836648,-4.805568,-3.053878,-1.931871,-4.49036,-0.7784541,-0.4244689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[5],[3_11],cmucssa
