SentenceID,CodeSwitchStatus,NumberOfWords,Surprisal1,Surprisal2,Surprisal3,Surprisal4,Surprisal5,Surprisal6,Surprisal7,Surprisal8,Surprisal9,Surprisal10,Surprisal11,Surprisal12,Surprisal13,Surprisal14,Surprisal15,Surprisal16,Surprisal17,Surprisal18,Surprisal19,Surprisal20,Surprisal21,Surprisal22,Surprisal23,Surprisal24,Surprisal25,Surprisal26,Surprisal27,Surprisal28,Surprisal29,Surprisal30,Surprisal31,Surprisal32,Surprisal33,Surprisal34,Surprisal35,Surprisal36,Surprisal37,Surprisal38,Surprisal39,Surprisal40,Surprisal41,Surprisal42,Surprisal43,Surprisal44,Surprisal45,Surprisal46,Surprisal47,Surprisal48,Surprisal49,Surprisal50,Surprisal51,Surprisal52,Surprisal53,Surprisal54,Surprisal55,Surprisal56,Surprisal57,Surprisal58,Surprisal59,Surprisal60,IndicesOfCodeSwitchedWordInTranslation,IndicesOfPunctuationInTranslation,CorpusName
0,1,19,-4.867811,-0.493827,-3.782192,-2.437354,-5.862706,-0.9090373,-1.701332,-1.988565,-3.980615,-4.561423,-2.598608,-0.5818566,-1.841311,-5.732744,-1.243949,-3.022742,-0.5743639,#NAME?,-1.427697,-0.4134672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[2_3_4_5_9_10_11],[5_16_17_18],pittcssa
1,1,5,-6.502274,-5.673015,-8.140705,-4.811412,#NAME?,-1.759638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[2_3_4],[3],pittcssa
2,1,9,-3.094466,-4.286642,-2.897162,-3.972159,-3.002454,-6.435258,-5.736786,-5.166855,#NAME?,-1.759638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[5_8],[7],pittcssa
3,1,9,-2.927257,-1.338494,-5.46002,-3.61781,-0.9413958,-5.46002,-5.256166,-5.58711,#NAME?,-1.759638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[6_7_8],[7],pittcssa
4,1,15,-4.126704,-7.893046,-5.598739,-1.069421,-4.357489,-4.056589,-5.332689,-2.286361,-6.484445,-0.3822495,-4.032043,-4.483571,-4.321918,-8.12351,-1.686462,-0.4134672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[1],[3_9_14],pittcssa
5,1,7,-4.876083,-3.964173,-2.090157,-3.910848,-6.096035,-1.853136,-6.484013,-2.804964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[4_5],,pittcssa
6,1,8,-4.746988,-3.137449,-6.121622,-7.98237,-2.567214,-3.443417,-5.231732,-7.177525,-2.162022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[2_3_4_5_6_7],,pittcssa
7,1,11,-5.060607,-0.5314789,-6.665138,-4.805054,-5.623747,-3.438374,-2.143651,-5.01425,-2.69375,-2.834652,-1.06923,-0.3653333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[2],[1_6_10],pittcssa
8,1,11,-5.060607,-0.5314789,-6.665138,-4.805054,-5.623747,-3.438374,-2.143651,-5.01425,-2.69375,-2.834652,-1.06923,-0.3653333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[2],[1_6_10],pittcssa
9,1,12,-4.792746,-2.14431,-2.417351,-6.755711,-4.348397,-3.287162,-2.045513,-5.878197,-0.9505041,-4.747123,-5.486584,-1.049565,-0.532344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[7],[11],pittcssa
10,1,9,-4.138768,-2.748619,#NAME?,-1.197862,-3.573279,-3.301296,-5.302172,#NAME?,-3.135041,-1.06876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[2_3],[3_7_8],pittcssa
11,1,9,-5.177113,-3.566697,-3.548679,-6.142554,-3.469426,-1.620301,-5.591191,#NAME?,-2.796102,-1.847712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[3_7_8],[8],pittcssa
12,1,14,-5.073573,-3.010159,-3.998955,-4.622731,-6.009845,-4.78354,-4.922184,-4.369606,-5.010024,-2.328877,-0.2325726,-6.272097,-2.738063,-1.653725,-0.4409206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[11_12_13],[13],pittcssa
13,1,5,-4.766012,-1.853912,-5.188514,-5.403131,-1.184286,-1.456918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[0_1_2],[4],pittcssa
14,1,15,-5.804013,-5.05223,-5.773085,-4.194867,-4.536052,-3.353552,-4.146863,-1.519199,-1.450506,-4.895009,-1.557391,-4.446468,-0.7814289,-7.018813,-0.6317819,-0.3467875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[0_1],[1_7_10_12_14],pittcssa
15,1,6,-6.527233,-7.680973,-3.68037,-5.531367,-5.638311,-4.765574,-2.19501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[0_1_3],[5],pittcssa
16,1,5,#NAME?,-7.175633,-5.464374,-1.899164,-5.313296,-2.19501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[0_1],[4],pittcssa
17,1,6,-2.896868,-5.853621,-2.341764,-0.674956,-3.613366,-0.6246814,-3.309983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[1],[5],pittcssa
18,1,13,-5.177113,-1.909006,-4.124506,-0.3909664,-5.092532,-4.408408,-0.7251962,-3.326661,-2.133425,-5.901578,-5.517832,-4.682392,-2.358853,-0.3496353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[9_10],[1_3_6_12],pittcssa
19,1,5,#NAME?,-7.096452,-4.075711,-4.377453,#NAME?,-1.759638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[0_1],[4],pittcssa
20,1,15,-5.804013,-5.05223,-5.773085,-4.194867,-4.536052,-3.353552,-4.146863,-1.519199,-1.450506,-4.895009,-1.557391,-4.446468,-0.7814289,-7.018813,-0.6317819,-0.3467875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[0_1],[1_7_10_12_14],pittcssa
21,1,6,-7.042348,-2.940044,-6.5904,-1.311749,#NAME?,-3.135041,-1.06876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[0_1_4_5],[1_3_5],pittcssa
22,1,10,#NAME?,-4.489355,-6.016187,-4.069859,-6.675687,-1.855264,-4.073811,-7.005006,#NAME?,-3.135041,-1.06876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[0_1_2_3_4_5_6_8_9],[0_3_6_9],pittcssa
23,1,10,-5.249664,-4.662549,-2.227534,-4.728325,-5.545288,-2.363643,-5.188514,-1.180854,-4.251428,-2.406264,-0.5026754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[4_5_6],[9],pittcssa
24,1,9,-4.41311,-5.985698,-0.8220435,-2.443552,-3.876105,-5.214319,-4.376154,-4.005394,-3.218899,-2.780173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[6_7],[2],pittcssa
25,1,15,-5.357115,-4.719075,-2.64712,-1.8752,-0.5531858,-5.987764,-5.540469,-1.034936,-3.624691,-4.956104,-0.8285773,-7.289939,-3.583287,-4.321918,-1.755683,-0.5076388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[5_6_7],[4_7_10_14],pittcssa
26,1,12,-4.387967,-1.075421,-3.324119,-1.70325,-5.982294,-1.477121,-5.871642,-5.540469,-1.034936,-4.152372,-3.407534,-1.239627,-0.4756185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[6_7_8],[1_5_8_11],pittcssa
27,1,10,#NAME?,-4.489355,-6.016187,-4.069859,-6.675687,-1.855264,-4.073811,-7.005006,#NAME?,-3.135041,-1.06876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[0_1_2_3_4_5_6_8_9],[0_3_6_9],pittcssa
28,1,15,-5.592087,-2.386662,-4.98229,-4.525735,-2.518744,-0.3222193,-0.05999793,-2.899605,-5.188821,-2.124687,-4.968578,-5.127323,-2.518744,#NAME?,-4.313223,-0.8954861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[3_4_5_6_7_8_9_10_11_12_13_14],[2_7_8_9_10_14],pittcssa
29,1,5,#NAME?,#NAME?,#NAME?,-1.397776,-4.804729,-2.779191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[0_1_2_3],,pittcssa
