SentenceID,CodeSwitchStatus,NumberOfWords,Surprisal1,Surprisal2,Surprisal3,Surprisal4,Surprisal5,Surprisal6,Surprisal7,Surprisal8,Surprisal9,Surprisal10,Surprisal11,Surprisal12,Surprisal13,Surprisal14,Surprisal15,Surprisal16,Surprisal17,Surprisal18,Surprisal19,Surprisal20,Surprisal21,Surprisal22,Surprisal23,Surprisal24,Surprisal25,Surprisal26,Surprisal27,Surprisal28,Surprisal29,Surprisal30,Surprisal31,Surprisal32,Surprisal33,Surprisal34,Surprisal35,Surprisal36,Surprisal37,Surprisal38,Surprisal39,Surprisal40,Surprisal41,Surprisal42,Surprisal43,Surprisal44,Surprisal45,Surprisal46,Surprisal47,Surprisal48,Surprisal49,Surprisal50,Surprisal51,Surprisal52,Surprisal53,Surprisal54,Surprisal55,Surprisal56,Surprisal57,Surprisal58,Surprisal59,Surprisal60,IndicesOfCodeSwitchedWordInTranslation,IndicesOfPunctuationInTranslation,CorpusName
0,1,9,-4.366777,-4.6344,-3.793021,-2.943119,-3.556999,-4.092902,-3.188084,-1.227171,-0.1249387,-1.070551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[4],[8],psucssa
1,1,38,-3.118308,-4.354937,-2.591166,-4.540512,-4.476963,-1.319877,-5.43565,-1.957743,-3.175138,-4.906697,-2.398057,-4.360399,-3.729797,-3.706531,-4.798649,-4.585299,-5.732836,-5.704749,-1.821355,-4.833145,-3.611778,-1.128417,-3.667425,-0.7763559,-1.411119,-4.433243,-3.909828,-4.983461,-1.134248,-5.352845,-5.144783,-2.360377,-3.792544,-2.112139,-1.482556,-5.737782,-3.493623,-1.033333,-0.4115709,,,,,,,,,,,,,,,,,,,,,,[11],[5_23_37],psucssa
2,1,5,-5.073573,-3.75618,-2.051979,-5.651466,-4.195735,-3.493793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[3],,psucssa
3,1,33,-3.413973,-3.442561,-1.5512,-3.569764,#NAME?,-1.197862,-4.048011,-0.7594977,-1.053606,-2.151794,-3.67025,-3.876118,-3.909432,-4.282691,-0.6532125,-4.948245,-0.8067964,-3.443431,-4.949836,-1.301735,#NAME?,-3.159547,-3.459783,-0.7323937,-4.203052,-5.915017,-2.27358,-1.201702,-4.766917,-2.225863,-5.417335,-1.271718,-4.948245,-2.779191,,,,,,,,,,,,,,,,,,,,,,,,,,,[10_11_13_22_23_28_29_30],[4_5_16_20_21_23],psucssa
4,1,7,-5.976814,-1.725711,-6.187607,-3.660847,-4.875474,-5.22249,-1.355821,-0.4786751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[2],[6],psucssa
5,1,6,-4.722855,-6.904396,-3.650245,-3.781715,-6.875818,-0.7415574,-0.8327176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[3_4_5],[5],psucssa
6,1,6,-4.722855,-6.904396,-3.650245,-3.781715,-6.875818,-0.7415574,-0.8327176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[3_4_5],[5],psucssa
7,1,10,-5.445959,-1.753899,-4.604581,-2.878406,-4.921396,-5.769149,-3.558488,-1.943377,#NAME?,-3.135041,-1.06876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[2_3_8_9],[1_7_9],psucssa
8,1,20,-6.258925,-2.096591,-4.636506,-4.425331,-1.04499,-3.825397,-3.128953,-3.318257,-0.258278,-2.19928,-2.820983,-1.689087,-4.860506,-3.902972,-3.780858,-3.081203,-3.229424,#NAME?,-3.207353,-5.594633,-3.039292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[7_8],[4_8_16_17],psucssa
9,1,17,#NAME?,-3.159547,-3.459783,-0.7323937,-5.7526,-3.374067,-5.242519,-8.627448,-4.407159,-1.952344,-3.179174,-1.155715,-3.713529,-0.8504931,-3.990693,-8.334682,-1.686462,-0.4134672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[0_1_7],[0_1_3_13_16],psucssa
10,1,7,-5.144928,#NAME?,-3.159547,-2.787343,-1.174385,-3.102793,#NAME?,-1.759638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[0_1_2_5_6],[0_2],psucssa
11,1,14,-5.230359,-0.9052646,-4.361975,-5.834631,-3.63096,-0.8231873,-5.386065,-6.309819,-5.512712,-0.5778652,-3.447756,-4.679292,-6.061276,-1.08715,-0.446087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[6_10_11],[1_5_13],psucssa
12,1,18,-5.445959,-4.471926,-6.066541,-0.5811261,-6.743435,-3.575725,-5.557072,-0.6000642,-5.092704,-0.3399481,-4.106143,-2.76503,-1.844058,-0.6363446,-3.094163,-1.773585,-1.791265,-0.5694761,-0.3379421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[4],[3_7_9_17],psucssa
13,1,8,-2.715695,-3.533183,#NAME?,-3.64181,-5.553385,-4.433753,-5.631822,-0.1054398,-1.070551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[4_5],[2_7],psucssa
14,1,6,-5.194147,-3.383354,-5.560592,-4.073381,-4.633928,-6.476148,-1.196219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[0_2],[0_5],psucssa
