SentenceID,CodeSwitchedSentence,NumberOfCodeSwitching,CodeSwitch1,Translation1,CodeSwitch2,Translation2,CodeSwitch3,Translation3,CodeSwitch4,Translation4,CodeSwitch5,Translation5,TranslatedSentence
0, 全新 的 baby safety mirror ， 可以 看到 坐在 rear face seat 上 小孩 的 情况 ， $5 。,2,baby safety mirror,儿童安全镜,rear face seat,儿童安全座椅,,,,,,, 全新 的 儿童安全镜 ， 可以 看到 坐在儿童安全座椅 上 小孩 的 情况 ， $5 。
1, 床头 桌 night stand$10,1,night,床头柜,,,,,,,,, 床头 桌床头柜$10
2, 小 蜡烛 一 盒 a box of little candles$2,1,a box of little,一小盒蜡烛,,,,,,,,, 小 蜡烛 一 盒 一小盒蜡烛 $2
3, 三 个 帽子 three hats$5 in total,2,three,三个帽子,in total,总共,,,,,,, 三 个 帽子 三个帽子总共$5
4, 全程 dealer 保养 ， 没 出 过 任何 毛病 ， 非常 省 油 省心 。,1,dealer,卖家,,,,,,,,, 全程卖家 保养 ， 没 出 过 任何 毛病 ， 非常 省 油 省心 。
5, 垃圾 桶 上 有 penn state 校徽,1,penn state,宾州州立,,,,,,,,, 垃圾 桶 上 有 宾州州立校徽
6, 咖啡 机 hamilton beach one cup coffee,1,hamilton beach one cup coffee,汉密尔顿碧池一杯大小咖啡机,,,,,,,,, 咖啡 机 汉密尔顿碧池一杯大小咖啡机
7, 补充 ： jeep 带有 按键 启动 、 遥控 启动 功能 。,1,jeep,吉普,,,,,,,,, 补充 ：吉普带有 按键 启动 、 遥控 启动 功能 。
8, 补充 ： jeep 带有 按键 启动 、 遥控 启动 功能 。,1,jeep,吉普,,,,,,,,, 补充 ： 吉普带有 按键 启动 、 遥控 启动 功能 。
9, 求 一 张 成色 比较 新 的 queen size 的 木头 床 。,1,queen size,大号,,,,,,,,, 求 一 张 成色 比较 新 的 大号 的 木头 床 。
10, 地址 在 squirrel hill ， 请 联系 电话 pn-0 .,1,squirrel hill,松鼠山,,,,,,,,, 地址 在 松鼠山， 请 联系 电话 pn-0 .
11, 坐 几 站 bus 就 能 到 giant eagle ；,2,bus,公交,giant eagle,大老鹰,,,,,,, 坐 几 站 公交 就 能 到 大老鹰 ；
12, 本人 因 做 毕业 论文 离开 匹兹堡 现 出售 自己 的 buick century 。,1,buick century,别克世纪,,,,,,,,, 本人 因 做 毕业 论文 离开 匹兹堡 现 出售 自己 的 别克世纪 。
13, google drive 地址 ：,1,google drive,谷歌云盘,,,,,,,,, 谷歌云盘 地址 ：
14, hello ~ 下面 先 列 个 列表 ， 包括 物品 、 价格 、 赠品 。,1,hello,嘿,,,,,,,,, 嘿 ~ 下面 先 列 个 列表 ， 包括 物品 、 价格 、 赠品 。
15, up up up up 自己 up 一下 ~,2,up up up up,顶顶顶顶,up,顶,,,,,,, 顶顶顶顶 自己顶 一下 ~
16, up up up up up up 一下 自己 ~,1,up up up up up up,顶顶顶顶顶,,,,,,,,, 顶顶顶顶顶 一下 自己 ~
17, 这个 amazon 上 的 链接 ，,1,amazon,亚马逊,,,,,,,,, 这个亚马逊 上 的 链接 ，
18, 价格 、 照片 、 联系 方式 ， 请 看 google docs 文件 ：,1,google docs,谷歌文档,,,,,,,,, 价格 、 照片 、 联系 方式 ， 请 看 谷歌文档 文件 ：
