SentenceID,CodeSwitchedSentence,NumberOfCodeSwitching,CodeSwitch1,Translation1,CodeSwitch2,Translation2,CodeSwitch3,Translation3,CodeSwitch4,Translation4,CodeSwitch5,Translation5,TranslatedSentence,ChineseWordCount,EnglishWordCount,PunctuationCount,IndicesOfChineseWord,IndicesOfCodeSwitchedWord,IndicesOfPunctuation,,,,
0, 比邻 各 大 超市 （ giant eagle ；,1,giant eagle,巨鹰,,,,,,,,, 比邻 各 大 超市 （ 如巨鹰超市,4,2,2,[0_ 1_ 2_ 3],[5_ 6],[4_ 7],,,,
1, 房间 ： 房间 为 三 层 一 整 层 ， 由 阁楼 装修 而 成 ， 空间 很大 ， 家具 齐全 ， 有 一 张 queen size 的 床 和 一 个 气垫 床 ；,1,queen size,标准双人床,,,,,,,,, 房间 ： 房间 为 三 层 一 整 层 ， 由 阁楼 装修 而 成 ， 空间 很大 ， 家具 齐全 ， 有 一 张 标准双人床 和 一 个 气垫 床 ；,27,2,6,[0_ 2_ 3_ 4_ 5_ 6_ 7_ 8_ 10_ 11_ 12_ 13_ 14_ 16_ 17_ 19_ 20_ 22_ 23_ 24_ 27_ 28_ 29_ 30_ 31_ 32_ 33],[25_ 26],[1_ 9_ 15_ 18_ 21_ 34],,,,
2, rich neighborhood ， 非常 安全 （ 这里 属于 富人 区 ） ， 旁边 就 是 公园 ， 附近 还有 配套 的 各 种 球场 和 社区 设施 ， 环境 很 好 很 安静 。,1,rich neighborhood,富人区,,,,,,,,, 富人区， 非常 安全 ， 旁边 就 是 公园 ， 附近 还有 配套 的 各 种 球场 和 社区 设施 ， 环境 很 好 很 安静 。,25,2,7,[3_ 4_ 6_ 7_ 8_ 9_ 12_ 13_ 14_ 15_ 17_ 18_ 19_ 20_ 21_ 22_ 23_ 24_ 25_ 26_ 28_ 29_ 30_ 31_ 32],[0_ 1],[2_ 5_ 10_ 11_ 16_ 27_ 33],,,,
3, 今天 安排 看 房 ， 欢迎 联系 ～ up up ， 可以 约 看 房 。,1,up up,顶,,,,,,,,, 今天 安排 看 房 ， 欢迎 联系 ～ 抓紧机会 ， 可以 约 看 房 。,10,2,4,[0_ 1_ 2_ 3_ 5_ 6_ 11_ 12_ 13_ 14],[8_ 9],[4_ 7_ 10_ 15],,,,
4, lease 从 八月 开始 ， 具体 日期 可以 商量 。,1,lease,租约,,,,,,,,, 租约 从 八月 开始 ， 具体 日期 可以 商量 。,7,1,2,[1_ 2_ 3_ 5_ 6_ 7_ 8],[0],[4_ 9],,,,
5, house 一共 有 两 层 + 地下室 。,1,house,房子,,,,,,,,, 房子一共 有 两 层 + 地下室 。,5,1,2,[1_ 2_ 3_ 4_ 6],[0],[5_ 7],,,,
6, 一共 有 两 个 可以 洗澡 的 bathroom 。,1,bathroom,浴室,,,,,,,,, 一共 有 两 个 可以 洗澡 的 浴室。,7,1,1,[0_ 1_ 2_ 3_ 4_ 5_ 6],[7],[8],,,,
7, ） 还有 green pepper ！,1,green pepper,青椒,,,,,,,,, 还有青椒！,1,2,2,[1],[2_ 3],[0_ 4],,,,
8, 直达 waterfront （ 匹兹堡 逛街 好 去处 ， macy ’ s 和 amc 电影院 都 在 那里 ） 。,4,waterfront,滨水区,macy,梅西百货,s,,amc,AMC,,, 直达滨水区（ 匹兹堡 逛街 好 去处 ，梅西百货 和 amc 电影院 都 在 那里 ） 。,10,4,5,[0_ 3_ 4_ 5_ 6_ 11_ 13_ 14_ 15_ 16],[1_ 8_ 10_ 12],[2_ 7_ 9_ 17_ 18],,,,
9, 整个 house 家具 齐全 。,1,house,房子,,,,,,,,, 整个房子家具齐全,3,1,1,[0_ 2_ 3],[1],[4],,,,
10, 后院 ： deck 。,1,deck,露天阳台,,,,,,,,, 后院：露天阳台,1,1,2,[0],[2],[1_ 3],,,,
11, 可以 从 地下室 直接 走 出去 的 ， 所以 叫 walk out basement .,1,walk out basement,半地下室,,,,,,,,, 可以 从 地下室 直接 走 出去 的 ， 所以 叫半地下室。,9,3,2,[0_ 1_ 2_ 3_ 4_ 5_ 6_ 8_ 9],[10_ 11_ 12],[7_ 13],,,,
12, html 可以 email : em@0,2,html,网页,email,发送,,,,,,, 网页可以发送至邮箱: em@0,1,2,2,[1],[0_ 2],[3_ 4],,,,
13, 空调 有 window ac 和 暖气 。,1,window ac,窗口式冷气机,,,,,,,,, 空调 有 窗口式冷气机和 暖气 。,4,2,1,[0_ 1_ 4_ 5],[2_ 3],[6],,,,
14, 入住 时间 flexible ， 可 长期 入住 。,1,flexible,灵活,,,,,,,,, 入住时间灵活，可长期入住,5,1,2,[0_ 1_ 4_ 5_ 6],[2],[3_ 7],,,,
15, 感兴趣 的 同学 ， 欢迎 email （ 请 注明 “ 租房 ” ） ， 请 简单 介绍 一下 自己 。,1,email,发送邮件,,,,,,,,, 感兴趣 的 同学 ， 欢迎发送邮件 （ 请 注明 “ 租房 ” ） ， 请 简单 介绍 一下 自己 。,12,1,7,[0_ 1_ 2_ 4_ 7_ 8_ 10_ 14_ 15_ 16_ 17_ 18],[5],[3_ 6_ 9_ 11_ 12_ 13_ 19],,,,
16, 二 楼 是 三 间 卧室 和 一 个 full 卫生间 。,1,full,完整的,,,,,,,,, 二 楼 是 三 间 卧室 和 一 个设施完全的卫生间 。,10,1,1,[0_ 1_ 2_ 3_ 4_ 5_ 6_ 7_ 8_ 10],[9],[11],,,,
17, 有 兴趣 者 ， 请 email 短信 介绍 一下 自己 情况 。,1,email,发送,,,,,,,,, 有 兴趣 者 ， 请发送短信 介绍 一下 自己 情况 。,9,1,2,[0_ 1_ 2_ 4_ 6_ 7_ 8_ 9_ 10],[5],[3_ 11],,,,
18, 半山 独 栋 别墅 ， 自 带 车库 和 driveway 。,1,driveway,私人车道,,,,,,,,, 半山 独 栋 别墅 ， 自 带 车库 和私人车道。,8,1,2,[0_ 1_ 2_ 3_ 5_ 6_ 7_ 8],[9],[4_ 10],,,,
19, 一楼 有 half bath 。,1,half bath,盥洗室,,,,,,,,, 一楼有盥洗室。,2,2,1,[0_ 1],[2_ 3],[4],,,,
20, folk library 旁边 。,1,folk library,民间图书馆,,,,,,,,, 民间图书馆旁边。,1,2,1,[2],[0_ 1],[3],,,,
