SentenceID,CodeSwitchedSentence,NumberOfCodeSwitching,CodeSwitch1,Translation1,CodeSwitch2,Translation2,CodeSwitch3,Translation3,CodeSwitch4,Translation4,CodeSwitch5,Translation5,TranslatedSentence,ChineseWordCount,EnglishWordCount,PunctuationCount,IndicesOfChineseWord,IndicesOfCodeSwitchedWord,IndicesOfPunctuation,,,,,
0, 全新 的 baby safety mirror ， 可以 看到 坐在 rear face seat 上 小孩 的 情况 ， $5 。,2,baby safety mirror,儿童安全镜,rear face seat,儿童安全座椅,,,,,,, 全新 的 儿童安全镜 ， 可以 看到 坐在儿童安全座椅 上 小孩 的 情况 ， $5 。,9,6,4,[0_ 1_ 6_ 7_ 8_ 12_ 13_ 14_ 15],[2_ 3_ 4_ 9_ 10_ 11],[5_ 16_ 17_ 18],,,,,
1, 床头 桌 night stand$10,1,night,床头柜,,,,,,,,, 床头 桌床头柜$10,2,1,1,[0_ 1],[2],[3],,,,,
2, 小 蜡烛 一 盒 a box of little candles$2,1,a box of little,一小盒蜡烛,,,,,,,,, 小 蜡烛 一 盒 一小盒蜡烛 $2,4,4,1,[0_ 1_ 2_ 3],[4_ 5_ 6_ 7],[8],,,,,
3, 三 个 帽子 three hats$5 in total,2,three,三个帽子,in total,总共,,,,,,, 三 个 帽子 三个帽子总共$5,3,3,1,[0_ 1_ 2],[3_ 5_ 6],[4],,,,,
4, 全程 dealer 保养 ， 没 出 过 任何 毛病 ， 非常 省 油 省心 。,1,dealer,卖家,,,,,,,,, 全程卖家 保养 ， 没 出 过 任何 毛病 ， 非常 省 油 省心 。,11,1,3,[0_ 2_ 4_ 5_ 6_ 7_ 8_ 10_ 11_ 12_ 13],[1],[3_ 9_ 14],,,,,
5, 垃圾 桶 上 有 penn state 校徽,1,penn state,宾州州立,,,,,,,,, 垃圾 桶 上 有 宾州州立校徽,5,2,0,[0_ 1_ 2_ 3_ 6],[4_ 5],[],,,,,
6, 咖啡 机 hamilton beach one cup coffee,1,hamilton beach one cup coffee,汉密尔顿碧池一杯大小咖啡机,,,,,,,,, 咖啡 机 汉密尔顿碧池一杯大小咖啡机,2,5,0,[0_ 1],[2_ 3_ 4_ 5_ 6],[],,,,,
7, 补充 ： jeep 带有 按键 启动 、 遥控 启动 功能 。,1,jeep,吉普,,,,,,,,, 补充 ：吉普带有 按键 启动 、 遥控 启动 功能 。,7,1,3,[0_ 3_ 4_ 5_ 7_ 8_ 9],[2],[1_ 6_ 10],,,,,
8, 补充 ： jeep 带有 按键 启动 、 遥控 启动 功能 。,1,jeep,吉普,,,,,,,,, 补充 ： 吉普带有 按键 启动 、 遥控 启动 功能 。,7,1,3,[0_ 3_ 4_ 5_ 7_ 8_ 9],[2],[1_ 6_ 10],,,,,
9, 求 一 张 成色 比较 新 的 queen size 的 木头 床 。,1,queen size,大号,,,,,,,,, 求 一 张 成色 比较 新 的 大号 的 木头 床 。,10,2,1,[0_ 1_ 2_ 3_ 4_ 5_ 6_ 9_ 10_ 11],[7_ 8],[12],,,,,
10, 地址 在 squirrel hill ， 请 联系 电话 pn-0 .,1,squirrel hill,松鼠山,,,,,,,,, 地址 在 松鼠山， 请 联系 电话 pn-0 .,5,2,3,[0_ 1_ 5_ 6_ 7],[2_ 3],[4_ 8_ 9],,,,,
11, 坐 几 站 bus 就 能 到 giant eagle ；,2,bus,公交,giant eagle,大老鹰,,,,,,, 坐 几 站 公交 就 能 到 大老鹰 ；,6,3,1,[0_ 1_ 2_ 4_ 5_ 6],[3_ 7_ 8],[9],,,,,
12, 本人 因 做 毕业 论文 离开 匹兹堡 现 出售 自己 的 buick century 。,1,buick century,别克世纪,,,,,,,,, 本人 因 做 毕业 论文 离开 匹兹堡 现 出售 自己 的 别克世纪 。,11,2,1,[0_ 1_ 2_ 3_ 4_ 5_ 6_ 7_ 8_ 9_ 10],[11_ 12],[13],,,,,
13, google drive 地址 ：,1,google drive,谷歌云盘,,,,,,,,, 谷歌云盘 地址 ：,1,2,1,[2],[0_ 1],[3],,,,,
14, hello ~ 下面 先 列 个 列表 ， 包括 物品 、 价格 、 赠品 。,1,hello,嘿,,,,,,,,, 嘿 ~ 下面 先 列 个 列表 ， 包括 物品 、 价格 、 赠品 。,9,1,5,[2_ 3_ 4_ 5_ 6_ 8_ 9_ 11_ 13],[0],[1_ 7_ 10_ 12_ 14],,,,,
15, up up up up 自己 up 一下 ~,2,up up up up,顶顶顶顶,up,顶,,,,,,, 顶顶顶顶 自己顶 一下 ~,2,5,1,[4_ 6],[0_ 1_ 2_ 3_ 5],[7],,,,,
16, up up up up up up 一下 自己 ~,1,up up up up up up,顶顶顶顶顶,,,,,,,,, 顶顶顶顶顶 一下 自己 ~,2,6,1,[6_ 7],[0_ 1_ 2_ 3_ 4_ 5],[8],,,,,
17, 这个 amazon 上 的 链接 ，,1,amazon,亚马逊,,,,,,,,, 这个亚马逊 上 的 链接 ，,4,1,1,[0_ 2_ 3_ 4],[1],[5],,,,,
18, 价格 、 照片 、 联系 方式 ， 请 看 google docs 文件 ：,1,google docs,谷歌文档,,,,,,,,, 价格 、 照片 、 联系 方式 ， 请 看 谷歌文档 文件 ：,7,2,4,[0_ 2_ 4_ 5_ 7_ 8_ 11],[9_ 10],[1_ 3_ 6_ 12],,,,,
19, nine west tote bag 全 新 $25,1,nine west tote bag,玖熙手包,,,,,,,,, 玖熙手包 全 新 $25,2,4,1,[4_ 5],[0_ 1_ 2_ 3],[6],,,,,
20, hello ~ 下面 先 列 个 列表 ， 包括 物品 、 价格 、 赠品 。,1,hello,嘿,,,,,,,,, 嘿 ~ 下面 先 列 个 列表 ， 包括 物品 、 价格 、 赠品 。,9,1,5,[2_ 3_ 4_ 5_ 6_ 8_ 9_ 11_ 13],[0],[1_ 7_ 10_ 12_ 14],,,,,
21, blender ： 原价 $ 39.,1,blender,搅拌机,,,,,,,,, 搅拌机： 原价 $ 39.,1,1,3,[2],[0],[1_ 3_ 4],,,,,
22, tx-instrument financial instrument : actuarial exam fm/mle : 原价 84.,2,financial instrument,金融用品,actuarial exam,精算考试,,,,,,, tx-instrument 金融用品 : 精算考试 : 原价 84.,1,4,5,[8],[1_ 2_ 4_ 5],[0_ 3_ 6_ 7_ 9],,,,,
24, 照片 请 看 下边 google drive 的 链接 ：,1,google drive,谷歌云盘,,,,,,,,, 照片 请 看 下边 谷歌云盘 的 链接 ：,6,2,1,[0_ 1_ 2_ 3_ 6_ 7],[4_ 5],[8],,,,,
25, 出 闲置 ， 有 兴趣 请 email 联系,1,email,电子邮件,,,,,,,,, 出 闲置 ， 有 兴趣 请电子邮件 联系,6,1,1,[0_ 1_ 3_ 4_ 5_ 7],[6],[2],,,,,
26, 车子 状况 非常 好 ， clean title ， 无 事故 ， 省心 省 油 。,1,clean title,干净标题,,,,,,,,, 车子 状况 非常 好 ，干净标题 ， 无 事故 ， 省心 省 油 。,9,2,4,[0_ 1_ 2_ 3_ 8_ 9_ 11_ 12_ 13],[5_ 6],[4_ 7_ 10_ 14],,,,,
27, 红色 ， 第一 任 车主 ， clean title ， 基本 配置 。,1,clean title,干净标题,,,,,,,,, 红色 ， 第一 任 车主 ，干净标题 ， 基本 配置 。,6,2,4,[0_ 2_ 3_ 4_ 9_ 10],[6_ 7],[1_ 5_ 8_ 11],,,,,
28, tx-instrument financial instrument : actuarial exam fm/mle : 原价 84.,2,financial instrument,金融用品,actuarial exam,精算考试,,,,,,, tx-instrument金融用品 : 精算考试 : 原价 84.,1,4,5,[8],[1_ 2_ 4_ 5],[0_ 3_ 6_ 7_ 9],,,,,
30, 电梯 直达 [ url = ] [/url ],1,url,统一资源定位符,,,,,,,,, 电梯 直达 [ 统一资源定位符 = ] [/统一资源定位符 ],2,1,5,[0_ 1],[3],[2_ 4_ 5_ 6_ 7],,,,,
31, king size king size king size 床,1,king size king size king size,超大号,,,,,,,,, 超大号超大号超大号的 床,1,6,0,[6],[0_ 1_ 2_ 3_ 4_ 5],[],,,,,
32, queen size size size 床,1,queen size size size,大号,,,,,,,,, 大号的 床,1,4,0,[4],[0_ 1_ 2_ 3],[],,,,,
33, 一 张 work bench ;,1,work bench,工作台,,,,,,,,, 一 张 工作台;,2,2,1,[0_ 1],[2_ 3],[4],,,,,
34, 邮箱 wood em@0,1,wood,伍德,,,,,,,,, 邮箱 wood em@0,1,1,1,[0],[1],[2],,,,,
