SentenceID,CodeSwitchedSentence,TranslatedSentence,UntranslatedWord,IndicesOfCodeSwitchedWord,IndicesOfCodeSwitchedWordInTranslation,IndicesOfPunctuation,IndicesOfPunctuationInTranslation
0,全新 的 baby safety mirror ， 可以 看到 坐在 rear face seat 上 小孩 的 情况 ， $5  。,全新 的 儿童 安全 镜 ， 可以 看到 坐在 儿童 安全 座椅 上 小孩 的 情况 ， $5  。,[],[2_3_4_5_9_10_11],[2_3_4_5_9_10_11],[5_16_18],[5_16_17_18]
1,床头 桌 night stand$10,床头 桌 床头柜 $ 10,[],[2_3],[2_3_4],,[3]
2,小 蜡烛 一 盒 a box of little candles$2,小 蜡烛 一 盒 一 小盒 蜡烛 $ 2,[],[4_5_6_7_8],[5_8],,[7]
3,三 个 帽子 three hats$5 in total,三 个 帽子 三 个 帽子 总共 $ 5,[],[3_4_5_6],[6_7_8],,[7]
4,全程 dealer 保养 ， 没 出 过 任何 毛病 ， 非常 省 油 省心  。,全程 卖家 保养 ， 没 出 过 任何 毛病 ， 非常 省 油 省心  。,[],[1],[1],[3_9_14],[3_9_14]
5,垃圾 桶 上 有 penn state 校徽,垃圾 桶 上 有 宾州 州立 校徽,[],[4_5],[4_5],,
6,咖啡 机 hamilton beach one cup coffee,咖啡 机 汉密尔顿 碧池 一 杯 大小 咖啡机,[],[2_3_4_5_6],[2_3_4_5_6_7],,
7,补充  ：  jeep 带有 按键 启动  、  遥控 启动 功能  。,补充  ： 吉普 带有 按键 启动  、  遥控 启动 功能  。,[],[2],[2],[1_6_10],[1_6_10]
8,补充  ：  jeep 带有 按键 启动  、  遥控 启动 功能  。,补充  ：  吉普 带有 按键 启动  、  遥控 启动 功能  。,[],[2],[2],[1_6_10],[1_6_10]
9,求 一 张 成色 比较 新 的 queen size 的 木头 床  。,求 一 张 成色 比较 新 的 大号 的 木头 床  。,[],[7_8],[7],[12],[11]
10,地址 在 squirrel hill ， 请 联系 电话 pn-0 .,地址 在 松鼠山 ， 请 联系 电话 pn-0 .,[],[2_3_4],[2_3],[4_8_9],[3_7_8]
11,坐 几 站 bus 就 能 到 giant eagle ；,坐 几 站 公交 就 能 到 大老鹰 ；,[],[3_7_8_9],[3_7_8],[9],[8]
12,本人 因 做 毕业 论文 离开 匹兹堡 现 出售 自己 的 buick century  。,本人 因 做 毕业 论文 离开 匹兹堡 现 出售 自己 的 别克 世纪  。,[],[11_12_13],[11_12_13],[13],[13]
13,google drive 地址  ：,谷歌 云 盘 地址  ：,[],[0_1],[0_1_2],[3],[4]
14,hello ~ 下面 先 列 个 列表 ， 包括 物品  、  价格  、  赠品  。,嘿 ~ 下面 先 列 个 列表 ， 包括 物品  、  价格  、  赠品  。,[],[0_1],[0_1],[1_7_10_12_14],[1_7_10_12_14]
15,up up up up 自己 up 一下 ~,顶顶 顶顶 自己 顶 一下 ~,[],[0_1_2_3_5],[0_1_3],[7],[5]
16,up up up up up up 一下 自己 ~,顶顶顶 顶顶 一下 自己 ~,[],[0_1_2_3_4_5],[0_1],[8],[4]
17,这个 amazon 上 的 链接 ，,这个 亚马逊 上 的 链接 ，,[],[1],[1],[5],[5]
